Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches


Ahmed Abdullahi,ng NGA,FW,Gent,19,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Shuto Abe,jp JPN,MF,RWD Molenbeek,25,1997,16.4,1,16,6,37.5,0.98,0.37,0.06,0.17,21.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Abner,br BRA,"DF,MF",RWD Molenbeek,27,1996,20.6,0,6,1,16.7,0.29,0.05,0.00,0.00,17.5,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
Francis Abu,gh GHA,MF,Cercle Brugge,22,2001,4.5,0,5,2,40.0,1.10,0.44,0.00,0.00,27.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Tayo Adaramola,ie IRL,DF,RWD Molenbeek,19,2003,6.4,0,3,0,0.0,0.47,0.00,0.00,,17.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Noah Adedeji,be BEL,"MF,FW",Genk,18,2005,0.2,0,2,0,0.0,9.47,0.00,0.00,,17.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Jonathan Afolabi,ie IRL,FW,Kortrijk,23,2000,4.4,1,4,2,50.0,0.91,0.45,0.25,0.50,13.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
Brian Agbor,cm CMR,DF,Gent,22,2001,2.3,0,1,0,0.0,0.43,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
Takahiro Akimoto,jp JPN,DF,OH Leuven,25,1998,2.9,0,1,0,0.0,0.34,0.00,0.00,,9.7,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Carlos Alberto,br BRA,"FW,MF",RWD Molenbeek,21,2002,7.3,2,10,6,60.0,1.37,0.82,0.20,0.33,10.6,0,0,0,1.8,1.8,0.18,+0.2,+0.2,Matches
Josimar Alcocer,cr CRC,"FW,MF",Westerlo,19,2004,0.3,0,1,0,0.0,3.75,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Toby Alderweireld,be BEL,DF,Antwerp,34,1989,28.9,3,40,12,30.0,1.39,0.42,0.03,0.08,15.0,1,2,3,5.1,2.7,0.07,-2.1,-1.7,Matches
Ryan Alebiosu,eng ENG,"DF,MF",Kortrijk,21,2001,3.9,0,5,0,0.0,1.29,0.00,0.00,,19.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Teddy Alloh,fr FRA,DF,Eupen,21,2002,2.2,0,1,0,0.0,0.46,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
