Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Dawid Błanik,pl POL,"MF,FW",Korona Kielce,26,1997,15.5,4,0,0,,,,,,,,,0,Matches
Kaan Caliskaner,de GER,FW,Jagiellonia,23,1999,2.9,1,0,0,,,,,,,,,0,Matches
Frank Castañeda,co COL,MF,Radomiak Radom,29,1994,7.3,2,0,0,,,,,,,,,0,Matches

Berto Cayarga,es ESP,MF,Radomiak Radom,26,1996,0.5,0,0,0,,,,,,,,,0,Matches
Marcin Cebula,pl POL,"FW,MF",RKS Raków,27,1995,9.2,3,0,0,,,,,,,,,0,Matches
Thiago Ceijas,ar ARG,MF,Łódzki KS,22,2001,3.0,2,1,1,,,,,,,,,0,Matches
Jurgen Çelhaka,al ALB,MF,Legia Warsaw,22,2000,10.7,5,0,0,,,,,,,,,0,Matches
Mike Cestor,,DF,Radomiak Radom,31,1992,9.2,2,0,0,,,,,,,,,1,Matches
Alex Cetnar,pl POL,MF,Stal Mielec,16,2007,0.0,0,0,0,,,,,,,,,0,Matches
Mateusz Chmarek,pl POL,FW,Górnik Zabrze,19,2004,1.5,0,0,0,,,,,,,,,0,Matches
Kacper Chodyna,pl POL,MF,Zagłębie Lubin,24,1999,28.1,6,1,1,,,,,,,,,0,Matches
Mateusz Cholewiak,pl POL,MF,Puszcza Niepołomice,33,1990,12.1,2,0,0,,,,,,,,,0,Matches
Michał Chrapek,pl POL,MF,Piast Gliwice,31,1992,20.7,4,0,0,,,,,,,,,0,Matches
Mateusz Cichocki,pl POL,DF,Radomiak Radom,31,1992,16.2,4,0,0,,,,,,,,,0,Matches
Kacper Cichon,pl POL,MF,Puszcza Niepołomice,21,2001,0.1,1,0,0,,,,,,,,,0,Matches
Andrejs Ciganiks,lv LVA,"DF,FW",Widzew Łódź,26,1997,15.3,7,0,0,,,,,,,,,1,Matches
