Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Lobato ,es ESP,MF,Górnik Łęczna,27,1994,2.2,0,0,0,,,,,,,,,0,Matches
Dawid Abramowicz,pl POL,DF,Radomiak Radom,30,1991,33.8,3,0,0,,,,,,,,,0,Matches
Joel Abu Hanna,il ISR,"DF,MF",Legia Warsaw,23,1998,4.7,1,0,0,,,,,,,,,0,Matches
Rafał Adamski,pl POL,FW,Zagłębie Lubin,19,2001,0.0,0,0,0,,,,,,,,,0,Matches
Zlatan Alomerović,de GER,GK,Jagiellonia,30,1991,14.0,2,0,0,,,,,,,,,0,Matches
Zlatan Alomerović,de GER,GK,Lechia Gdańsk,30,1991,6.0,0,0,0,,,,,,,,,0,Matches
Marcos Álvarez,de GER,"FW,MF",Cracovia,29,1991,6.1,2,0,0,,,,,,,,,0,Matches
Tiago Alexandre Mendes Alves,pt POR,"MF,FW",Piast Gliwice,25,1996,4.2,0,0,0,,,,,,,,,0,Matches
João Amaral,pt POR,MF,Lech Poznań,29,1991,24.7,2,0,0,,,,,,,,,0,Matches
Maciej Ambrosiewicz,pl POL,"MF,DF",Bruk-Bet Termalica Nieciecza,23,1998,5.6,3,0,0,,,,,,,,,0,Matches
Pelle van Amersfoort,nl NED,"MF,FW",Cracovia,25,1996,30.0,7,0,0,,,,,,,,,0,Matches
Michael Ameyaw,pl POL,MF,Piast Gliwice,20,2000,4.8,1,0,0,,,,,,,,,0,Matches
Jonathan de Amo,es ESP,DF,Górnik Łęczna,31,1990,5.0,0,0,0,,,,,,,,,0,Matches
Jonathan de Amo,es ESP,DF,Stal Mielec,31,1990,14.0,1,0,0,,,,,,,,,0,Matches
Karol Angielski,pl POL,FW,Radomiak Radom,25,1996,26.3,3,1,1,,,,,,,,,0,Matches
Jakub Arak,pl POL,"FW,MF",RKS Raków,26,1995,4.0,3,0,0,,,,,,,,,0,Matches
Zoran Arsenić,hr CRO,DF,RKS Raków,27,1994,17.5,6,1,1,,,,,,,,,0,Matches
Błażej Augustyn,pl POL,DF,Jagiellonia,33,1988,11.9,7,1,1,,,,,,,,,0,Matches
Ishmael Baidoo,gh GHA,MF,Górnik Zabrze,22,1998,0.5,0,0,0,,,,,,,,,0,Matches
Filip Bainović,rs SRB,MF,Górnik Zabrze,25,1996,2.5,2,0,0,,,,,,,,,0,Matches
Filip Balaj,sk SVK,FW,Cracovia,23,1997,3.7,1,0,0,,,,,,,,,0,Matches
Saša Balić,me MNE,DF,Zagłębie Lubin,31,1990,13.4,6,1,0,,,,,,,,,0,Matches
Przemysław Banaszak,pl POL,FW,Górnik Łęczna,24,1997,12.3,3,1,1,,,,,,,,,0,Matches
Paweł Baranowski,pl POL,DF,Górnik Łęczna,30,1990,6.0,0,0,0,,,,,,,,,1,Matches
Jakub Bartkowski,pl POL,DF,Pogoń Szczecin,29,1991,26.3,2,0,0,,,,,,,,,0,Matches

