Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches


Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,4,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,Matches
Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,33,33,"2,897",32.2,0,0,0,0,0,0,7,0,0.8,0.8,0.9,1.7,23,97,47,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,31,5,815,9.1,4,1,5,4,0,0,1,0,4.6,4.6,1.0,5.5,27,27,106,0.44,0.11,0.55,0.44,0.55,0.50,0.11,0.61,0.50,0.61,Matches
Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,29,16,"1,353",15.0,0,2,2,0,0,0,2,0,2.0,2.0,1.3,3.3,41,37,91,0.00,0.13,0.13,0.00,0.13,0.13,0.09,0.22,0.13,0.22,Matches
Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,22,18,"1,717",19.1,0,0,0,0,0,0,5,1,0.3,0.3,0.3,0.5,11,45,6,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,16,7,725,8.1,0,1,1,0,0,0,0,0,2.2,2.2,2.0,4.3,34,19,98,0.00,0.12,0.12,0.00,0.12,0.28,0.25,0.53,0.28,0.53,Matches
Joost van Aken,nl NED,DF,Heerenveen,27,1994,3,2,199,2.2,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,0,5,0,0.45,0.00,0.45,0.45,0.45,0.39,0.01,0.40,0.39,0.40,Matches
Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,28,19,"1,569",17.4,6,0,6,6,0,0,1,1,4.1,4.1,2.3,6.4,18,38,111,0.34,0.00,0.34,0.34,0.34,0.24,0.13,0.37,0.24,0.37,Matches
Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,5,1,142,1.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,7,3,12,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,Matches
Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,7,2,258,2.9,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,4,3,20,0.00,0.00,0.00,0.00,0.00,0.31,0.05,0.36,0.31,0.36,Matches
