Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Giannis Anestis,gr GRE,GK,Panetolikos,31,1991,21,21,"1,890",21.0,,,,,,5,4,12,2,9.5,5,4,1,0,20.0,Matches
Giorgos Athanasiadis,gr GRE,GK,AEK Athens,29,1993,30,30,"2,700",30.0,,,,,,22,5,3,21,70.0,2,2,0,0,0.0,Matches
Vasilis Athanasiou,gr GRE,GK,PAS Giannina,23,1999,9,7,735,8.2,,,,,,2,2,3,2,28.6,2,2,0,0,0.0,Matches
Panagiotis Avgerinos,gr GRE,GK,Volos NFC,19,2003,3,2,250,2.8,,,,,,0,0,2,0,0.0,1,1,0,0,0.0,Matches
Laurențiu Brănescu,ro ROU,GK,Atromitos,28,1994,1,1,90,1.0,,,,,,1,0,0,1,100.0,0,0,0,0,,Matches
Alberto Brignoli,it ITA,GK,Panathinaikos,30,1991,34,34,"3,060",34.0,,,,,,22,8,4,21,61.8,2,1,1,0,50.0,Matches
Lefteris Choutesiotis,gr GRE,GK,Ionikos,28,1994,33,33,"2,970",33.0,,,,,,6,9,18,8,24.2,8,8,0,0,0.0,Matches
Nikolaos Christogeorgos,gr GRE,GK,OFI Crete,22,2000,1,1,90,1.0,,,,,,1,0,0,1,100.0,0,0,0,0,,Matches
Julián Cuesta,es ESP,GK,Aris,31,1991,31,31,"2,790",31.0,,,,,,14,4,13,11,35.5,7,6,1,0,14.3,Matches
Athanasios Garavelis,gr GRE,GK,PAS Lamia,29,1992,10,10,846,9.4,,,,,,3,2,5,1,10.0,0,0,0,0,,Matches
Andreas Gianniotis,gr GRE,GK,Atromitos,29,1992,31,31,"2,722",30.2,,,,,,7,11,13,6,19.4,7,4,2,1,33.3,Matches
Joel Graterol,ve VEN,GK,Panetolikos,25,1997,5,5,450,5.0,,,,,,1,2,2,2,40.0,0,0,0,0,,Matches
Dávid Gróf,hu HUN,GK,Levadiakos,33,1989,11,11,990,11.0,,,,,,2,7,2,3,27.3,3,2,1,0,33.3,Matches
Boris Klaiman,il ISR,GK,Volos NFC,31,1990,29,29,"2,610",29.0,,,,,,11,7,11,10,34.5,4,3,1,0,25.0,Matches
Vangelis Kontogiannis,gr GRE,GK,Panetolikos,20,2002,2,2,180,2.0,,,,,,0,1,1,1,50.0,1,1,0,0,0.0,Matches
Alexei Koșelev,md MDA,GK,PAS Lamia,28,1993,4,4,360,4.0,,,,,,1,3,0,2,50.0,1,1,0,0,0.0,Matches
Dominik Kotarski,hr CRO,GK,PAOK,22,2000,34,34,"3,060",34.0,,,,,,19,8,7,16,47.1,7,5,1,1,16.7,Matches
Matic Kotnik,si SVN,GK,Volos NFC,32,1990,5,5,380,4.2,,,,,,0,0,5,0,0.0,3,3,0,0,0.0,Matches
Yuri Lodygin,ru RUS,GK,Panathinaikos,32,1990,2,2,180,2.0,,,,,,1,1,0,1,50.0,1,0,1,0,100.0,Matches
