Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Amirhossein Hosseinzadeh,ir IRN,"MF,FW",Charleroi,21,2000,12.2,2,22,8,36.4,1.80,0.66,0.09,0.25,18.6,0,0,0,2.2,2.2,0.10,-0.2,-0.2,Matches
Dino Hotić,ba BIH,"MF,FW",Cercle Brugge,27,1995,21.6,5,41,9,22.0,1.90,0.42,0.10,0.44,22.7,14,1,2,4.7,3.1,0.08,+0.3,+0.9,Matches
Patrik Hrošovský,sk SVK,MF,Genk,30,1992,33.5,2,39,10,25.6,1.16,0.30,0.05,0.20,23.0,0,0,0,2.2,2.2,0.06,-0.2,-0.2,Matches
David Hubert,be BEL,MF,Zulte Waregem,34,1988,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Guillaume Hubert,be BEL,GK,Oostende,28,1994,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hong Hyunseok,kr KOR,"MF,FW",Gent,23,1999,26.5,5,27,8,29.6,1.02,0.30,0.19,0.63,16.5,1,0,0,3.1,3.1,0.12,+1.9,+1.9,Matches
Franck Idumbo,be BEL,FW,OH Leuven,20,2002,0.2,0,2,2,100.0,8.57,8.57,0.00,0.00,14.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Ejaita Ifoni,ng NGA,FW,R.F.C. Seraing,21,2000,2.0,0,1,0,0.0,0.50,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Marco Ilaimaharitra,mg MAD,MF,Charleroi,27,1995,29.7,3,27,9,33.3,0.91,0.30,0.04,0.11,25.1,0,2,2,3.4,1.9,0.07,-0.4,-0.9,Matches
Marko Ilić,rs SRB,GK,Kortrijk,24,1998,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abdulrazaq Ishaq,ng NGA,"DF,MF",Anderlecht,20,2002,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches

Vakoun Issouf Bayo,ci CIV,FW,Charleroi,25,1997,9.7,3,40,14,35.0,4.11,1.44,0.08,0.21,14.5,0,0,0,6.2,6.2,0.15,-3.2,-3.2,Matches
Junya Ito,jp JPN,FW,Genk,29,1993,1.0,0,3,3,100.0,3.00,3.00,0.00,0.00,14.2,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
Vincent Janssen,nl NED,FW,Antwerp,28,1994,25.6,16,78,26,33.3,3.04,1.01,0.13,0.38,17.7,0,6,6,11.9,7.2,0.09,+4.1,+2.8,Matches
Wolke Janssens,be BEL,DF,Sint-Truiden,27,1995,24.8,0,3,0,0.0,0.12,0.00,0.00,,31.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
James Jeggo,au AUS,MF,Eupen,30,1992,10.0,0,4,1,25.0,0.40,0.10,0.00,0.00,24.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Edisson Jordanov,bg BUL,DF,Westerlo,29,1993,14.5,0,10,2,20.0,0.69,0.14,0.00,0.00,21.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Ferran Jutglà,es ESP,FW,Club Brugge,23,1999,21.7,13,88,42,47.7,4.06,1.94,0.14,0.29,16.1,0,1,2,11.6,10.0,0.11,+1.4,+2.0,Matches
Abdelkahar Kadri,dz ALG,"MF,FW",Kortrijk,22,2000,13.6,4,27,10,37.0,1.99,0.74,0.15,0.40,19.8,0,0,0,2.5,2.5,0.09,+1.5,+1.5,Matches
Shinji Kagawa,jp JPN,"MF,FW",Sint-Truiden,33,1989,8.0,2,10,2,20.0,1.25,0.25,0.10,0.50,22.3,0,1,1,1.4,0.6,0.06,+0.6,+0.4,Matches
Marco Kana,be BEL,MF,Anderlecht,19,2002,3.9,0,1,0,0.0,0.26,0.00,0.00,,24.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Ismaël Kandouss,ma MAR,DF,Union SG,24,1997,23.7,1,14,3,21.4,0.59,0.13,0.07,0.33,10.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
Fanos Katelaris,cy CYP,DF,Oostende,25,1996,9.9,0,3,0,0.0,0.30,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Fatih Kaya,,"FW,MF",Sint-Truiden,22,1999,1.9,0,2,0,0.0,1.03,0.00,0.00,,19.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Joris Kayembe,cd COD,DF,Charleroi,27,1994,26.6,1,14,6,42.9,0.53,0.23,0.07,0.17,14.5,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Emilio Kehrer,de GER,"FW,MF",Cercle Brugge,20,2002,1.8,1,6,2,33.3,3.31,1.10,0.17,0.50,18.7,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
Habib Keita,ml MLI,MF,Kortrijk,20,2002,12.7,1,14,2,14.3,1.10,0.16,0.07,0.50,21.6,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Mandela Keita,be BEL,"MF,DF",OH Leuven,20,2002,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mandela Keita,be BEL,MF,Antwerp,20,2002,9.4,0,5,1,20.0,0.53,0.11,0.00,0.00,24.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Sibiry Keita,ml MLI,DF,Eupen,21,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gyrano Kerk,sr SUR,FW,Antwerp,26,1995,9.5,4,23,11,47.8,2.41,1.15,0.17,0.36,14.3,0,0,0,4.1,4.1,0.18,-0.1,-0.1,Matches
Bilal El Khannouss,ma MAR,MF,Genk,18,2004,24.5,1,44,10,22.7,1.80,0.41,0.02,0.10,19.7,0,0,0,2.6,2.5,0.06,-1.6,-1.5,Matches
Gerald Kilota,fr FRA,"DF,MF",R.F.C. Seraing,28,1994,4.0,0,4,0,0.0,1.00,0.00,0.00,,24.1,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Sofian Kiyine,ma MAR,MF,OH Leuven,24,1997,11.7,2,28,6,21.4,2.40,0.51,0.04,0.17,24.5,1,1,2,3.2,1.6,0.06,-1.2,-0.6,Matches
Stefan Knežević,ch SUI,DF,Charleroi,25,1996,14.3,0,6,2,33.3,0.42,0.14,0.00,0.00,10.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Hervé Koffi,bf BFA,GK,Charleroi,25,1996,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches

Aboubakary Koita,mr MTN,"DF,MF",Sint-Truiden,23,1998,15.1,0,40,17,42.5,2.65,1.13,0.00,0.00,23.6,6,0,0,1.9,1.9,0.05,-1.9,-1.9,Matches
Mory Konaté,gn GUI,MF,Sint-Truiden,28,1993,21.6,1,21,5,23.8,0.97,0.23,0.05,0.20,22.7,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
Jan Král,cz CZE,DF,Eupen,23,1999,5.1,0,3,1,33.3,0.59,0.20,0.00,0.00,14.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Léandre Kuavita,be BEL,"MF,FW",Standard Liège,18,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mykola Kukharevych,ua UKR,"FW,DF",OH Leuven,21,2001,0.6,0,1,0,0.0,1.64,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Sven Kums,be BEL,MF,Gent,34,1988,30.0,2,27,5,18.5,0.90,0.17,0.07,0.40,20.5,2,0,0,2.0,2.0,0.07,0.0,0.0,Matches
Sami Lahssaini,be BEL,MF,R.F.C. Seraing,23,1998,16.7,0,11,0,0.0,0.66,0.00,0.00,,25.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Konstantinos Laifis,cy CYP,DF,Standard Liège,29,1993,26.3,1,23,7,30.4,0.88,0.27,0.04,0.14,15.2,0,0,0,2.1,2.1,0.10,-1.1,-1.1,Matches
Boris lambert,be BEL,"DF,MF",Eupen,22,2000,28.7,4,19,5,26.3,0.66,0.17,0.21,0.80,10.6,0,0,0,2.5,2.5,0.13,+1.5,+1.5,Matches
Didier Lamkel Zé,cm CMR,"FW,MF",Kortrijk,25,1996,9.5,1,13,6,46.2,1.36,0.63,0.00,0.00,18.7,0,1,1,1.7,0.9,0.07,-0.7,-0.9,Matches
Noa Lang,nl NED,FW,Club Brugge,23,1999,20.7,8,49,19,38.8,2.37,0.92,0.10,0.26,18.4,0,3,3,8.2,5.8,0.12,-0.2,-0.8,Matches
Loïc Lapoussin,mg MAD,DF,Union SG,26,1996,24.5,3,28,10,35.7,1.14,0.41,0.11,0.30,17.6,0,0,0,1.6,1.6,0.06,+1.4,+1.4,Matches
Cyle Larin,ca CAN,FW,Club Brugge,27,1995,2.2,1,9,4,44.4,4.07,1.81,0.11,0.25,14.5,0,0,1,2.1,1.3,0.15,-1.1,-0.3,Matches
Dimitri Lavalée,be BEL,"DF,MF",Mechelen,25,1997,19.5,0,14,3,21.4,0.72,0.15,0.00,0.00,22.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
