Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Andreas Beck,de GER,"DF,FW",Eupen,34,1987,26.8,6,0,0,22,37,4,89,24,28,0,0,0,107,38,52,42.2,Matches
Chris Bedia,ci CIV,FW,Charleroi,25,1996,3.2,0,0,0,11,6,2,0,0,2,0,0,0,8,11,15,42.3,Matches
Yassine Ben Hamed,fr FRA,DF,Antwerp,18,2003,0.2,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,50.0,Matches
Amine Benchaib,ma MAR,"MF,DF",Charleroi,23,1998,1.4,0,0,0,1,8,0,0,2,4,0,0,0,8,2,1,66.7,Matches
Amine Benchaib,ma MAR,MF,Kortrijk,23,1998,1.9,1,0,0,5,0,0,1,0,3,0,0,0,10,0,4,0.0,Matches
Tsotne Bendianishvili,ge GEO,MF,Kortrijk,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Saido Berahino,bi BDI,"FW,DF",Zulte Waregem,27,1993,0.7,0,0,0,2,1,1,0,0,1,0,0,0,4,3,0,100.0,Matches
Antoine Bernier,be BEL,"MF,FW",R.F.C. Seraing,23,1997,20.8,3,0,0,32,45,1,39,13,22,2,1,0,102,10,51,16.4,Matches
Barnabás Bese,hu HUN,DF,OH Leuven,27,1994,2.8,0,0,0,3,0,2,3,5,2,0,0,0,16,4,2,66.7,Matches
Loïc Bessile,tg TOG,DF,Charleroi,22,1999,13.1,2,0,0,14,9,0,7,19,10,0,0,0,68,25,22,53.2,Matches
Roman Bezus,ua UKR,"MF,FW",Gent,30,1990,11.0,4,0,0,20,41,2,7,7,11,2,0,0,64,26,25,51.0,Matches
Wouter Biebauw,be BEL,GK,Beerschot,37,1984,8.0,1,0,0,1,2,0,0,0,0,0,1,0,4,2,0,100.0,Matches
Lucas Bijker,nl NED,DF,Mechelen,28,1993,23.0,4,0,0,19,25,1,32,28,26,0,0,1,121,21,28,42.9,Matches
Arnaud Bodart,be BEL,GK,Standard Liège,23,1998,25.0,0,0,0,0,3,0,0,1,3,0,0,0,27,6,2,75.0,Matches

Merveille Bokadi,cd COD,"MF,DF",Standard Liège,29,1992,16.4,4,0,0,13,12,2,1,28,10,0,0,0,129,32,18,64.0,Matches
Sinan Bolat,tr TUR,GK,Gent,32,1988,25.0,3,0,0,0,3,0,0,0,0,0,0,0,39,2,0,100.0,Matches
Theo Bongonda,cd COD,FW,Genk,25,1995,21.0,2,0,0,10,39,8,59,8,17,1,0,0,56,10,16,38.5,Matches
Indy Boonen,be BEL,MF,Oostende,22,1999,2.8,1,0,0,3,4,0,2,2,6,0,0,0,23,0,7,0.0,Matches
Sammy Bossut,be BEL,GK,Zulte Waregem,35,1985,24.0,0,0,0,0,2,0,0,1,1,0,0,0,31,1,1,50.0,Matches
Louis Bostyn,be BEL,GK,Zulte Waregem,27,1993,10.0,0,0,0,1,2,0,0,0,0,0,1,0,12,3,0,100.0,Matches
Benjamin Boulenger,fr FRA,DF,R.F.C. Seraing,31,1990,19.2,9,2,2,25,5,0,5,39,24,0,1,0,89,30,31,49.2,Matches
Pierre Bourdin,fr FRA,DF,Beerschot,27,1994,22.1,7,0,0,21,11,0,24,33,18,0,1,0,81,36,31,53.7,Matches
Frank Boya,cm CMR,MF,Antwerp,25,1996,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,100.0,Matches
Frank Boya,cm CMR,"DF,MF",Zulte Waregem,25,1996,11.7,6,1,0,21,7,1,5,40,20,0,1,0,74,35,15,70.0,Matches
Christian Brüls,be BEL,MF,Sint-Truiden,32,1988,28.1,3,0,0,31,60,2,209,21,31,1,0,0,213,27,44,38.0,Matches
Gianni Bruno,be BEL,FW,Gent,29,1991,3.5,0,0,0,4,9,4,4,1,1,0,0,0,15,3,7,30.0,Matches
Jonathan Buatu Mananga,ao ANG,DF,Sint-Truiden,27,1993,5.5,0,0,0,4,3,0,1,3,10,0,0,0,41,16,8,66.7,Matches
Tajon Buchanan,ca CAN,"DF,FW",Club Brugge,22,1999,8.1,0,0,0,8,17,2,7,5,9,0,0,0,35,9,8,52.9,Matches
Mustapha Bundu,sl SLE,FW,Anderlecht,24,1997,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Christian Burgess,eng ENG,DF,Union SG,29,1991,27.2,8,0,0,28,16,1,1,36,25,0,1,0,98,100,47,68.0,Matches
Aurélio Buta,pt POR,DF,Antwerp,24,1997,11.6,5,0,0,16,6,1,38,15,19,0,0,0,53,10,6,62.5,Matches
Jean Butez,fr FRA,GK,Antwerp,26,1995,34.0,2,0,0,2,4,0,0,1,0,0,1,0,59,8,0,100.0,Matches
Liberato Cacace,nz NZL,"DF,FW",Sint-Truiden,20,2000,16.5,2,0,0,26,21,3,69,18,28,0,0,0,113,10,8,55.6,Matches
Mathieu Cachbach,be BEL,MF,R.F.C. Seraing,20,2001,7.9,1,1,0,10,10,1,9,9,16,0,0,0,54,5,16,23.8,Matches
Mathieu Cafaro,fr FRA,MF,Standard Liège,24,1997,10.8,5,0,0,17,20,0,56,7,14,0,0,0,60,6,9,40.0,Matches
Moisés Caicedo,ec ECU,MF,Beerschot,19,2001,8.4,2,0,0,12,12,0,8,7,13,0,0,0,49,8,11,42.1,Matches
Alexandro Calut,be BEL,DF,Standard Liège,18,2003,7.4,1,0,0,9,9,0,10,10,8,0,0,0,33,12,5,70.6,Matches
Igor de Camargo,be BEL,FW,Mechelen,38,1983,4.6,0,0,0,7,8,4,0,0,1,0,0,0,17,30,25,54.5,Matches
Cihan Çanak,tr TUR,"FW,DF",Standard Liège,16,2005,0.7,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0.0,Matches

Brecht Capon,be BEL,DF,Oostende,33,1988,19.9,2,0,0,24,15,1,17,37,34,0,0,0,87,25,31,44.6,Matches
Mehdi Carcela,ma MAR,"FW,MF",Standard Liège,32,1989,6.9,1,0,0,10,19,1,32,9,7,0,0,0,39,3,5,37.5,Matches
Alessio Castro-Montes,be BEL,"DF,MF",Gent,24,1997,22.1,5,0,0,28,36,3,53,31,40,0,1,0,138,28,14,66.7,Matches
Maximiliano Caufriez,be BEL,DF,Sint-Truiden,24,1997,4.0,3,0,0,7,3,0,0,10,3,0,0,0,23,9,7,56.3,Matches
Sofian Chakla,ma MAR,DF,OH Leuven,27,1993,16.4,0,1,0,19,20,1,19,27,15,0,1,0,76,23,20,53.5,Matches
Giorgi Chakvetadze,ge GEO,"MF,FW",Gent,21,1999,3.2,0,1,0,5,12,1,5,5,4,0,0,0,16,1,4,20.0,Matches
Ismaila Cheick Coulibaly,ml MLI,MF,Beerschot,20,2000,11.8,4,0,0,26,11,2,2,13,26,0,0,0,87,6,7,46.2,Matches
Teddy Chevalier,fr FRA,FW,Kortrijk,34,1987,4.8,1,0,0,4,4,3,14,1,3,0,0,0,14,1,9,10.0,Matches
Gojko Cimirot,ba BIH,MF,Standard Liège,28,1992,17.1,3,0,0,24,10,2,6,17,17,0,0,0,107,7,10,41.2,Matches
Alessandro Ciranni,be BEL,"DF,MF",Zulte Waregem,25,1996,20.8,4,0,0,22,6,0,75,27,27,0,0,0,73,13,7,65.0,Matches
Ibrahima Cissé,ml MLI,"DF,MF",Gent,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Ibrahima Cissé,gn GUI,MF,R.F.C. Seraing,27,1994,28.7,8,0,0,27,20,0,1,66,41,0,2,1,250,46,38,54.8,Matches
Dion Cools,my MAS,DF,Zulte Waregem,25,1996,7.2,3,0,0,11,6,0,14,18,9,0,0,0,30,8,4,66.7,Matches
Jens Cools,be BEL,MF,Eupen,30,1990,17.7,4,0,0,28,3,0,5,27,27,0,0,0,107,55,48,53.4,Matches
Alexander Corryn,be BEL,DF,Cercle Brugge,27,1994,5.9,0,0,0,5,6,0,9,8,7,0,0,0,24,7,9,43.8,Matches
Gaëtan Coucke,be BEL,GK,Mechelen,22,1998,29.7,1,1,0,1,6,0,0,0,0,0,0,1,45,7,0,100.0,Matches
Carlos Cuesta,co COL,DF,Genk,22,1999,12.6,2,0,0,10,7,1,1,23,13,0,1,0,67,28,15,65.1,Matches
Josh Cullen,ie IRL,MF,Anderlecht,25,1996,33.7,3,0,0,31,35,0,31,50,47,0,0,0,232,42,32,56.8,Matches
Hugo Cuypers,be BEL,FW,Mechelen,24,1997,24.8,1,0,0,22,34,7,8,17,28,0,0,0,100,66,121,35.3,Matches
Maxime D'Arpino,fr FRA,MF,Oostende,25,1996,26.0,3,0,0,38,26,1,165,43,49,0,0,0,217,21,23,47.7,Matches
Kristof D'haene,be BEL,DF,Kortrijk,31,1990,27.4,9,0,0,40,18,0,98,11,34,0,0,0,164,3,11,21.4,Matches
Robbie D'Haese,be BEL,"DF,FW",Oostende,22,1999,11.7,2,0,0,8,5,5,19,12,10,0,0,0,58,7,19,26.9,Matches
