Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Leroy Abanda,fr FRA,"DF,MF",OFI Crete,23,2000,23,15,"1,385",15.4,1,3,4,1,0,0,7,0,0.06,0.19,0.26,0.06,0.26,Matches
Nelson Abbey,eng ENG,DF,Olympiacos,19,2003,4,3,302,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Acevedo,ar ARG,DF,Atromitos,31,1991,22,21,"1,819",20.2,2,0,2,2,0,0,5,1,0.10,0.00,0.10,0.10,0.10,Matches
Matías Acuña,uy URU,FW,PAS Lamia,30,1992,15,5,535,5.9,3,1,4,3,0,0,5,0,0.50,0.17,0.67,0.50,0.67,Matches
Lumor Agbenyenu,gh GHA,"DF,MF",AO Kifisia,26,1996,11,9,711,7.9,1,1,2,1,0,0,0,0,0.13,0.13,0.25,0.13,0.25,Matches
Samet Akaydın,tr TUR,DF,Panathinaikos,29,1994,12,10,878,9.8,0,1,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
Oluwatobiloba Alagbe,ng NGA,MF,Asteras Tripoli,23,2000,24,14,"1,474",16.4,1,2,3,1,0,0,8,1,0.06,0.12,0.18,0.06,0.18,Matches
Kosta Aleksic,rs SRB,FW,Panserraikos,25,1998,31,25,"2,169",24.1,7,1,8,7,0,1,7,0,0.29,0.04,0.33,0.29,0.33,Matches
Sotiris Alexandropoulos,gr GRE,MF,Olympiacos,21,2001,19,8,744,8.3,1,0,1,1,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches
Nikolai Alho,fi FIN,"DF,MF",Volos NFC,30,1993,26,24,"2,085",23.2,1,2,3,1,0,0,3,1,0.04,0.09,0.13,0.04,0.13,Matches
Federico Álvarez,ar ARG,DF,Asteras Tripoli,28,1994,28,16,"1,652",18.4,1,1,2,1,0,0,6,0,0.05,0.05,0.11,0.05,0.11,Matches
Pedro Amaral,pt POR,"DF,MF",PAS Lamia,25,1997,18,15,"1,186",13.2,1,2,3,1,0,0,3,1,0.08,0.15,0.23,0.08,0.23,Matches
Nordin Amrabat,ma MAR,MF,AEK Athens,36,1987,27,13,"1,225",13.6,6,7,13,3,3,3,2,0,0.44,0.51,0.96,0.22,0.73,Matches
Alexandros Anagnostopoulos,gr GRE,GK,AO Kifisia,28,1994,23,23,"2,070",23.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicolás Andereggen,ar ARG,"MF,FW",AO Kifisia,23,1999,17,7,634,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Konstantinos Angelakis,gr GRE,FW,Asteras Tripoli,15,2007,2,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Karol Angielski,pl POL,FW,Atromitos,27,1996,30,15,"1,444",16.0,9,1,10,6,3,3,2,0,0.56,0.06,0.62,0.37,0.44,Matches
