Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Dawid Abramowicz,pl POL,"DF,MF",Radomiak Radom,31,1991,31,31,"2,775",30.8,4,1,5,4,0,0,6,0,0.13,0.03,0.16,0.13,0.16,Matches
Mateusz Abramowicz,pl POL,GK,Miedź Legnica,29,1992,20,20,"1,800",20.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sławomir Abramowicz,pl POL,GK,Jagiellonia,18,2004,3,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Joel Abu Hanna,il ISR,DF,Lechia Gdańsk,24,1998,14,13,994,11.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Joel Abu Hanna,il ISR,DF,Legia Warsaw,24,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rafał Adamski,pl POL,FW,Zagłębie Lubin,20,2001,19,9,955,10.6,2,0,2,2,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches
Emmanuel Agbor,cm CMR,FW,Miedź Legnica,19,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Pontus Almqvist,se SWE,"FW,MF",Pogoń Szczecin,23,1999,27,16,"1,385",15.4,5,6,11,5,0,0,1,0,0.32,0.39,0.71,0.32,0.71,Matches
Zlatan Alomerović,de GER,GK,Jagiellonia,31,1991,32,32,"2,835",31.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Roberto Alves,ch SUI,"MF,FW",Radomiak Radom,25,1997,32,31,"2,641",29.3,3,4,7,3,0,1,5,0,0.10,0.14,0.24,0.10,0.24,Matches
João Amaral,pt POR,MF,Lech Poznań,30,1991,21,6,782,8.7,2,1,3,2,0,0,1,0,0.23,0.12,0.35,0.23,0.35,Matches
Michael Ameyaw,pl POL,MF,Piast Gliwice,21,2000,27,16,"1,493",16.6,3,1,4,3,0,0,6,0,0.18,0.06,0.24,0.18,0.24,Matches
Jakub Antczak,pl POL,MF,Lech Poznań,18,2004,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Zoran Arsenić,hr CRO,DF,RKS Raków,28,1994,31,30,"2,620",29.1,0,1,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03,Matches
Jani Atanasov,mk MKD,MF,Cracovia,22,1999,15,10,920,10.2,1,3,4,1,0,0,2,1,0.10,0.29,0.39,0.10,0.39,Matches
Rafał Augustyniak,pl POL,DF,Legia Warsaw,28,1993,25,18,"1,745",19.4,4,0,4,4,0,0,4,0,0.21,0.00,0.21,0.21,0.21,Matches
Jon Aurtenetxe,es ESP,DF,Miedź Legnica,30,1992,8,6,517,5.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
