Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Luka Bijelovic,rs SRB,FW,Spartak Subotic,21,2001,31,29,"2,357",26.2,8,2,10,6,2,2,4,0,0.31,0.08,0.38,0.23,0.31,Matches
Marko Bjeković,rs SRB,DF,Vojvodina,21,2000,19,14,"1,317",14.6,0,3,3,0,0,0,3,0,0.00,0.21,0.21,0.00,0.21,Matches
Miroslav Bjeloš,rs SRB,MF,FK Mladost Novi Sad,31,1990,11,5,466,5.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Vuk Bogdanović,rs SRB,DF,Red Star,20,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Vuk Bogdanović,rs SRB,DF,Vojvodina,20,2002,2,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Vukašin Bogdanović,rs SRB,FW,Radnik Surdulica,19,2002,20,12,883,9.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Bogdanovski,mk MKD,MF,Novi Pazar,23,1999,28,14,"1,424",15.8,2,1,3,2,0,0,3,0,0.13,0.06,0.19,0.13,0.19,Matches
Nikola Bogdanovski,mk MKD,MF,Radnik Surdulica,23,1999,4,2,166,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mihailo Bogicevic,ch SUI,DF,Spartak Subotic,24,1998,20,16,"1,545",17.2,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches
Milan Bojović,rs SRB,FW,Mladost Lučani,35,1987,19,19,"1,697",18.9,11,3,14,6,5,5,3,0,0.58,0.16,0.74,0.32,0.48,Matches
Klemen Bolha,si SVN,MF,Napredak Kruš,29,1993,24,17,"1,524",16.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Taras Bondarenko,ua UKR,GK,Radnik Surdulica,29,1992,17,17,"1,485",16.5,2,0,2,2,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
Milan Borjan,ca CAN,GK,Red Star,34,1987,33,33,"2,970",33.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Radivoj Bosić,rs SRB,FW,Spartak Subotic,21,2000,7,2,215,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches

Radivoj Bosić,rs SRB,FW,Javor Ivanjica,21,2000,15,7,629,7.0,1,0,1,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,Matches
Miloš Brnović,me MNE,FW,Radnički Kragujevac,22,2000,12,1,251,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
