Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Rayane Aabid,fr FRA,MF,Yeni Mal'spor,29,1992,22,21,"1,856",20.6,1,2,3,1,0,0,3,0,0.05,0.10,0.15,0.05,0.15,Matches
Rayane Aabid,fr FRA,MF,Kasımpaşa,29,1992,12,5,421,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Patrick van Aanholt,nl NED,DF,Galatasaray,30,1990,35,33,"2,780",30.9,2,2,4,2,0,1,3,0,0.06,0.06,0.13,0.06,0.13,Matches
Sam Adekugbe,ca CAN,DF,Hatayspor,26,1995,34,34,"2,927",32.5,0,2,2,0,0,0,9,1,0.00,0.06,0.06,0.00,0.06,Matches
Luiz Adriano,br BRA,"MF,FW",Antalyaspor,34,1987,15,15,"1,202",13.4,4,2,6,4,0,0,3,0,0.30,0.15,0.45,0.30,0.45,Matches
Serhat Ahmetoğlu,,DF,Fatih Karagümrük,19,2002,4,1,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Serge Aka,ci CIV,MF,Altay,26,1994,7,3,310,3.4,0,1,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,Matches
Eray Akar,,FW,Hatayspor,18,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Harun Akaydin,,DF,Kasımpaşa,15,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Samet Akaydın,tr TUR,DF,Adana Demirspor,27,1994,33,33,"2,951",32.8,2,0,2,2,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
Emre Akbaba,tr TUR,MF,Alanyaspor,28,1992,31,25,"2,246",25.0,10,4,14,10,0,0,4,0,0.40,0.16,0.56,0.40,0.56,Matches
Emre Akbaba,tr TUR,"FW,MF",Galatasaray,28,1992,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Arda Akbulut,tr TUR,GK,Trabzonspor,20,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Halil Akbunar,tr TUR,"MF,FW",Göztepe,27,1993,32,29,"2,496",27.7,4,4,8,4,0,0,5,1,0.14,0.14,0.29,0.14,0.29,Matches
Murat Akça,tr TUR,DF,Altay,31,1990,26,26,"2,255",25.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
İbrahim Akdağ,tr TUR,MF,Kayserispor,30,1991,32,28,"2,252",25.0,1,2,3,0,1,1,11,0,0.04,0.08,0.12,0.00,0.08,Matches
Yunus Akgün,tr TUR,MF,Adana Demirspor,21,2000,34,31,"2,594",28.8,8,9,17,8,0,0,5,0,0.28,0.31,0.59,0.28,0.59,Matches
