Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Kerem Atakan Kesgin,tr TUR,MF,Sivasspor,20,2000,13.4,5,0,0,28,28,1,22,15,12,,,0,Matches
Daniel Avramovski,mk MKD,MF,Kayserispor,26,1995,0.5,0,0,0,0,0,0,0,3,0,,,0,Matches
Chidozie Awaziem,ng NGA,DF,Alanyaspor,24,1997,16.9,9,0,0,22,6,1,0,28,22,,,1,Matches
Philip Awuku,tg TOG,DF,Yeni Mal'spor,21,2000,11.1,3,0,0,15,14,0,0,14,9,,,0,Matches
Selim Ay,tr TUR,DF,Rizespor,30,1991,21.9,6,0,0,24,20,1,4,21,14,,,1,Matches
Oğuz Aydın,tr TUR,"MF,FW",Alanyaspor,20,2000,6.7,2,0,0,12,5,1,27,1,8,,,0,Matches
Emirhan Aydoğan,tr TUR,MF,Alanyaspor,24,1997,0.6,0,0,0,1,4,0,2,0,0,,,0,Matches
Soner Aydoğdu,tr TUR,MF,Göztepe,30,1991,26.3,5,0,0,26,29,4,67,22,24,,,0,Matches
Sakıb Aytaç,tr TUR,DF,Kasımpaşa,29,1991,3.2,1,0,0,5,5,1,7,6,6,,,0,Matches
Serdar Aziz,tr TUR,DF,Fenerbahçe,30,1990,19.9,9,0,0,12,10,1,5,26,24,,,0,Matches
Mame Baba Thiam,sn SEN,MF,Kayserispor,28,1992,22.7,1,0,0,35,28,14,22,26,16,,,0,Matches
Atalay Babacan,tr TUR,MF,Galatasaray,21,2000,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Volkan Babacan,tr TUR,GK,Başakşehir,32,1988,31.0,1,0,0,1,7,0,0,1,0,,,0,Matches
Khouma Babacar,sn SEN,"FW,MF",Alanyaspor,28,1993,5.9,1,0,0,15,12,2,0,5,1,,,0,Matches
Ryan Babel,nl NED,"MF,FW",Galatasaray,34,1986,17.5,3,0,0,18,19,4,51,7,9,,,0,Matches
Fabrício Baiano,br BRA,"MF,DF",Rizespor,29,1992,23.9,10,4,2,56,33,1,27,24,33,,,0,Matches
Anastasios Bakasetas,gr GRE,MF,Trabzonspor,28,1993,25.2,5,0,0,39,47,2,123,14,15,,,0,Matches
Makana Baku,de GER,"MF,FW",Göztepe,23,1998,8.9,0,0,0,8,7,1,19,4,4,,,0,Matches
Bünyamin Balcı,tr TUR,"DF,MF",Antalyaspor,21,2000,30.4,2,0,0,30,48,5,44,36,36,,,0,Matches
Ethem Balcı,,MF,Kayserispor,18,2003,0.2,0,0,0,0,0,0,2,0,0,,,0,Matches
Ibrahima Baldé,sn SEN,FW,Giresunspor,32,1989,13.8,1,0,0,28,21,8,3,5,3,,,0,Matches
Jure Balkovec,si SVN,DF,Fatih Karagümrük,26,1994,20.5,4,0,0,14,11,0,51,15,12,,,0,Matches
Mario Balotelli,it ITA,FW,Adana Demirspor,30,1990,23.2,10,1,0,44,65,19,20,3,9,,,0,Matches
Daouda Bamba,ci CIV,"FW,MF",Altay,26,1995,22.1,2,0,0,29,11,10,8,1,11,,,0,Matches
Rayyan Baniya,,DF,Fatih Karagümrük,22,1999,0.1,0,0,0,0,0,0,0,1,0,,,0,Matches

Abdülkerim Bardakcı,tr TUR,DF,Konyaspor,26,1994,33.0,10,0,0,42,24,5,6,55,35,,,0,Matches
Sadık Baş,,"DF,MF",Hatayspor,27,1994,10.4,1,0,0,9,13,1,47,16,13,,,0,Matches
Barış Başdaş,tr TUR,DF,Yeni Mal'spor,31,1990,5.7,1,1,0,7,2,1,2,9,8,,,0,Matches
Emrah Başsan,tr TUR,MF,Kayserispor,29,1992,21.6,1,0,0,17,51,16,149,27,24,,,0,Matches
Michy Batshuayi,be BEL,FW,Beşiktaş,27,1993,26.8,6,0,0,39,39,39,3,4,2,,,0,Matches
Bilal Bayazit,nl NED,GK,Kayserispor,22,1999,5.0,1,0,0,0,0,0,0,0,0,,,0,Matches
