Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Mimeirhel Benita,nl NED,DF,Excelsior,19,2003,10.5,2,0,0,4,14,0,23,17,17,1,0,0,44,20,20,50.0,Matches
Walter Benítez,ar ARG,GK,PSV Eindhoven,30,1993,32.9,1,0,0,0,5,0,0,0,0,0,0,0,72,3,0,100.0,Matches
Mitchell van Bergen,nl NED,FW,Twente,23,1999,5.8,0,0,0,2,5,2,68,4,5,0,0,0,26,3,13,18.8,Matches
Steven Berghuis,nl NED,"FW,MF",Ajax,31,1991,16.0,1,0,0,12,15,4,126,5,15,0,0,0,59,4,6,40.0,Matches
Steven Bergwijn,nl NED,"FW,MF",Ajax,25,1997,21.6,5,1,0,13,23,3,20,4,12,0,1,0,84,10,13,43.5,Matches
Gijs Besselink,nl NED,"FW,MF",Twente,19,2004,0.6,0,0,0,5,2,0,0,1,2,0,0,0,8,0,3,0.0,Matches
Justin Bijlow,nl NED,GK,Feyenoord,25,1998,16.2,1,0,0,0,0,0,0,0,0,0,0,0,51,7,0,100.0,Matches
Daan Bisschops,nl NED,FW,Fortuna Sittard,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Adrian Blake,eng ENG,"FW,MF",Utrecht,18,2005,0.3,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0.0,Matches

Xander Blomme,be BEL,MF,Go Ahead Eag,21,2002,7.9,3,0,0,12,6,0,1,18,15,0,0,0,38,19,16,54.3,Matches
Myron Boadu,nl NED,"FW,MF",Twente,22,2001,3.3,1,0,0,9,5,5,0,0,1,0,0,0,3,9,7,56.3,Matches
Paweł Bochniewicz,pl POL,DF,Heerenveen,27,1996,25.7,2,0,0,25,15,0,1,25,14,0,1,2,137,70,39,64.2,Matches
Ruben van Bommel,nl NED,FW,AZ Alkmaar,18,2004,17.2,2,0,0,26,14,1,38,10,21,0,0,0,66,11,16,40.7,Matches
