Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches


Rodrigo Abascal,uy URU,DF,Boavista,29,1994,29,29,"2,479",27.5,2,0,2,2,0,0,8,0,1.4,1.4,0.6,2.0,17,83,19,0.07,0.00,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07,Matches
Antonio Adán,es ESP,GK,Sporting CP,36,1987,22,22,"1,980",22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Dennis Adeniran,eng ENG,MF,Portimonense,24,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Martin Agirregabiria,es ESP,DF,Famalicão,27,1996,24,13,"1,207",13.4,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,18,52,66,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
Salvador Agra,pt POR,"FW,DF",Boavista,31,1991,31,31,"2,459",27.3,3,1,4,3,0,0,7,0,2.3,2.3,3.6,5.9,60,89,174,0.11,0.04,0.15,0.11,0.15,0.08,0.13,0.22,0.08,0.22,Matches
Matheus Aiás,br BRA,"FW,MF",Moreirense,26,1996,18,5,477,5.3,2,0,2,2,0,0,0,0,1.9,1.9,0.2,2.1,5,14,28,0.38,0.00,0.38,0.38,0.38,0.36,0.04,0.40,0.36,0.40,Matches
Alan,br BRA,MF,Moreirense,23,2000,33,29,"2,454",27.3,3,4,7,3,0,1,5,0,3.9,3.1,4.0,7.0,63,164,95,0.11,0.15,0.26,0.11,0.26,0.14,0.15,0.29,0.11,0.26,Matches
Rafael Alcobia,pt POR,DF,Portimonense,20,2003,3,2,203,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,0,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
Alemão,br BRA,DF,Portimonense,20,2002,27,27,"2,367",26.3,2,0,2,2,0,0,7,0,0.7,0.7,0.4,1.1,9,43,3,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04,Matches
Ali Alipour,ir IRN,FW,Gil Vicente FC,27,1995,19,9,804,8.9,2,0,2,1,1,1,1,0,2.7,1.9,1.0,2.9,8,11,43,0.22,0.00,0.22,0.11,0.11,0.30,0.11,0.41,0.21,0.32,Matches
