Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Nabil Alioui,fr FRA,MF,Adana Demirspor,24,1999,6,2,189,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Xusniddin Aliqulov,uz UZB,DF,Rizespor,24,1999,21,15,"1,309",14.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Fidan Aliti,xk KVX,DF,Alanyaspor,29,1993,35,34,"3,046",33.8,0,2,2,0,0,0,7,0,0.00,0.06,0.06,0.00,0.06,Matches
Barış Alper Yılmaz,tr TUR,"MF,DF",Galatasaray,23,2000,37,28,"2,543",28.3,6,6,12,6,0,0,8,0,0.21,0.21,0.42,0.21,0.42,Matches
Marcos Vinicius Amaral Alves,br BRA,FW,Fatih Karagümrük,29,1994,11,8,671,7.5,6,1,7,6,0,1,1,0,0.80,0.13,0.94,0.80,0.94,Matches
Daniel Amartey,gh GHA,"DF,MF",Beşiktaş,28,1994,18,12,"1,059",11.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Anderson,br BRA,FW,Alanyaspor,25,1997,11,2,250,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Angeliño,es ESP,DF,Galatasaray,26,1997,8,7,603,6.7,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
Seyfettin Anıl Yaşar,tr TUR,DF,Rizespor,21,2002,19,7,687,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Taylan Antalyalı,tr TUR,MF,Samsunspor,28,1995,26,21,"1,767",19.6,2,1,3,0,2,2,3,0,0.10,0.05,0.15,0.00,0.05,Matches
Nicholas Anwan,ng NGA,MF,Fatih Karagümrük,22,2001,3,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aias Aosman,sy SYR,MF,Pendikspor,28,1994,1,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Appindangoyé,ga GAB,DF,Sivasspor,31,1992,31,30,"2,687",29.9,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,Matches
Alp Arda,,GK,İstanbulspor,28,1995,20,20,"1,782",19.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches

Eren Arda San,,FW,İstanbulspor,17,2006,6,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
