Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Amarildo,br BRA,DF,Famalicão,22,1999,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
André Amaro,pt POR,DF,Vitória,18,2002,6.3,3,0,0,6,4,0,0,6,6,0,0,0,32,17,7,70.8,Matches
Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,22.2,9,0,0,28,9,1,4,34,18,0,1,0,115,41,44,48.2,Matches
Anderson,br BRA,"FW,MF",Portimonense,23,1998,11.4,2,0,0,14,19,1,12,5,11,1,0,0,71,1,10,9.1,Matches
Léo Andrade,br BRA,DF,Marítimo,23,1998,14.3,7,0,0,17,6,0,0,20,20,0,1,0,59,44,30,59.5,Matches

Rodri Andrade,pt POR,MF,Marítimo,19,2001,0.1,0,0,0,2,0,0,0,1,0,0,0,0,1,2,1,66.7,Matches
André André,pt POR,MF,Vitória,31,1989,10.4,5,0,0,25,38,0,6,8,15,0,0,0,58,6,8,42.9,Matches
Mauro Andrés Caballero,py PAR,FW,Arouca,26,1994,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,100.0,Matches
Andrew,br BRA,GK,Gil Vicente FC,20,2001,10.0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,1,50.0,Matches
Iván Angulo,co COL,"FW,MF",Portimonense,22,1999,26.2,4,0,0,24,31,10,24,24,23,1,0,0,122,5,29,14.7,Matches
Antony,br BRA,"FW,MF",Arouca,19,2001,7.4,1,0,0,14,15,4,12,7,12,0,0,0,44,12,18,40.0,Matches
Vitorino Antunes,pt POR,DF,Paços,34,1987,28.2,11,0,0,45,58,0,203,31,29,0,1,0,161,28,34,45.2,Matches
Bilel Aouacheria,fr FRA,"FW,MF",Gil Vicente FC,27,1994,7.1,5,0,0,16,11,0,24,4,3,0,0,0,33,7,13,35.0,Matches
Wilinton Aponzá,co COL,"FW,MF",Portimonense,21,2000,8.3,4,0,0,25,10,14,3,1,1,0,0,0,18,24,32,42.9,Matches
Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Henrique Araújo,pt POR,FW,Benfica,19,2002,1.4,0,0,0,2,1,2,0,0,0,0,0,0,3,5,5,50.0,Matches
