Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches


Patrick van Aanholt,nl NED,DF,PSV Eindhoven,32,1990,24,9,"1,114",12.4,1,1,2,1,0,0,0,0,2.1,2.1,2.3,4.5,40,65,98,0.08,0.08,0.16,0.08,0.16,0.17,0.19,0.36,0.17,0.36,Matches
Paxten Aaronson,us USA,MF,Vitesse,19,2003,14,14,"1,253",13.9,4,0,4,4,0,0,4,0,5.0,5.0,1.7,6.8,34,43,61,0.29,0.00,0.29,0.29,0.29,0.36,0.12,0.48,0.36,0.48,Matches
Jayden Addai,nl NED,FW,AZ Alkmaar,17,2005,8,2,297,3.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.4,11,8,29,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,Matches
Bobby Adekanye,nl NED,FW,Go Ahead Eag,24,1999,28,23,"1,804",20.0,0,5,5,0,0,0,4,1,2.6,2.6,5.7,8.3,67,51,114,0.00,0.25,0.25,0.00,0.25,0.13,0.29,0.41,0.13,0.41,Matches
Shawn Adewoye,be BEL,DF,RKC Waalwijk,23,2000,29,26,"2,338",26.0,1,0,1,1,0,0,1,1,1.3,1.3,0.4,1.7,26,97,3,0.04,0.00,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,Matches
Nikolas Agrafiotis,nl NED,FW,Excelsior,23,2000,18,10,758,8.4,5,2,7,5,0,0,0,0,4.0,4.0,1.3,5.3,7,12,44,0.59,0.24,0.83,0.59,0.83,0.47,0.16,0.62,0.47,0.62,Matches
Chuba Akpom,eng ENG,"FW,MF",Ajax,27,1995,25,8,"1,049",11.7,11,3,14,11,0,0,0,0,9.0,9.0,1.9,10.9,23,38,74,0.94,0.26,1.20,0.94,1.20,0.77,0.16,0.93,0.77,0.93,Matches
Hamdi Akujobi,nl NED,"DF,FW",Almere City,23,2000,23,16,"1,557",17.3,0,2,2,0,0,0,4,0,1.0,1.0,1.4,2.5,29,50,64,0.00,0.12,0.12,0.00,0.12,0.06,0.08,0.14,0.06,0.14,Matches
Hussein Ali,iq IRQ,"DF,FW",Heerenveen,21,2002,15,8,699,7.8,0,0,0,0,0,0,0,0,0.4,0.4,0.7,1.1,13,16,34,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,Matches
Jordi Altena,nl NED,MF,Vitesse,19,2003,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
