Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Vladimir Bajić,rs SRB,GK,Napredak Kruš,35,1987,8,7,646,7.2,,,,,,1,1,5,1,14.3,1,1,0,0,0.0,Matches
Lazar Balević,rs SRB,GK,Napredak Kruš,15,2007,3,3,270,3.0,,,,,,0,0,3,0,0.0,0,0,0,0,,Matches
Nemanja Belić,rs SRB,GK,Čukarički,36,1987,5,5,450,5.0,,,,,,2,1,2,2,40.0,0,0,0,0,,Matches
Lazar Carević,me MNE,GK,Vojvodina,24,1999,33,33,"2,970",33.0,,,,,,17,7,9,9,27.3,3,3,0,0,0.0,Matches
Marin Dulić,rs SRB,GK,Spartak Subotic,19,2004,1,1,90,1.0,,,,,,0,1,0,1,100.0,0,0,0,0,,Matches
Nenad Filipović,rs SRB,GK,Čukarički,36,1987,20,20,"1,800",20.0,,,,,,9,5,6,3,15.0,4,3,0,1,0.0,Matches
Omri Glazer,il ISR,GK,Red Star,27,1996,34,34,"3,015",33.5,,,,,,28,3,3,10,29.4,2,2,0,0,0.0,Matches
Miloš Gordić,rs SRB,GK,FK IMT Novi Beograd,23,2000,32,31,"2,863",31.8,,,,,,9,9,13,7,22.6,9,8,0,1,0.0,Matches
Marko Gudžulić,rs SRB,GK,Voždovac,21,2002,8,7,675,7.5,,,,,,1,2,4,2,28.6,1,1,0,0,0.0,Matches
Ivan Guteša,rs SRB,GK,Red Star,21,2002,1,1,90,1.0,,,,,,1,0,0,1,100.0,0,0,0,0,,Matches
Veljko Ilic,rs SRB,GK,TSC Bačka Top,20,2003,32,32,"2,853",31.7,,,,,,21,6,5,15,46.9,8,4,2,2,33.3,Matches
Aleksandar Jovanović,rs SRB,GK,Partizan,30,1992,34,34,"3,008",33.4,,,,,,23,5,6,10,29.4,5,5,0,0,0.0,Matches
Lazar Kaličanin,rs SRB,GK,Čukarički,22,2001,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Andrija Katić,rs SRB,GK,Voždovac,21,2002,30,30,"2,655",29.5,,,,,,8,9,13,4,13.3,6,6,0,0,0.0,Matches
Aleksandar Knezevic,rs SRB,GK,FK IMT Novi Beograd,22,2001,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Milos Krunic,rs SRB,GK,Partizan,26,1996,3,2,232,2.6,,,,,,1,0,1,0,0.0,2,2,0,0,0.0,Matches
Stojan Leković,rs SRB,GK,Radnički Kragujevac,21,2001,29,29,"2,610",29.0,,,,,,16,4,9,9,31.0,5,5,0,0,0.0,Matches
Ognjen Lukić,rs SRB,GK,FK Železničar Pančevo,20,2003,3,3,225,2.5,,,,,,1,0,2,0,0.0,0,0,0,0,,Matches
Filip Manojlović,rs SRB,GK,Spartak Subotic,27,1996,9,9,794,8.8,,,,,,4,0,5,3,33.3,2,1,1,0,50.0,Matches
