Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Kristian Arnstad,no NOR,MF,Anderlecht,17,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gerardo Arteaga,mx MEX,DF,Genk,22,1998,26,24,"2,203",24.5,0,4,4,0,0,0,4,1,0.9,0.9,1.9,2.8,48,136,143,0.00,0.16,0.16,0.00,0.16,0.03,0.08,0.11,0.03,0.11,Matches
Majeed Ashimeru,gh GHA,MF,Anderlecht,23,1997,31,10,"1,124",12.5,3,2,5,3,0,0,4,1,2.4,2.4,3.1,5.5,17,85,38,0.24,0.16,0.40,0.24,0.40,0.19,0.25,0.44,0.19,0.44,Matches
David Atanga,gh GHA,"MF,DF",Oostende,24,1996,18,4,645,7.2,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,10,30,64,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
Felipe Avenatti,uy URU,FW,Beerschot,28,1993,9,9,778,8.6,1,1,2,1,0,0,3,0,1.0,1.0,0.7,1.7,6,16,54,0.12,0.12,0.23,0.12,0.23,0.13,0.09,0.22,0.13,0.22,Matches

Felipe Avenatti,uy URU,"FW,MF",Union SG,28,1993,14,0,80,0.9,0,0,0,0,0,0,2,0,0.5,0.5,0.3,0.8,2,5,8,0.00,0.00,0.00,0.00,0.00,0.56,0.34,0.91,0.56,0.91,Matches
Muhammed Badamosi,gm GAM,FW,Kortrijk,22,1998,22,14,"1,199",13.3,1,1,2,1,0,0,4,0,2.5,2.5,1.4,3.9,10,19,56,0.08,0.08,0.15,0.08,0.15,0.19,0.11,0.29,0.19,0.29,Matches
Youssouph Badji,sn SEN,FW,Charleroi,19,2001,9,5,547,6.1,0,0,0,0,0,0,0,0,1.4,1.4,0.2,1.6,2,12,35,0.00,0.00,0.00,0.00,0.00,0.23,0.03,0.26,0.23,0.26,Matches
Jonas Bager,dk DEN,DF,Union SG,25,1996,26,20,"1,627",18.1,0,2,2,0,0,0,1,2,0.2,0.2,0.8,1.0,12,72,9,0.00,0.11,0.11,0.00,0.11,0.01,0.05,0.06,0.01,0.06,Matches
