Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Lachezar Baltanov,bg BUL,MF,Tsarsko Selo,33,1988,18,15,"1,353",15.0,2,0,2,2,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches
Ivan Bandalovski,bg BUL,DF,Tsarsko Selo,34,1986,13,13,"1,100",12.2,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
Bilal Bari,ma MAR,FW,Levski Sofia,23,1998,31,31,"2,746",30.5,6,0,6,6,0,0,5,0,0.20,0.00,0.20,0.20,0.20,Matches
Antoine Baroan,fr FRA,FW,Botev Plovdiv,21,2000,27,19,"1,532",17.0,5,0,5,5,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches
Angel Bastunov,bg BUL,FW,CSKA 1948,22,1999,23,12,"1,112",12.4,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
Yoan Baurenski,bg BUL,MF,Botev Vratsa,19,2001,26,23,"2,044",22.7,1,0,1,1,0,0,11,2,0.04,0.00,0.04,0.04,0.04,Matches
Syam Ben Youssef,tn TUN,DF,Beroe,32,1989,12,12,"1,080",12.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Zakaria Benchaâ,dz ALG,FW,Cherno More,24,1997,7,2,234,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Ventsislav Bengyuzov,bg BUL,MF,Pirin Blagoevgrad,30,1991,19,8,695,7.7,1,0,1,1,0,0,7,0,0.13,0.00,0.13,0.13,0.13,Matches
Mohamed Bentahar,fr FRA,FW,Botev Vratsa,27,1994,10,3,371,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ryan Bidounga,cg CGO,DF,Loko Plovdiv,24,1997,11,10,891,9.9,1,0,1,1,0,0,4,1,0.10,0.00,0.10,0.10,0.10,Matches
