Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Nicklas Helenius,dk DEN,FW,Silkeborg,30,1991,29,29,"2,518",28.0,17,2,19,15,2,2,2,0,0.61,0.07,0.68,0.54,0.61,Matches
Mads Hermansen,dk DEN,GK,Brøndby,21,2000,29,29,"2,610",29.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Heron,br BRA,"DF,MF",Vejle BK,20,2000,16,10,888,9.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Lundrim Hetemi,dk DEN,MF,Vejle BK,21,2000,22,9,"1,038",11.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Malthe Hojholt,dk DEN,MF,Aalborg,20,2001,30,27,"2,299",25.5,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
Emil Holm,se SWE,"DF,MF",SønderjyskE,21,2000,25,25,"2,129",23.7,3,2,5,2,1,1,8,0,0.13,0.08,0.21,0.08,0.17,Matches
Martin Huldahl,dk DEN,FW,Viborg,16,2004,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Høegh,dk DEN,DF,Midtjylland,30,1991,19,17,"1,516",16.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Rasmus Højlund,dk DEN,FW,FC Copenhagen,18,2003,15,1,306,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches

Hans Høllsberg,dk DEN,MF,Vejle BK,19,2002,17,6,717,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Tarik Ibrahimagic,dk DEN,MF,Odense,20,2001,3,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Frederik Ibsen,dk DEN,DF,Brøndby,21,1999,4,0,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Frederik Ihler,dk DEN,FW,AGF,18,2003,7,0,69,0.8,1,0,1,1,0,0,0,0,1.30,0.00,1.30,1.30,1.30,Matches
Gustav Isaksen,dk DEN,"FW,MF",Midtjylland,20,2001,30,26,"1,932",21.5,5,5,10,5,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches
Mihajlo Ivančević,rs SRB,DF,Odense,22,1999,8,7,640,7.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Jens Jakob Thomasen,dk DEN,MF,Odense,25,1996,28,25,"2,199",24.4,2,1,3,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12,Matches
Manjrekar James,ca CAN,DF,Vejle BK,27,1993,13,11,"1,044",11.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Alassana Jatta,gm GAM,FW,Viborg,22,1999,25,3,577,6.4,3,0,3,3,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches
Issam Jebali,tn TUN,"MF,FW",Odense,29,1991,25,22,"1,875",20.8,10,4,14,7,3,5,5,1,0.48,0.19,0.67,0.34,0.53,Matches
Elias Jelert,dk DEN,DF,FC Copenhagen,18,2003,11,4,439,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Isak Jensen,dk DEN,"FW,MF",SønderjyskE,17,2003,19,5,582,6.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Jensen,dk DEN,FW,Vejle BK,26,1994,4,1,109,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
