Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Faouzi Ghoulam,dz ALG,DF,Napoli,30,1991,3.7,0,3,1,33.3,0.81,0.27,0.00,0.00,28.2,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Sebastian Giovinco,it ITA,MF,Sampdoria,34,1987,0.4,0,1,0,0.0,2.31,0.00,0.00,,19.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Olivier Giroud,fr FRA,FW,Milan,34,1986,21.0,11,61,22,36.1,2.90,1.05,0.15,0.41,11.9,2,2,2,9.8,8.3,0.14,+1.2,+0.7,Matches
Diego Godín,uy URU,DF,Cagliari,35,1986,9.1,0,7,0,0.0,0.77,0.00,0.00,,11.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Edoardo Goldaniga,it ITA,DF,Cagliari,27,1993,10.4,0,5,1,20.0,0.48,0.10,0.00,0.00,15.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Edoardo Goldaniga,it ITA,"DF,MF",Sassuolo,27,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cedric Gondo,ci CIV,FW,Salernitana,24,1996,7.8,1,19,8,42.1,2.45,1.03,0.05,0.13,15.8,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
Nicolás González,ar ARG,FW,Fiorentina,23,1998,26.2,7,69,19,27.5,2.63,0.73,0.06,0.21,16.3,0,3,3,10.1,7.7,0.11,-3.1,-3.7,Matches

Robin Gosens,de GER,DF,Atalanta,27,1994,5.1,1,15,4,26.7,2.93,0.78,0.07,0.25,13.2,0,0,0,1.7,1.7,0.11,-0.7,-0.7,Matches
Robin Gosens,de GER,DF,Inter,27,1994,1.9,0,4,1,25.0,2.13,0.53,0.00,0.00,17.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Alberto Grassi,it ITA,MF,Cagliari,26,1995,24.2,0,24,2,8.3,0.99,0.08,0.00,0.00,19.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
Koray Günter,de GER,DF,Hellas Verona,26,1994,26.8,0,6,2,33.3,0.22,0.07,0.00,0.00,14.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Albert Guðmundsson,is ISL,"FW,MF",Genoa,24,1997,6.7,1,9,1,11.1,1.33,0.15,0.11,1.00,17.6,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Matches
Emmanuel Gyasi,gh GHA,"FW,MF",Spezia,27,1994,33.7,6,38,13,34.2,1.13,0.39,0.16,0.46,15.0,0,0,0,5.6,5.6,0.15,+0.4,+0.4,Matches
Norbert Gyömbér,sk SVK,DF,Salernitana,29,1992,28.5,0,9,2,22.2,0.32,0.07,0.00,0.00,13.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Nicolas Haas,ch SUI,MF,Empoli,25,1996,11.1,0,7,2,28.6,0.63,0.18,0.00,0.00,16.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Samir Handanović,si SVN,GK,Inter,37,1984,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ridgeciano Haps,sr SUR,DF,Venezia,28,1993,22.8,1,11,2,18.2,0.48,0.09,0.09,0.50,22.9,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
Abdou Harroui,nl NED,MF,Sassuolo,23,1998,5.0,0,13,2,15.4,2.59,0.40,0.00,0.00,21.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Hans Hateboer,nl NED,"DF,MF",Atalanta,27,1994,15.4,0,17,2,11.8,1.10,0.13,0.00,0.00,12.9,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
Silvan Hefti,ch SUI,DF,Genoa,23,1997,14.3,0,5,1,20.0,0.35,0.07,0.00,0.00,16.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Liam Henderson,sct SCO,MF,Empoli,25,1996,22.4,2,42,15,35.7,1.87,0.67,0.05,0.13,21.1,2,0,0,2.5,2.5,0.06,-0.5,-0.5,Matches
Dalbert Henrique,br BRA,"DF,MF",Cagliari,27,1993,23.1,0,10,1,10.0,0.43,0.04,0.00,0.00,17.3,0,0,0,1.5,1.5,0.15,-1.5,-1.5,Matches
Matheus Henrique,br BRA,MF,Sassuolo,23,1997,12.0,0,8,0,0.0,0.67,0.00,0.00,,30.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Thomas Henry,fr FRA,FW,Venezia,26,1994,23.5,9,51,24,47.1,2.17,1.02,0.18,0.38,13.3,0,0,0,6.8,6.8,0.13,+2.2,+2.2,Matches
Theo Hernández,fr FRA,DF,Milan,23,1997,30.1,5,40,13,32.5,1.33,0.43,0.10,0.31,24.5,8,1,2,3.7,2.8,0.07,+1.3,+1.2,Matches
Hernani,br BRA,"MF,FW",Genoa,27,1994,7.6,0,10,4,40.0,1.32,0.53,0.00,0.00,21.9,3,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Daan Heymans,be BEL,"MF,FW",Venezia,22,1999,2.8,0,3,1,33.3,1.05,0.35,0.00,0.00,14.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Aaron Hickey,sct SCO,DF,Bologna,19,2002,31.3,5,21,13,61.9,0.67,0.41,0.24,0.38,21.3,0,0,0,0.9,0.9,0.04,+4.1,+4.1,Matches
Martin Hongla,cm CMR,MF,Hellas Verona,23,1998,7.2,1,9,4,44.4,1.24,0.55,0.11,0.25,21.7,0,0,0,1.5,1.5,0.16,-0.5,-0.5,Matches
Sydney van Hooijdonk,nl NED,"FW,MF",Bologna,21,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Petko Hristov,bg BUL,DF,Spezia,22,1999,13.9,1,2,1,50.0,0.14,0.07,0.50,1.00,12.3,0,0,0,0.2,0.2,0.09,+0.8,+0.8,Matches
Elseid Hysaj,al ALB,DF,Lazio,27,1994,22.5,1,4,2,50.0,0.18,0.09,0.25,0.50,23.6,0,0,0,0.8,0.8,0.19,+0.2,+0.2,Matches

Roger Ibanez,br BRA,DF,Roma,22,1998,32.1,3,20,5,25.0,0.62,0.16,0.15,0.60,8.9,0,0,0,2.0,2.0,0.10,+1.0,+1.0,Matches
Zlatan Ibrahimović,se SWE,FW,Milan,39,1981,11.3,8,50,18,36.0,4.43,1.59,0.16,0.44,15.2,5,0,1,7.2,6.4,0.13,+0.8,+1.6,Matches
Igor,br BRA,DF,Fiorentina,23,1998,24.9,0,7,1,14.3,0.28,0.04,0.00,0.00,12.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Jonathan Ikone,fr FRA,FW,Fiorentina,23,1998,7.2,1,16,6,37.5,2.22,0.83,0.06,0.17,17.9,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
Ivan Ilić,rs SRB,MF,Hellas Verona,20,2001,28.1,1,22,5,22.7,0.78,0.18,0.05,0.20,19.3,2,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches
Josip Iličić,si SVN,"MF,FW",Atalanta,33,1988,9.3,3,31,7,22.6,3.32,0.75,0.10,0.43,19.1,1,0,1,3.1,2.4,0.08,-0.1,+0.6,Matches
Ciro Immobile,it ITA,FW,Lazio,31,1990,30.1,27,109,50,45.9,3.62,1.66,0.18,0.40,15.4,0,7,9,21.5,14.3,0.13,+5.5,+5.7,Matches
Lorenzo Insigne,it ITA,FW,Napoli,30,1991,25.4,11,81,24,29.6,3.18,0.94,0.02,0.08,22.8,12,9,13,15.3,4.9,0.06,-4.3,-2.9,Matches
Ardian Ismajli,al ALB,DF,Empoli,24,1996,14.1,0,5,1,20.0,0.35,0.07,0.00,0.00,14.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Armando Izzo,it ITA,DF,Torino,29,1992,5.8,0,5,3,60.0,0.86,0.51,0.00,0.00,8.7,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
Mato Jajalo,ba BIH,MF,Udinese,33,1988,7.0,0,5,0,0.0,0.72,0.00,0.00,,21.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Paweł Jaroszyński,pl POL,DF,Salernitana,26,1994,5.7,0,2,1,50.0,0.35,0.17,0.00,0.00,19.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
