Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Franck Honorat,fr FRA,"FW,MF",Brest,24,1996,32.2,11,60,30,50.0,1.86,0.93,0.18,0.37,20.5,1,0,0,4.3,4.3,0.07,+6.7,+6.7,Matches
Fraser Hornby,sct SCO,"FW,MF",Reims,21,1999,3.9,0,6,2,33.3,1.54,0.51,0.00,0.00,12.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Cédric Hountondji,bj BEN,DF,Clermont Foot,27,1994,22.6,1,8,3,37.5,0.35,0.13,0.13,0.33,9.7,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
Suk Hyun-jun,kr KOR,"FW,MF",Troyes,30,1991,1.7,0,8,2,25.0,4.71,1.18,0.00,0.00,13.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Mauro Icardi,ar ARG,FW,Paris S-G,28,1993,11.4,4,28,9,32.1,2.45,0.79,0.14,0.44,10.8,0,0,0,5.4,5.4,0.19,-1.4,-1.4,Matches
Jonathan Iglesias,uy URU,MF,Clermont Foot,32,1988,6.4,0,1,0,0.0,0.16,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Juan Ignacio Ramírez,uy URU,FW,Saint-Étienne,24,1997,1.4,0,2,0,0.0,1.43,0.00,0.00,,13.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Danylo Ihnatenko,ua UKR,MF,Bordeaux,24,1997,7.7,0,12,1,8.3,1.56,0.13,0.00,0.00,28.0,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Jonathan Ikone,fr FRA,"MF,FW",Lille,23,1998,11.8,1,22,8,36.4,1.86,0.68,0.05,0.13,18.7,2,0,0,2.1,2.1,0.10,-1.1,-1.1,Matches
Bonke Innocent,ng NGA,MF,Lorient,25,1996,9.7,0,3,1,33.3,0.31,0.10,0.00,0.00,14.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Wilson Isidor,fr FRA,"FW,MF",Monaco,20,2000,0.6,0,1,0,0.0,1.80,0.00,0.00,,11.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Ismail Jakobs,sn SEN,"DF,FW",Monaco,21,1999,13.4,0,5,1,20.0,0.37,0.07,0.00,0.00,13.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Marin Jakoliš,hr CRO,FW,Angers,24,1996,2.5,0,9,3,33.3,3.54,1.18,0.00,0.00,15.5,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Matches
Abdel Jalil Medioub,dz ALG,DF,Bordeaux,23,1997,6.9,0,3,0,0.0,0.43,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Léo Jardim,br BRA,GK,Lille,26,1995,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Corentin Jean,fr FRA,"FW,MF",Lens,26,1995,2.8,1,7,2,28.6,2.47,0.71,0.14,0.50,18.1,0,0,0,1.0,1.0,0.14,0.0,0.0,Matches
Jemerson,br BRA,DF,Metz,28,1992,13.4,0,5,2,40.0,0.37,0.15,0.00,0.00,11.5,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
Moritz Jenz,de GER,DF,Lorient,22,1999,15.3,1,9,1,11.1,0.59,0.07,0.11,1.00,8.9,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
Lenny Joseph,fr FRA,"FW,MF",Metz,20,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Issa Kaboré,bf BFA,"DF,MF",Troyes,20,2001,25.0,0,7,2,28.6,0.28,0.08,0.00,0.00,19.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Tino Kadewere,zw ZIM,FW,Lyon,25,1996,5.6,1,18,7,38.9,3.20,1.25,0.06,0.14,13.1,0,0,0,2.5,2.5,0.14,-1.5,-1.5,Matches
Gaël Kakuta,cd COD,"MF,FW",Lens,30,1991,18.6,3,40,14,35.0,2.15,0.75,0.05,0.14,23.6,2,1,1,3.5,2.7,0.07,-0.5,-0.7,Matches
Arnaud Kalimuendo,fr FRA,FW,Lens,19,2002,23.9,12,60,29,48.3,2.51,1.22,0.17,0.34,17.1,0,2,2,8.9,7.3,0.12,+3.1,+2.7,Matches
Arnaud Kalimuendo,fr FRA,FW,Paris S-G,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches

Samuel Kalu,ng NGA,"FW,MF",Bordeaux,23,1997,3.6,1,13,8,61.5,3.57,2.20,0.08,0.13,21.9,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Boubacar Kamara,fr FRA,"MF,DF",Marseille,21,1999,30.9,1,22,3,13.6,0.71,0.10,0.05,0.33,20.5,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Hassane Kamara,ci CIV,"MF,DF",Nice,27,1994,6.0,0,13,1,7.7,2.15,0.17,0.00,0.00,17.4,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
Jean-Armel Kana-Biyik,cm CMR,DF,Metz,32,1989,7.4,0,1,0,0.0,0.14,0.00,0.00,,12.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Nordine Kandil,fr FRA,"MF,FW",Strasbourg,19,2001,1.0,0,1,0,0.0,1.00,0.00,0.00,,17.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Eiji Kawashima,jp JPN,GK,Strasbourg,38,1983,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ilan Kebbal,dz ALG,"MF,FW",Reims,23,1998,19.7,1,27,6,22.2,1.37,0.30,0.04,0.17,19.7,0,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
Thilo Kehrer,de GER,DF,Paris S-G,24,1996,16.8,2,9,4,44.4,0.54,0.24,0.22,0.50,13.6,0,0,0,1.0,1.0,0.11,+1.0,+1.0,Matches
Habib Keita,ml MLI,"MF,FW",Lyon,19,2002,0.1,0,2,2,100.0,25.71,25.71,0.00,0.00,19.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Saîf-Eddine Khaoui,tn TUN,"MF,FW",Clermont Foot,26,1995,10.3,1,20,7,35.0,1.94,0.68,0.05,0.14,19.5,2,0,0,2.1,2.1,0.10,-1.1,-1.1,Matches
Wahbi Khazri,tn TUN,"FW,MF",Saint-Étienne,30,1991,24.7,10,69,18,26.1,2.79,0.73,0.09,0.33,23.6,9,4,4,7.7,4.6,0.07,+2.3,+1.4,Matches
Presnel Kimpembe,fr FRA,DF,Paris S-G,25,1995,28.6,1,7,1,14.3,0.24,0.03,0.14,1.00,9.7,0,0,0,1.4,1.4,0.20,-0.4,-0.4,Matches
Thibault Klidje,tg TOG,"MF,FW",Bordeaux,20,2001,1.0,0,1,0,0.0,1.05,0.00,0.00,,23.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Justin Kluivert,nl NED,MF,Nice,22,1999,20.8,4,30,10,33.3,1.45,0.48,0.13,0.40,18.6,2,0,0,2.8,2.8,0.09,+1.2,+1.2,Matches
Samuel Koeberlé,fr FRA,FW,Reims,16,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Philippe Koffi,ci CIV,FW,Reims,19,2002,4.2,1,9,2,22.2,2.16,0.48,0.11,0.50,14.0,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
Sead Kolašinac,ba BIH,DF,Marseille,28,1993,4.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
