Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Arda Akbulut,tr TUR,GK,Trabzonspor,20,2001,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Gökhan Akkan,tr TUR,GK,Rizespor,26,1995,27,27,"2,386",26.5,54,2.04,135,91,67.4,8,2,17,3,11.1,10,10,0,0,0.0,Matches
Murat Akşit,tr TUR,GK,Yeni Mal'spor,19,2002,1,0,14,0.2,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
Doğan Alemdar,tr TUR,GK,Kayserispor,18,2002,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches
Volkan Babacan,tr TUR,GK,Başakşehir,32,1988,31,31,"2,790",31.0,31,1.00,118,90,76.3,16,5,10,9,29.0,3,3,0,0,0.0,Matches
Bilal Bayazit,nl NED,GK,Kayserispor,22,1999,5,5,450,5.0,10,2.00,32,23,71.9,1,1,3,0,0.0,1,1,0,0,0.0,Matches
Altay Bayındır,tr TUR,GK,Fenerbahçe,23,1998,24,24,"2,141",23.8,20,0.84,83,67,80.7,17,4,3,10,41.7,6,4,0,2,0.0,Matches
Emre Bilgin,tr TUR,GK,Beşiktaş,17,2004,3,3,270,3.0,2,0.67,11,9,81.8,1,2,0,1,33.3,0,0,0,0,,Matches
Ruud Boffin,be BEL,GK,Antalyaspor,33,1987,37,37,"3,330",37.0,47,1.27,128,92,71.9,15,11,11,9,24.3,11,11,0,0,0.0,Matches
Mustafa Burak Bozan,,GK,Gaziantep FK,20,2000,4,3,279,3.1,4,1.29,17,13,76.5,1,1,1,1,33.3,0,0,0,0,,Matches
Uğurcan Çakır,tr TUR,GK,Trabzonspor,25,1996,36,36,"3,227",35.9,33,0.92,148,120,79.7,22,12,2,11,30.6,8,3,3,2,50.0,Matches
İrfan Can Eğribayat,tr TUR,GK,Göztepe,23,1998,30,30,"2,700",30.0,50,1.67,132,89,67.4,7,6,17,1,3.3,8,7,0,1,0.0,Matches
Erdem Canpolat,de GER,GK,Kasımpaşa,20,2001,3,3,270,3.0,7,2.33,19,13,68.4,2,0,1,0,0.0,1,1,0,0,0.0,Matches
José Carlos Marafona,pt POR,GK,Alanyaspor,34,1987,16,16,"1,440",16.0,27,1.69,64,38,59.4,7,4,5,4,25.0,1,1,0,0,0.0,Matches
Tarık Çetin,tr TUR,GK,Rizespor,24,1997,11,9,854,9.5,12,1.26,45,36,77.8,2,4,3,3,33.3,3,2,1,0,33.3,Matches
İsmail Çipe,tr TUR,GK,Galatasaray,26,1995,7,6,548,6.1,11,1.81,23,13,56.5,1,1,4,1,16.7,1,1,0,0,0.0,Matches
Göktan Cörüt,,GK,Giresunspor,21,2000,1,0,38,0.4,3,7.11,5,2,40.0,0,0,0,0,,0,0,0,0,,Matches
