Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches


Tammy Abraham,eng ENG,FW,Roma,25,1997,2.7,1,4,2,50.0,1.49,0.74,0.25,0.50,11.9,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches
Francesco Acerbi,it ITA,DF,Inter,35,1988,26.5,3,15,6,40.0,0.57,0.23,0.20,0.50,12.0,0,0,0,1.6,1.6,0.11,+1.4,+1.4,Matches
Yacine Adli,fr FRA,MF,Milan,23,2000,15.6,1,4,1,25.0,0.26,0.06,0.25,1.00,19.8,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
Michel Aebischer,ch SUI,MF,Bologna,26,1997,24.8,0,18,5,27.8,0.73,0.20,0.00,0.00,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Lucien Agoume,fr FRA,MF,Inter,21,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marley Aké,fr FRA,FW,Udinese,22,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30,1992,7.8,0,7,3,42.9,0.89,0.38,0.00,0.00,26.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luis Alberto,es ESP,MF,Lazio,30,1992,25.7,5,56,15,26.8,2.18,0.58,0.09,0.33,22.0,4,0,0,4.7,4.7,0.08,+0.3,+0.3,Matches
Carlos Alcaraz,ar ARG,MF,Juventus,20,2002,4.2,0,11,2,18.2,2.61,0.47,0.00,0.00,24.0,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Pontus Almqvist,se SWE,"FW,MF",Lecce,24,1999,23.4,2,40,15,37.5,1.71,0.64,0.05,0.13,19.7,0,0,0,2.3,2.3,0.06,-0.3,-0.3,Matches
Lorenzo Amatucci,it ITA,MF,Fiorentina,19,2004,0.2,0,1,0,0.0,4.09,0.00,0.00,,29.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Bruno Amione,ar ARG,DF,Hellas Verona,21,2002,6.4,0,5,3,60.0,0.78,0.47,0.00,0.00,9.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Felipe Anderson,br BRA,"FW,MF",Lazio,30,1993,30.8,5,43,11,25.6,1.40,0.36,0.12,0.45,17.3,1,0,0,4.4,4.4,0.10,+0.6,+0.6,Matches
