Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Ahmed Abdullahi,ng NGA,FW,Gent,19,2004,0.3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,Matches
Shuto Abe,jp JPN,MF,RWD Molenbeek,25,1997,16.4,4,0,0,32,16,1,9,13,32,0,1,0,97,10,17,37.0,Matches
Abner,br BRA,"DF,MF",RWD Molenbeek,27,1996,20.6,4,0,0,19,37,1,56,25,13,0,0,1,103,23,21,52.3,Matches
Francis Abu,gh GHA,MF,Cercle Brugge,22,2001,4.5,2,0,0,6,9,0,9,8,8,0,0,0,55,10,3,76.9,Matches
Tayo Adaramola,ie IRL,DF,RWD Molenbeek,19,2003,6.4,0,0,0,10,4,1,20,7,14,0,1,0,43,8,7,53.3,Matches
Noah Adedeji,be BEL,"MF,FW",Genk,18,2005,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
Jonathan Afolabi,ie IRL,FW,Kortrijk,23,2000,4.4,1,0,0,10,4,3,3,0,1,0,0,0,13,8,5,61.5,Matches
Brian Agbor,cm CMR,DF,Gent,22,2001,2.3,0,0,0,1,1,0,0,5,1,0,0,0,13,3,0,100.0,Matches
Takahiro Akimoto,jp JPN,DF,OH Leuven,25,1998,2.9,1,0,0,3,1,0,2,6,4,0,0,0,13,7,5,58.3,Matches
Carlos Alberto,br BRA,"FW,MF",RWD Molenbeek,21,2002,7.3,0,0,0,9,7,1,2,9,8,0,0,0,27,8,19,29.6,Matches
Josimar Alcocer,cr CRC,"FW,MF",Westerlo,19,2004,0.3,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,100.0,Matches
Toby Alderweireld,be BEL,DF,Antwerp,34,1989,28.9,2,0,0,11,4,1,7,24,19,1,1,1,152,64,51,55.7,Matches
Ryan Alebiosu,eng ENG,"DF,MF",Kortrijk,21,2001,3.9,1,0,0,7,3,0,23,2,2,0,0,0,13,3,6,33.3,Matches
Teddy Alloh,fr FRA,DF,Eupen,21,2002,2.2,1,0,0,5,2,1,5,3,3,0,0,0,6,0,5,0.0,Matches
Éder Álvarez Balanta,co COL,MF,Club Brugge,30,1993,5.5,3,0,0,11,6,0,2,16,6,0,0,0,45,21,7,75.0,Matches
Steven Alzate,co COL,MF,Standard Liège,24,1998,18.5,4,1,1,20,21,1,19,18,28,0,0,0,124,13,24,35.1,Matches
Thierry Ambrose,gp GLP,FW,Kortrijk,26,1997,0.6,0,0,0,1,0,0,2,1,1,0,0,0,0,3,5,37.5,Matches
Mohamed Amoura,dz ALG,FW,Union SG,23,2000,15.9,5,0,0,12,15,11,31,4,8,1,0,0,62,9,37,19.6,Matches
Francis Amuzu,be BEL,FW,Anderlecht,23,1999,6.3,0,0,0,4,24,4,22,1,2,0,0,0,27,5,2,71.4,Matches
