Player,Age,Date,Record MV
Pierre Kalulu,22,11.11.2022,€35.00m
Rayan Aït-Nouri,22,27.05.2024,€35.00m
Tino Livramento,21,19.12.2023,€35.00m
Lutsharel Geertruida,23,17.10.2023,€35.00m
Nikola Milenković,21,20.12.2018,€35.00m
Ezri Konsa,26,19.12.2023,€35.00m
Dávid Hancko,26,15.12.2023,€35.00m
Ryan Sessegnon,18,13.08.2018,€35.00m
Alessandro Buongiorno,24,05.06.2024,€35.00m
Pervis Estupiñán,25,09.10.2023,€35.00m
Dan-Axel Zagadou,20,11.03.2020,€35.00m
Takehiro Tomiyasu,25,27.05.2024,€35.00m
Eric Bailly,23,02.01.2018,€35.00m
Mario Hermoso,25,19.03.2021,€35.00m
Angeliño,24,10.02.2021,€35.00m
Robin Gosens,26,23.03.2021,€35.00m
Issa Diop,22,13.06.2019,€35.00m
Joachim Andersen,27,19.12.2023,€35.00m
Abdou Diallo,23,05.06.2019,€35.00m
Thilo Kehrer,22,17.12.2018,€35.00m
Nico Elvedi,22,06.03.2019,€35.00m
Victor Lindelöf,24,05.03.2019,€35.00m
Kurt Zouma,25,10.12.2019,€35.00m
N/A,N/A,N/A,N/A
Nicolás Tagliafico,27,18.12.2019,€35.00m
Lucas Digne,26,10.12.2019,€35.00m
Matthias Ginter,24,18.12.2018,€35.00m
Thomas Meunier,27,17.12.2018,€35.00m
Kieran Trippier,28,17.10.2018,€35.00m
Eliaquim Mangala,23,05.10.2014,€35.00m
Nacho Fernández,28,15.07.2018,€35.00m
Nicolás Otamendi,29,02.01.2018,€35.00m
Vincent Kompany,25,06.02.2012,€35.00m
Alessandro Nesta,29,29.07.2005,€35.00m
Rio Ferdinand,30,29.06.2009,€35.00m
John Terry,28,29.06.2009,€35.00m
Ilya Zabarnyi,21,27.05.2024,€32.00m
Evan Ndicka,22,09.06.2022,€32.00m
Ozan Kabak,19,11.03.2020,€32.00m
Kieran Tierney,23,13.10.2020,€32.00m
Tyrone Mings,28,23.12.2021,€32.00m
Iñigo Martínez,26,22.03.2018,€32.00m
Felipe,30,05.03.2020,€32.00m
Jan Vertonghen,30,23.03.2018,€32.00m
Maicon,29,02.08.2010,€32.00m
Jorrel Hato,18,31.05.2024,€30.00m
Lucas Beraldo,20,03.06.2024,€30.00m
Cristhian Mosquera,19,07.06.2024,€30.00m
Aaron Hickey,21,09.10.2023,€30.00m
N/A,N/A,N/A,N/A
Roger Ibañez,24,21.03.2023,€30.00m
Dani Vivian,25,11.10.2024,€30.00m
Malick Thiaw,22,11.10.2023,€30.00m
Emerson Royal,23,15.09.2022,€30.00m
Jakub Kiwior,24,27.05.2024,€30.00m
Ferdi Kadıoğlu,24,18.07.2024,€30.00m
Sergiño Dest,20,10.06.2021,€30.00m
Igor Zubeldia,22,11.06.2019,€30.00m
Hiroki Ito,25,29.05.2024,€30.00m
Mouctar Diakhaby,23,20.12.2019,€30.00m
Merih Demiral,21,03.03.2020,€30.00m
Noussair Mazraoui,26,14.12.2023,€30.00m
Denzel Dumfries,27,20.12.2023,€30.00m
Yerry Mina,23,13.08.2018,€30.00m
Álvaro Odriozola,22,15.07.2018,€30.00m
Gianluca Mancini,24,23.03.2021,€30.00m
Yeray Álvarez,24,20.12.2019,€30.00m
Djené,28,05.03.2020,€30.00m
Emerson,25,10.12.2019,€30.00m
Alessandro Florenzi,27,07.06.2018,€30.00m
Michael Keane,26,13.06.2019,€30.00m
Mário Fernandes,28,14.06.2019,€30.00m
Shkodran Mustafi,24,24.10.2016,€30.00m
Danny Rose,27,02.01.2018,€30.00m
David Luiz,27,01.08.2014,€30.00m
N/A,N/A,N/A,N/A
Jesús Navas,24,27.08.2010,€30.00m
Pepe,24,10.07.2007,€30.00m
Ricardo Carvalho,26,04.10.2004,€30.00m
Carles Puyol,29,25.06.2007,€30.00m
Roberto Carlos,31,04.10.2004,€30.00m
Philipp Lahm,29,30.06.2013,€30.00m
Giorgio Chiellini,27,03.07.2012,€28.50m
Tyrick Mitchell,23,03.11.2022,€28.00m
Josip Stanisic,24,29.05.2024,€28.00m
Maxence Lacroix,21,09.06.2021,€28.00m
Matty Cash,26,19.12.2023,€28.00m
Vitaliy Mykolenko,24,19.12.2023,€28.00m
Rico Henry,25,20.06.2023,€28.00m
Sergio Reguilón,23,13.10.2020,€28.00m
Timothy Castagne,25,26.05.2021,€28.00m
James Tarkowski,27,13.10.2020,€28.00m
Ricardo Rodríguez,21,10.07.2014,€28.00m
Medhi Benatia,27,01.07.2014,€28.00m
Sokratis Papastathopoulos,28,07.02.2017,€28.00m
Gianluca Zambrotta,27,04.10.2004,€28.00m
Antonio Valencia,26,24.06.2012,€27.50m
Marash Kumbulla,20,29.12.2020,€27.00m
Olivier Boscagli,26,18.03.2024,€27.00m
Lewis Dunk,28,13.10.2020,€27.00m
Ashley Young,26,24.06.2012,€27.00m
N/A,N/A,N/A,N/A
Patrice Evra,28,25.01.2010,€27.00m
Ashley Cole,29,25.01.2010,€27.00m
David Raum,24,21.09.2022,€26.00m
Leonardo Spinazzola,27,23.03.2021,€26.00m
Michael Kayode,19,05.06.2024,€25.00m
Wilfried Singo,23,03.06.2024,€25.00m
Yan Couto,22,07.06.2024,€25.00m
Strahinja Pavlović,22,12.06.2023,€25.00m
Radu Drăgușin,22,14.03.2024,€25.00m
Miguel Gutiérrez,22,07.06.2024,€25.00m
Taylor Harwood-Bellis,21,12.07.2023,€25.00m
Juan Foyth,24,03.06.2022,€25.00m
Facundo Medina,24,19.03.2024,€25.00m
Nathan Collins,22,19.12.2023,€25.00m
Andrea Cambiaso,24,12.03.2024,€25.00m
Perr Schuurs,23,15.06.2023,€25.00m
Youcef Atal,23,27.09.2019,€25.00m
James Justin,24,15.06.2022,€25.00m
Junior Firpo,22,21.12.2018,€25.00m
Antonee Robinson,26,27.05.2024,€25.00m
Nordi Mukiele,22,17.12.2019,€25.00m
Ben Godfrey,22,13.10.2020,€25.00m
Kyle Walker-Peters,25,15.09.2022,€25.00m
Ridle Baku,23,09.06.2021,€25.00m
Ashley Young,26,24.06.2012,€27.00m
N/A,N/A,N/A,N/A
Patrice Evra,28,25.01.2010,€27.00m
Ashley Cole,29,25.01.2010,€27.00m
David Raum,24,21.09.2022,€26.00m
Leonardo Spinazzola,27,23.03.2021,€26.00m
Michael Kayode,19,05.06.2024,€25.00m
Wilfried Singo,23,03.06.2024,€25.00m
Yan Couto,22,07.06.2024,€25.00m
Strahinja Pavlović,22,12.06.2023,€25.00m
