Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
Muhamed Šahinović,ba BIH,GK,RKS Raków,19,2003,1,1,90,1.0,,,,,,0,1,0,0,0.0,0,0,0,0,,Matches
Dante Stipica,hr CRO,GK,Ruch Chorzów,32,1991,14,14,"1,260",14.0,,,,,,5,4,5,4,28.6,2,2,0,0,0.0,Matches
Dante Stipica,hr CRO,GK,Pogoń Szczecin,32,1991,2,2,180,2.0,,,,,,2,0,0,1,50.0,0,0,0,0,,Matches
Karol Szymański,pl POL,GK,Piast Gliwice,30,1993,7,7,630,7.0,,,,,,3,2,2,4,57.1,2,1,1,0,50.0,Matches
Kacper Tobiasz,pl POL,GK,Legia Warsaw,20,2002,23,23,"2,070",23.0,,,,,,13,5,5,9,39.1,1,1,0,0,0.0,Matches
Kacper Trelowski,pl POL,GK,Śląsk Wrocław,19,2003,1,1,90,1.0,,,,,,0,0,1,0,0.0,1,0,1,0,100.0,Matches
Antonis Tsiftsis,gr GRE,GK,RKS Raków,24,1999,1,1,90,1.0,,,,,,1,0,0,1,100.0,0,0,0,0,,Matches
Szymon Weirauch,pl POL,GK,Zagłębie Lubin,19,2004,8,8,720,8.0,,,,,,4,1,3,2,25.0,2,2,0,0,0.0,Matches
Krzysztof Wróblewski,pl POL,GK,Puszcza Niepołomice,21,2002,2,2,180,2.0,,,,,,0,0,2,0,0.0,0,0,0,0,,Matches
Oliwier Zych,pl POL,GK,Puszcza Niepołomice,19,2004,26,26,"2,340",26.0,,,,,,7,12,7,6,23.1,5,4,1,0,20.0,Matches
