Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches


Ahmed Abdullahi,ng NGA,FW,Gent,19,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
Shuto Abe,jp JPN,MF,RWD Molenbeek,25,1997,28,15,"1,475",16.4,1,1,2,1,0,0,4,0,1.3,1.3,1.3,2.6,12,70,35,0.06,0.06,0.12,0.06,0.12,0.08,0.08,0.16,0.08,0.16,Matches
Abner,br BRA,"DF,MF",RWD Molenbeek,27,1996,25,20,"1,850",20.6,0,0,0,0,0,0,4,0,0.6,0.6,0.5,1.1,38,73,89,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Francis Abu,gh GHA,MF,Cercle Brugge,22,2001,8,5,409,4.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,3,30,2,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06,Matches
Tayo Adaramola,ie IRL,DF,RWD Molenbeek,19,2003,9,8,575,6.4,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,19,22,25,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.14,0.04,0.14,Matches
Noah Adedeji,be BEL,"MF,FW",Genk,18,2005,3,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.57,0.57,0.57,Matches
Jonathan Afolabi,ie IRL,FW,Kortrijk,23,2000,10,4,397,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,2,7,27,0.23,0.00,0.23,0.23,0.23,0.06,0.11,0.18,0.06,0.18,Matches
Brian Agbor,cm CMR,DF,Gent,22,2001,3,2,208,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,10,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,Matches
Takahiro Akimoto,jp JPN,DF,OH Leuven,25,1998,5,2,261,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,16,13,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches
Carlos Alberto,br BRA,"FW,MF",RWD Molenbeek,21,2002,10,9,659,7.3,2,0,2,2,0,0,0,0,1.8,1.8,0.8,2.6,12,9,41,0.27,0.00,0.27,0.27,0.27,0.25,0.10,0.36,0.25,0.36,Matches
