Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Viktor Klonaridis,be BEL,FW,Atromitos,30,1992,25,16,"1,413",15.7,1,5,6,1,0,0,2,0,0.06,0.32,0.38,0.06,0.38,Matches
Anthony Knockaert,fr FRA,MF,Volos NFC,30,1991,9,4,407,4.5,1,0,1,0,1,1,2,0,0.22,0.00,0.22,0.00,0.00,Matches
Koka,eg EGY,FW,Olympiacos,29,1993,1,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sotirios Kokkinis,gr GRE,FW,Ionikos,22,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dimitris Kolovos,gr GRE,"MF,FW",Panetolikos,29,1993,29,19,"1,773",19.7,3,3,6,3,0,0,6,0,0.15,0.15,0.30,0.15,0.30,Matches
Giannis Konstantelias,gr GRE,MF,PAOK,19,2003,30,26,"2,163",24.0,2,4,6,2,0,0,3,0,0.08,0.17,0.25,0.08,0.25,Matches
Dimitris Konstantinidis,gr GRE,DF,Levadiakos,28,1994,9,8,651,7.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Vangelis Kontogiannis,gr GRE,GK,Panetolikos,20,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Georgios Kornezos,gr GRE,DF,PAS Lamia,24,1998,21,21,"1,864",20.7,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches
Alexei Koșelev,md MDA,GK,PAS Lamia,28,1993,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Michalis Kosidis,gr GRE,FW,AEK Athens,20,2002,2,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Giorgos Kosteas,gr GRE,FW,Asteras Tripoli,19,2003,11,1,234,2.6,1,0,1,1,0,0,4,0,0.38,0.00,0.38,0.38,0.38,Matches
Dominik Kotarski,hr CRO,GK,PAOK,22,2000,34,34,"3,060",34.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Matic Kotnik,si SVN,GK,Volos NFC,32,1990,5,5,380,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Giannis Kotsiras,gr GRE,DF,Panathinaikos,29,1992,25,19,"1,803",20.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Konstantinos Kotsopoulos,gr GRE,FW,Atromitos,25,1997,9,4,374,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches

Konstantinos Koulierakis,gr GRE,DF,PAOK,18,2003,25,24,"2,139",23.8,2,0,2,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
Dimitrios Kourbelis,gr GRE,MF,Panathinaikos,28,1993,30,26,"2,122",23.6,1,1,2,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08,Matches
Leonardo Koutris,gr GRE,DF,Olympiacos,27,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Georgios Koutsias,gr GRE,FW,Volos NFC,18,2004,20,6,759,8.4,3,1,4,3,0,0,1,0,0.36,0.12,0.47,0.36,0.47,Matches
Andreas Kuen,at AUT,"MF,FW",Atromitos,27,1995,23,18,"1,533",17.0,2,3,5,2,0,0,4,0,0.12,0.18,0.29,0.12,0.29,Matches
Pierre Kunde,cm CMR,MF,Olympiacos,27,1995,2,1,100,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jasmin Kurtić,si SVN,MF,PAOK,33,1989,10,10,828,9.2,3,1,4,1,2,2,5,0,0.33,0.11,0.43,0.11,0.22,Matches
Iason Kyrkos,gr GRE,MF,PAS Giannina,19,2003,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
