Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches


Jonas Abbew,dk DEN,DF,Nordsjælland,20,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Elias Achouri,tn TUN,"FW,MF",Viborg,23,1999,16.1,6,39,18,46.2,2.42,1.12,0.15,0.33,,0,0,Matches
Tonni Adamsen,dk DEN,FW,Silkeborg,27,1994,18.2,10,61,33,54.1,3.34,1.81,0.15,0.27,,1,1,Matches
Aske Adelgaard,dk DEN,DF,Odense,18,2003,14.9,0,6,1,16.7,0.40,0.07,0.00,0.00,,0,0,Matches
Martin Agnarsson,fo FRO,DF,Viborg,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Jakob Ahlmann Nielsen,dk DEN,DF,Aalborg,31,1991,13.3,0,6,1,16.7,0.45,0.07,0.00,0.00,,0,0,Matches
Akinkunmi Amoo,ng NGA,FW,FC Copenhagen,20,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Lucas Andersen,dk DEN,"MF,FW",Aalborg,27,1994,19.4,1,29,14,48.3,1.50,0.72,0.03,0.07,,0,0,Matches
Mikael Anderson,is ISL,"MF,FW",AGF,24,1998,22.2,5,60,22,36.7,2.71,0.99,0.08,0.23,,0,0,Matches
Adam Andersson,se SWE,DF,Randers,25,1996,20.2,1,16,6,37.5,0.79,0.30,0.06,0.17,,0,0,Matches
Hugo Andersson,se SWE,DF,Randers,23,1999,22.3,3,13,6,46.2,0.58,0.27,0.23,0.50,,0,0,Matches
Joel Andersson,se SWE,"DF,MF",Midtjylland,25,1996,12.8,0,2,1,50.0,0.16,0.08,0.00,0.00,,0,0,Matches
Valdemar Andreasen,dk DEN,MF,Midtjylland,17,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,Matches
Aske Andresen,dk DEN,GK,Silkeborg,17,2005,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Jakob Ankersen,dk DEN,MF,Randers,31,1990,17.7,3,33,7,21.2,1.87,0.40,0.09,0.43,,0,0,Matches
Peter Ankersen,dk DEN,DF,FC Copenhagen,31,1990,8.1,0,5,0,0.0,0.61,0.00,0.00,,,0,0,Matches
Oliver Antman,fi FIN,FW,Nordsjælland,20,2001,5.4,2,19,9,47.4,3.53,1.67,0.11,0.22,,0,0,Matches
Daniel Anyembe,ke KEN,DF,Viborg,24,1998,19.7,0,4,1,25.0,0.20,0.05,0.00,0.00,,0,0,Matches
Hákon Arnar Haraldsson,is ISL,"FW,MF",FC Copenhagen,19,2003,22.4,4,37,16,43.2,1.65,0.71,0.11,0.25,,0,0,Matches
Rocco Ascone,fr FRA,FW,Nordsjælland,18,2003,3.9,2,5,2,40.0,1.29,0.52,0.40,1.00,,0,0,Matches
Emam Ashour,eg EGY,"MF,FW",Midtjylland,24,1998,3.3,1,11,2,18.2,3.31,0.60,0.09,0.50,,0,0,Matches
