Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Carl Björk,se SWE,FW,Brøndby,21,2000,3.6,0,11,6,54.5,3.05,1.66,0.00,0.00,,0,0,Matches
Peter Bjur,dk DEN,MF,Brøndby,21,2000,0.3,0,1,0,0.0,3.33,0.00,0.00,,,0,0,Matches
Nicolai Boilesen,dk DEN,DF,FC Copenhagen,29,1992,24.1,0,3,0,0.0,0.12,0.00,0.00,,,0,1,Matches
Jakob Bonde,dk DEN,MF,Viborg,27,1993,27.8,6,47,12,25.5,1.69,0.43,0.06,0.25,,3,4,Matches
Frederik Brandhof,dk DEN,MF,AGF,25,1996,19.1,1,17,6,35.3,0.89,0.31,0.06,0.17,,0,0,Matches

Mathias Brems,dk DEN,DF,Odense,19,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Jakob Breum,dk DEN,"MF,FW",Odense,17,2003,9.3,4,28,14,50.0,3.00,1.50,0.14,0.29,,0,0,Matches
Mark Brink,dk DEN,MF,Silkeborg,23,1998,29.7,1,16,4,25.0,0.54,0.13,0.06,0.25,,0,0,Matches
Nicolai Brock-Madsen,dk DEN,FW,Randers,28,1993,6.3,1,7,4,57.1,1.11,0.63,0.14,0.25,,0,0,Matches
Júnior Brumado,br BRA,"FW,MF",Midtjylland,22,1999,15.5,8,41,18,43.9,2.65,1.16,0.17,0.39,,1,1,Matches
Alexander Brunst,de GER,GK,Vejle BK,26,1995,21.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Andreas Bruus,dk DEN,"MF,DF",Brøndby,22,1999,25.0,3,27,10,37.0,1.08,0.40,0.11,0.30,,0,0,Matches
Filip Bundgaard,dk DEN,FW,Randers,17,2004,2.9,0,8,4,50.0,2.72,1.36,0.00,0.00,,0,0,Matches
Oliver Bundgaard,dk DEN,DF,Randers,20,2001,20.2,0,13,3,23.1,0.64,0.15,0.00,0.00,,0,0,Matches
Mustapha Bundu,sl SLE,"FW,MF",AGF,24,1997,16.7,3,18,6,33.3,1.08,0.36,0.17,0.50,,0,0,Matches
Nicolas Bürgy,ch SUI,DF,Viborg,25,1995,14.0,2,5,2,40.0,0.36,0.14,0.40,1.00,,0,0,Matches
Alexander Busch,dk DEN,DF,Silkeborg,18,2003,1.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Tobias Børkeeiet,no NOR,"DF,MF",Brøndby,22,1999,4.6,1,4,1,25.0,0.87,0.22,0.25,1.00,,0,0,Matches
Frederik Børsting,dk DEN,"MF,DF",Aalborg,26,1995,9.2,0,13,2,15.4,1.41,0.22,0.00,0.00,,0,0,Matches
Jens Cajuste,se SWE,MF,Midtjylland,21,1999,2.7,0,3,1,33.3,1.11,0.37,0.00,0.00,,0,0,Matches
André Calisir,am ARM,DF,Silkeborg,31,1990,15.2,0,1,0,0.0,0.07,0.00,0.00,,,0,0,Matches
Christian Cappis,us USA,MF,Brøndby,21,1999,11.8,4,19,9,47.4,1.62,0.77,0.21,0.44,,0,0,Matches
Patrik Carlgren,se SWE,GK,Randers,29,1992,32.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Frederik Carstensen,dk DEN,FW,Silkeborg,19,2002,0.3,1,2,1,50.0,6.00,3.00,0.50,1.00,,0,0,Matches
Rasmus Carstensen,dk DEN,DF,Silkeborg,20,2000,30.2,1,33,8,24.2,1.09,0.27,0.03,0.13,,0,0,Matches
Edward Chilufya,zm ZAM,"FW,MF",Midtjylland,21,1999,7.5,3,14,7,50.0,1.86,0.93,0.21,0.43,,0,0,Matches
Frederik Christensen,dk DEN,FW,Viborg,26,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Jacob Christensen,dk DEN,MF,Nordsjælland,20,2001,16.0,0,5,0,0.0,0.31,0.00,0.00,,,0,0,Matches
Magnus Christensen,dk DEN,MF,Aalborg,23,1997,9.2,0,8,1,12.5,0.87,0.11,0.00,0.00,,0,0,Matches
