Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Matches


Rodrigo Abascal,uy URU,DF,Boavista,28,1994,25.5,1162,1474,78.8,25332,11601,337,370,91.1,610,685,89.1,206,376,54.8,2,1.1,1.7,+0.9,10,84,10,4,78,Matches
Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,27,1995,17.9,803,982,81.8,12833,4238,386,447,86.4,334,376,88.8,49,89,55.1,1,1.5,1.9,-0.5,17,102,16,1,113,Matches
Elias Achouri,tn TUN,MF,Estoril,23,1999,0.1,3,6,50.0,49,0,2,3,66.7,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Antonio Adán,es ESP,GK,Sporting CP,35,1987,31.0,864,1027,84.1,19974,11984,167,170,98.2,535,540,99.1,162,313,51.8,1,0.1,0.0,+0.9,2,6,0,0,0,Matches
Adriano,br BRA,"MF,DF",Santa Clara,22,1999,24.5,798,986,80.9,15449,5668,304,348,87.4,365,411,88.8,108,178,60.7,1,0.9,0.9,+0.1,14,85,7,1,83,Matches
João Afonso Crispim,br BRA,MF,Marítimo,27,1995,16.3,535,655,81.7,10699,2812,167,205,81.5,284,323,87.9,76,100,76.0,0,0.2,0.3,-0.2,7,47,1,0,63,Matches
Lucas Áfrico,br BRA,DF,Estoril,27,1995,3.9,154,172,89.5,3183,1164,49,53,92.5,83,89,93.3,22,29,75.9,0,0.0,0.0,0.0,0,7,0,0,10,Matches
Martin Agirregabiria,es ESP,"DF,FW",Famalicão,26,1996,4.5,164,214,76.6,2795,1123,68,77,88.3,83,98,84.7,10,29,34.5,1,0.2,0.2,+0.8,3,10,6,4,14,Matches
Salvador Agra,pt POR,"FW,MF",Boavista,30,1991,18.3,457,686,66.6,8117,2420,223,269,82.9,170,245,69.4,52,121,43.0,4,3.5,2.4,+0.5,30,47,25,9,59,Matches
Mohamed Aidara,ci CIV,"DF,FW",Vizela,25,1996,2.7,88,102,86.3,1554,555,28,29,96.6,49,52,94.2,7,16,43.8,0,0.0,0.0,0.0,0,0,0,0,2,Matches
Alemão,br BRA,DF,Portimonense,19,2002,4.0,209,244,85.7,3964,1677,79,82,96.3,102,112,91.1,24,39,61.5,0,0.0,0.0,0.0,0,10,0,0,11,Matches
Sotiris Alexandropoulos,gr GRE,MF,Sporting CP,20,2001,1.2,47,62,75.8,704,195,33,35,94.3,7,14,50.0,5,6,83.3,0,0.1,0.1,-0.1,1,5,0,0,6,Matches
Ali Alipour,ir IRN,"FW,MF",Gil Vicente FC,26,1995,5.9,104,156,66.7,1394,227,70,88,79.5,31,46,67.4,2,5,40.0,1,1.1,0.8,-0.1,5,3,2,0,8,Matches
