Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Mikołaj Biegański,pl POL,GK,Wisła Kraków,19,2002,19,19,"1,710",19.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Bielica,pl POL,GK,Górnik Zabrze,22,1999,14,14,"1,260",14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kacper Bieszczad,pl POL,GK,Zagłębie Lubin,18,2002,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Godfrey Bitok,ng NGA,DF,Jagiellonia,20,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcel Blachewicz,om OMA,MF,Wisła Płock,18,2003,7,4,398,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Artur Bogusz,pl POL,DF,Radomiak Radom,28,1993,5,0,60,0.7,1,0,1,1,0,0,1,0,1.50,0.00,1.50,1.50,1.50,Matches
Sebastian Bonecki,pl POL,"MF,DF",Bruk-Bet Termalica Nieciecza,26,1995,21,8,818,9.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Artur Boruc,pl POL,GK,Legia Warsaw,41,1980,11,11,971,10.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
Karol Borys,pl POL,MF,Śląsk Wrocław,14,2006,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Krystian Bracik,pl POL,DF,Cracovia,20,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Raphael Branco,br BRA,DF,Radomiak Radom,31,1990,32,31,"2,857",31.7,2,0,2,2,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
Felicio Brown,cr CRC,FW,Wisła Kraków,29,1991,18,9,852,9.5,2,0,2,2,0,0,5,0,0.21,0.00,0.21,0.21,0.21,Matches
Michał Buchalik,pl POL,GK,Lechia Gdańsk,32,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcin Budziński,pl POL,"MF,FW",Stal Mielec,31,1990,7,4,343,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Łukasz Budziłek,pl POL,GK,Bruk-Bet Termalica Nieciecza,30,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches

Adrian Bukowski,pl POL,MF,Śląsk Wrocław,18,2003,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jasmin Burić,ba BIH,GK,Zagłębie Lubin,34,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bartłomiej Burman,pl POL,MF,Warta Poznań,20,2001,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jakub Błaszczykowski,pl POL,MF,Wisła Kraków,35,1985,2,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Diego Carioca,br BRA,"MF,FW",Jagiellonia,23,1998,8,8,639,7.1,2,1,3,2,0,0,1,0,0.28,0.14,0.42,0.28,0.42,Matches
Frank Castañeda,co COL,"FW,MF",Warta Poznań,27,1994,13,8,808,9.0,4,0,4,4,0,1,2,0,0.45,0.00,0.45,0.45,0.45,Matches
Marcin Cebula,pl POL,"FW,MF",RKS Raków,25,1995,12,3,378,4.2,3,1,4,2,1,1,3,0,0.71,0.24,0.95,0.48,0.71,Matches
Joseph Ceesay,gm GAM,"MF,DF",Lechia Gdańsk,23,1998,22,20,"1,556",17.3,0,3,3,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
Thabo Cele,za RSA,"MF,FW",Radomiak Radom,24,1997,13,7,612,6.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Jurgen Çelhaka,al ALB,MF,Legia Warsaw,20,2000,14,6,544,6.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Fiodor Černych,lt LTU,"FW,MF",Jagiellonia,30,1991,29,19,"1,692",18.8,4,4,8,3,1,1,8,0,0.21,0.21,0.43,0.16,0.37,Matches
Jhon Chancellor,ve VEN,DF,Zagłębie Lubin,29,1992,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kacper Chodyna,pl POL,"DF,MF",Zagłębie Lubin,22,1999,32,29,"2,615",29.1,4,3,7,2,2,2,6,0,0.14,0.10,0.24,0.07,0.17,Matches
Mateusz Cholewiak,pl POL,MF,Górnik Zabrze,31,1990,26,10,"1,105",12.3,1,2,3,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,Matches
