Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Max Aarons,eng ENG,DF,Bournemouth,23,2000,13.7,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3,Matches
Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Tyler Adams,us USA,MF,Bournemouth,24,1999,1.3,0,0,0,0,3,0,1,4,3,0,0,0,7,2,3,40.0,Matches
Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,18.0,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7,Matches
Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,15.8,1,0,0,27,16,13,5,6,1,0,0,0,34,43,43,50.0,Matches
Simon Adingra,ci CIV,FW,Brighton,21,2002,24.7,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40.0,Matches
Nayef Aguerd,ma MAR,DF,West Ham,27,1996,20.6,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60.0,Matches
Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,Matches
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,3.9,4,1,1,9,6,1,6,2,9,0,0,0,30,3,3,50.0,Matches
Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,29.4,11,1,1,34,13,2,6,35,36,0,0,0,107,51,37,58.0,Matches
Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,18.8,3,0,0,18,25,2,28,18,31,0,1,0,97,16,12,57.1,Matches
Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22,2001,25.9,7,0,0,25,53,8,41,15,44,1,1,0,136,21,25,45.7,Matches
Kristoffer Ajer,no NOR,DF,Brentford,25,1998,20.4,5,0,0,25,10,1,22,25,21,0,0,0,60,63,23,73.3,Matches
Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,27.9,4,1,1,17,19,0,9,23,28,0,0,0,142,27,27,50.0,Matches
Nathan Aké,nl NED,DF,Manchester City,28,1995,22.7,0,0,0,10,18,0,11,14,16,0,0,0,119,46,28,62.2,Matches
Thiago Alcántara,es ESP,MF,Liverpool,32,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,23.9,6,0,0,9,9,2,168,31,26,0,0,0,176,8,6,57.1,Matches
Alisson,br BRA,GK,Liverpool,30,1992,28.0,1,0,0,1,5,0,0,0,0,0,0,0,36,6,2,75.0,Matches
Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,21.5,2,0,0,16,22,10,24,10,24,0,0,0,97,6,7,46.2,Matches
Edson Álvarez,mx MEX,MF,West Ham,25,1997,26.4,11,0,0,33,15,1,4,42,39,0,1,0,164,30,34,46.9,Matches
