Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Talocha,pt POR,DF,Gil Vicente FC,31,1989,32,31,"2,778",30.9,0,0,0,0,0,0,6,0,1.3,1.3,1.5,2.8,30,158,136,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
Douglas Tanque,br BRA,FW,Paços,27,1993,5,1,143,1.6,1,0,1,1,0,0,1,0,0.9,0.9,0.0,1.0,5,4,11,0.63,0.00,0.63,0.63,0.63,0.57,0.02,0.60,0.57,0.60,Matches
Mehdi Taremi,ir IRN,FW,Porto,29,1992,32,27,"2,423",26.9,20,12,32,14,6,7,5,1,20.2,15.4,11.8,27.2,58,74,181,0.74,0.45,1.19,0.52,0.97,0.75,0.44,1.19,0.57,1.01,Matches
David Tavares,cv CPV,MF,Famalicão,22,1999,13,4,448,5.0,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.3,8,20,12,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Heriberto Tavares,pt POR,"FW,MF",Famalicão,24,1997,16,8,757,8.4,1,0,1,1,0,0,2,0,1.8,1.8,1.2,3.0,20,24,68,0.12,0.00,0.12,0.12,0.12,0.21,0.15,0.36,0.21,0.36,Matches
Yohan Tavares,pt POR,DF,B-SAD,33,1988,28,28,"2,520",28.0,0,0,0,0,0,0,8,0,0.4,0.4,0.1,0.5,10,86,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches
André Teles,pt POR,MF,Marítimo,24,1997,3,1,109,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,10,2,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.10,0.08,0.10,Matches
Guo Tianyu,cn CHN,FW,Vizela,22,1999,3,0,33,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0,0,2,0.00,0.00,0.00,0.00,0.00,0.37,0.04,0.42,0.37,0.42,Matches
Tiago Tomás,pt POR,"MF,FW",Sporting CP,19,2002,13,0,171,1.9,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,3,1,12,0.00,0.00,0.00,0.00,0.00,0.22,0.06,0.27,0.22,0.27,Matches
Vítor Tormena,br BRA,DF,Braga,25,1996,25,19,"1,861",20.7,0,0,0,0,0,0,5,0,0.6,0.6,0.8,1.4,25,102,10,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
Pedro Trigueira,pt POR,GK,Tondela,33,1988,29,29,"2,597",28.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matouš Trmal,cz CZE,GK,Vitória,22,1998,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
