Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Gerrit Nauber,de GER,DF,Go Ahead Eag,30,1992,19,12,"1,129",12.5,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,3,31,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Noah Naujoks,nl NED,"MF,FW",Excelsior,20,2002,10,4,396,4.4,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,7,15,19,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14,Matches

Noah Naujoks,nl NED,"FW,MF",Feyenoord,20,2002,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ximo Navarro,es ESP,DF,Fortuna Sittard,32,1990,15,14,"1,202",13.4,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,13,28,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Imran Nazih,ma MAR,MF,Volendam,16,2006,3,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.19,Matches
Cyril Ngonge,be BEL,FW,Groningen,22,2000,12,8,655,7.3,3,2,5,3,0,0,0,0,2.3,2.3,2.0,4.3,23,25,53,0.41,0.27,0.69,0.41,0.69,0.31,0.28,0.59,0.31,0.59,Matches
Lars Nieuwpoort,nl NED,DF,RKC Waalwijk,27,1994,10,6,485,5.4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,0,7,3,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Sven Nieuwpoort,nl NED,DF,Excelsior,29,1993,23,22,"1,688",18.8,0,0,0,0,0,0,1,0,0.5,0.5,0.4,0.9,1,26,0,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Andries Noppert,nl NED,GK,Heerenveen,28,1994,18,18,"1,619",18.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.03,0.03,0.00,0.03,Matches
Tijjani Noslin,nl NED,"FW,MF",Fortuna Sittard,23,1999,31,18,"1,609",17.9,5,2,7,5,0,0,3,0,2.9,2.9,3.3,6.2,51,30,109,0.28,0.11,0.39,0.28,0.39,0.16,0.19,0.35,0.16,0.35,Matches
Ché Nunnely,nl NED,"FW,MF",Heerenveen,23,1999,13,7,540,6.0,1,0,1,1,0,0,4,0,1.3,1.3,0.8,2.1,31,18,41,0.17,0.00,0.17,0.17,0.17,0.22,0.14,0.36,0.22,0.36,Matches
Armando Obispo,nl NED,DF,PSV Eindhoven,23,1999,22,21,"1,718",19.1,2,1,3,2,0,0,1,1,1.4,1.4,0.5,1.9,15,123,6,0.10,0.05,0.16,0.10,0.16,0.07,0.02,0.10,0.07,0.10,Matches
Lucas Ocampos,ar ARG,FW,Ajax,28,1994,4,1,102,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,6,21,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22,Matches
Jens Odgaard,dk DEN,FW,AZ Alkmaar,23,1999,29,28,"2,165",24.1,9,4,13,9,0,0,1,0,9.0,9.0,2.4,11.4,52,62,191,0.37,0.17,0.54,0.37,0.54,0.37,0.10,0.48,0.37,0.48,Matches
Eric Oelschlägel,de GER,GK,Emmen,26,1995,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nick Olij,nl NED,GK,Sparta R'dam,26,1995,32,32,"2,880",32.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
