Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
Burak Öğür,tr TUR,GK,Pendikspor,33,1989,4,4,360,4.0,13,3.25,17,4,23.5,0,1,3,0,0.0,0,0,0,0,,Matches
Ertaç Özbir,tr TUR,GK,Adana Demirspor,33,1989,12,12,"1,008",11.2,9,0.80,54,45,85.2,5,5,2,5,41.7,1,1,0,0,0.0,Matches
Ertaç Özbir,tr TUR,GK,Ankaragücü,33,1989,2,2,127,1.4,2,1.42,6,4,66.7,0,1,1,0,0.0,0,0,0,0,,Matches
Mehmet Öztürk,tr TUR,GK,Kayserispor,18,2005,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
Onurcan Piri,tr TUR,GK,Kayserispor,28,1994,3,3,269,3.0,6,2.01,11,5,45.5,0,1,2,0,0.0,0,0,0,0,,Matches
Ali Şaşal Vural,tr TUR,GK,Sivasspor,33,1990,33,33,"2,970",33.0,51,1.55,162,113,70.4,10,12,11,8,24.2,3,3,0,0,0.0,Matches
Ahmet Şen,tr TUR,GK,Gaziantep FK,24,1999,4,4,360,4.0,10,2.50,18,10,50.0,0,0,4,0,0.0,2,1,1,0,50.0,Matches
Muhammed Şengezer,tr TUR,GK,Başakşehir,26,1997,14,14,"1,260",14.0,13,0.93,48,36,75.0,8,1,5,5,35.7,1,1,0,0,0.0,Matches
Mücahit Serbest,tr TUR,GK,İstanbulspor,18,2004,5,4,378,4.2,14,3.33,32,19,59.4,0,0,4,0,0.0,1,1,0,0,0.0,Matches
Salvatore Sirigu,it ITA,GK,Fatih Karagümrük,36,1987,17,17,"1,530",17.0,28,1.65,77,53,68.8,4,5,8,2,11.8,4,4,0,0,0.0,Matches
Jakub Szumski,pl POL,GK,Samsunspor,31,1992,2,2,180,2.0,5,2.50,10,5,50.0,0,0,2,0,0.0,0,0,0,0,,Matches
Jakub Słowik,pl POL,GK,Konyaspor,31,1991,14,14,"1,260",14.0,14,1.00,43,31,72.1,5,5,4,6,42.9,2,2,0,0,0.0,Matches
Muhammet Taha Tepe,tr TUR,GK,Trabzonspor,22,2001,3,3,270,3.0,6,2.00,18,13,72.2,2,1,0,0,0.0,1,1,0,0,0.0,Matches
Ertuğrul Taşkıran,tr TUR,GK,Alanyaspor,33,1989,34,34,"3,060",34.0,42,1.24,132,92,70.5,12,14,8,9,26.5,3,3,0,0,0.0,Matches

