Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Amir Abdijanovic,at AUT,FW,SCR Altach,22,2001,2.7,0,0,0,7,5,1,13,0,4,,,0,Matches
David Affengruber,at AUT,DF,Sturm Graz,22,2001,24.0,3,0,0,24,20,4,1,42,20,,,1,Matches
Sandro Altunashvili,ge GEO,MF,Wolfsberger AC,26,1997,23.6,9,0,0,23,20,0,4,42,13,,,0,Matches
Anderson,br BRA,"DF,MF",SC Austria Lustenau,25,1998,22.5,3,1,0,31,15,1,39,46,40,,,1,Matches
Andrés Andrade Cedeño,pa PAN,DF,LASK,24,1998,30.0,3,0,0,11,17,0,18,79,38,,,0,Matches
Jonas Arweiler,de GER,FW,SK Austria Klagenfurt,26,1997,16.1,2,0,0,36,22,15,11,3,7,,,0,Matches
Fisnik Asllani,xk KVX,FW,Austria Wien,20,2002,9.4,1,0,0,17,19,1,2,1,3,,,0,Matches
Jonas Auer,at AUT,DF,Rapid Wien,22,2000,23.7,5,0,0,8,25,0,156,45,27,,,0,Matches
Donis Avdijaj,xk KVX,"MF,FW",Hartberg,26,1996,22.3,5,1,1,21,33,13,52,6,25,,,0,Matches
Sanoussy Ba,de GER,MF,LASK,19,2004,3.4,0,0,0,3,1,0,7,3,5,,,0,Matches
Felix Bacher,at AUT,DF,WSG Tirol,22,2000,27.3,8,1,1,31,27,0,4,45,37,,,0,Matches
Nikolai Baden Frederiksen,dk DEN,FW,SC Austria Lustenau,23,2000,6.9,2,0,0,6,6,6,6,1,3,,,0,Matches
Sofian Bahloul,fr FRA,MF,SCR Altach,23,1999,3.7,3,0,0,8,2,1,8,3,4,,,0,Matches
Mike-Steven Bähre,de GER,MF,SCR Altach,27,1995,27.5,13,0,0,55,37,0,28,39,50,,,0,Matches
Samson Baidoo,at AUT,DF,RB Salzburg,19,2004,15.6,1,0,0,6,4,3,3,17,13,,,0,Matches
Ante Bajic,at AUT,MF,Rapid Wien,27,1995,2.6,2,0,0,6,11,2,3,3,0,,,0,Matches
Husein Balic,at AUT,"FW,MF",LASK,27,1996,1.3,0,0,0,0,5,0,4,0,0,,,0,Matches
Thierno Ballo,at AUT,"FW,MF",Wolfsberger AC,21,2002,21.9,5,1,1,37,23,18,31,8,17,,,0,Matches
Matan Baltaxa,il ISR,DF,Austria Wien,27,1995,2.2,3,0,0,6,1,1,0,6,3,,,0,Matches
Mohamed Bamba,ci CIV,FW,Wolfsberger AC,21,2001,12.7,5,0,0,28,10,19,3,3,7,,,0,Matches
Dominik Baumgartner,at AUT,DF,Wolfsberger AC,27,1996,29.8,6,0,0,34,33,0,5,51,47,,,0,Matches
George Bello,us USA,"MF,DF",LASK,21,2002,20.7,4,0,0,27,47,2,68,16,25,,,0,Matches
Rico Benatelli,de GER,MF,SK Austria Klagenfurt,31,1992,27.0,3,0,0,10,23,0,3,51,40,,,1,Matches
Tobias Berger,at AUT,DF,SC Austria Lustenau,20,2002,13.3,0,0,0,20,7,1,28,28,15,,,0,Matches
