Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Emil Bergström,se SWE,DF,Panserraikos,30,1993,29.4,2,1,0,,,,,,,,,0,Matches
Bernard,br BRA,"MF,FW",Panathinaikos,30,1992,24.6,4,0,0,,,,,,,,,0,Matches
Facundo Bertoglio,ar ARG,MF,Volos NFC,33,1990,9.5,3,0,0,,,,,,,,,0,Matches

Jefté Betancor,es ESP,FW,Panserraikos,30,1993,8.1,1,0,0,,,,,,,,,0,Matches
Giulian Biancone,fr FRA,DF,Olympiacos,23,2000,8.7,3,0,0,,,,,,,,,0,Matches
Pep Biel,es ESP,MF,Olympiacos,26,1996,6.4,2,0,0,,,,,,,,,0,Matches
Thievy Bifouma,cg CGO,MF,AO Kifisia,31,1992,18.8,2,0,0,,,,,,,,,0,Matches
Iker Bilbao,es ESP,MF,PAS Giannina,27,1996,1.1,1,0,0,,,,,,,,,0,Matches
Gerónimo Bortagaray,uy URU,DF,PAS Giannina,22,2000,1.0,0,0,0,,,,,,,,,0,Matches
Alberto Botía,es ESP,DF,AO Kifisia,34,1989,8.5,7,0,0,,,,,,,,,1,Matches
Giannis Bouzoukis,gr GRE,MF,Panetolikos,25,1998,2.6,0,0,0,,,,,,,,,0,Matches
Jakub Brabec,cz CZE,DF,Aris,30,1992,31.4,6,0,0,,,,,,,,,2,Matches
Brandon,es ESP,FW,PAOK,28,1995,18.5,7,0,0,,,,,,,,,0,Matches
Bressan,br BRA,DF,OFI Crete,30,1993,2.4,1,0,0,,,,,,,,,0,Matches
Alberto Brignoli,it ITA,GK,Panathinaikos,31,1991,10.0,0,0,0,,,,,,,,,0,Matches
Ivan Brnić,hr CRO,MF,Olympiacos,21,2001,0.9,0,0,0,,,,,,,,,0,Matches
Jovane Cabral,cv CPV,"MF,FW",Olympiacos,25,1998,1.7,0,0,0,,,,,,,,,0,Matches
Alexander Callens,pe PER,DF,AEK Athens,31,1992,24.1,7,0,0,,,,,,,,,0,Matches
Aguibou Camara,gn GUI,"MF,FW",Atromitos,22,2001,18.7,10,0,0,,,,,,,,,0,Matches
Mohamed Camara,gn GUI,MF,Olympiacos,26,1997,14.6,5,0,0,,,,,,,,,0,Matches
Dario Čanađija,hr CRO,"MF,DF",AO Kifisia,29,1994,9.0,5,0,0,,,,,,,,,0,Matches
Aitor Cantalapiedra,es ESP,"MF,FW",Panathinaikos,27,1996,6.2,2,0,0,,,,,,,,,0,Matches
Luka Capan,hr CRO,DF,AO Kifisia,28,1995,16.9,5,1,1,,,,,,,,,1,Matches
Carlitos,es ESP,FW,PAS Lamia,33,1990,18.1,4,0,0,,,,,,,,,0,Matches
David Carmo,ao ANG,DF,Olympiacos,24,1999,11.0,4,0,0,,,,,,,,,0,Matches
David Carmona,es ESP,DF,Asteras Tripoli,26,1997,11.3,3,1,1,,,,,,,,,0,Matches
João Carvalho,pt POR,MF,Olympiacos,26,1997,6.5,1,0,0,,,,,,,,,0,Matches
José Castaño,es ESP,DF,Asteras Tripoli,24,1998,27.5,7,1,1,,,,,,,,,1,Matches

Jonny Castro,es ESP,DF,PAOK,29,1994,6.5,2,0,0,,,,,,,,,0,Matches
Vasilis Chatziemmanouil,gr GRE,GK,PAS Lamia,23,1999,2.0,0,0,0,,,,,,,,,0,Matches
Zisis Chatzistravos,gr GRE,MF,Panserraikos,23,1999,15.5,3,0,0,,,,,,,,,0,Matches
Ilias Chatzitheodoridis,gr GRE,MF,Panetolikos,25,1997,17.0,4,0,0,,,,,,,,,0,Matches
