Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Mateusz Abramowicz,pl POL,GK,Miedź Legnica,29,1992,20,20,"1,800",20.0,0,0.00,,,,2,8,10,4,20.0,5,5,0,0,0.0,Matches
Sławomir Abramowicz,pl POL,GK,Jagiellonia,18,2004,3,2,225,2.5,,,,,,1,0,1,0,0.0,1,0,1,0,100.0,Matches
Zlatan Alomerović,de GER,GK,Jagiellonia,31,1991,32,32,"2,835",31.5,0,0.00,,,,8,14,10,5,15.6,4,3,0,1,0.0,Matches
Filip Bednarek,pl POL,GK,Lech Poznań,29,1992,32,32,"2,880",32.0,0,0.00,,,,17,10,5,16,50.0,7,5,2,0,28.6,Matches
Daniel Bielica,pl POL,GK,Górnik Zabrze,23,1999,24,24,"2,160",24.0,0,0.00,,,,10,6,8,9,37.5,4,2,2,0,50.0,Matches
Kacper Bieszczad,pl POL,GK,Zagłębie Lubin,19,2002,15,15,"1,350",15.0,0,0.00,,,,4,5,6,3,20.0,3,3,0,0,0.0,Matches
Kevin Broll,de GER,GK,Górnik Zabrze,26,1995,10,10,894,9.9,,,,,,3,3,4,2,20.0,0,0,0,0,,Matches
Michał Buchalik,pl POL,GK,Lechia Gdańsk,33,1989,5,4,384,4.3,,,,,,1,0,3,1,25.0,2,2,0,0,0.0,Matches
Jasmin Burić,ba BIH,GK,Zagłębie Lubin,35,1987,5,5,450,5.0,,,,,,1,0,4,1,20.0,3,1,2,0,66.7,Matches
Sokratis Dioudis,gr GRE,GK,Zagłębie Lubin,29,1993,14,14,"1,260",14.0,0,0.00,,,,7,4,3,5,35.7,1,0,1,0,100.0,Matches
Konrad Forenc,pl POL,GK,Korona Kielce,30,1992,20,20,"1,800",20.0,0,0.00,,,,7,6,7,5,25.0,4,4,0,0,0.0,Matches
Bartłomiej Gradecki,pl POL,GK,Wisła Płock,22,1999,14,14,"1,260",14.0,,,,,,6,3,5,3,21.4,2,2,0,0,0.0,Matches
Jędrzej Grobelny,pl POL,GK,Warta Poznań,21,2001,6,5,482,5.4,0,0.00,,,,2,2,1,3,60.0,1,1,0,0,0.0,Matches
Dominik Holec,sk SVK,GK,Lech Poznań,28,1994,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
Lukáš Hroššo,sk SVK,GK,Cracovia,35,1987,3,3,270,3.0,,,,,,1,1,1,1,33.3,0,0,0,0,,Matches
Dominik Hładun,pl POL,GK,Legia Warsaw,26,1995,7,7,630,7.0,,,,,,4,3,0,3,42.9,0,0,0,0,,Matches
Krzysztof Kamiński,pl POL,GK,Wisła Płock,31,1990,20,20,"1,800",20.0,0,0.00,,,,4,4,12,4,20.0,4,4,0,0,0.0,Matches
Stefanos Kapino,gr GRE,GK,Miedź Legnica,28,1994,4,4,360,4.0,,,,,,1,1,2,0,0.0,2,1,1,0,50.0,Matches
