Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Marco Asensio,es ESP,"FW,MF",Real Madrid,26,1996,16.0,16,10,8,6,2,8,19,42.1,11,8,3,5,5,21,4,0,Matches
Iago Aspas,es ESP,FW,Celta Vigo,34,1987,31.9,8,4,0,4,4,3,22,13.6,19,10,1,9,7,15,23,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,1.5,2,1,2,0,0,1,3,33.3,2,1,0,1,1,3,3,0,Matches
Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28,1994,19.0,8,5,2,4,2,6,23,26.1,17,12,1,11,8,16,16,0,Matches
Iddrisu Baba,gh GHA,"MF,DF",Mallorca,26,1996,18.9,31,17,15,16,0,15,32,46.9,17,18,8,10,11,42,39,0,Matches
Srđan Babić,rs SRB,DF,Almería,26,1996,33.3,28,18,20,8,0,15,32,46.9,17,34,22,12,29,57,124,1,Matches
Loïc Bade,fr FRA,DF,Sevilla,22,2000,16.1,27,20,23,3,1,17,30,56.7,13,21,13,8,23,50,77,0,Matches

Édgar Badía,es ESP,GK,Elche,30,1992,36.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,19,3,Matches
Alex Baena,es ESP,"MF,FW",Villarreal,21,2001,21.6,30,17,9,15,6,15,45,33.3,30,15,3,12,7,37,16,0,Matches
Alejandro Balde,es ESP,DF,Barcelona,18,2003,27.5,42,30,22,16,4,24,41,58.5,17,25,3,22,12,54,17,1,Matches
Mikel Balenziaga,es ESP,DF,Athletic Club,34,1988,1.3,4,4,1,2,1,4,4,100.0,0,0,0,0,1,5,2,0,Matches
Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,35.9,52,29,26,20,6,18,30,60.0,12,26,3,23,25,77,72,1,Matches
Léo Baptistão,br BRA,"FW,MF",Almería,29,1992,19.2,32,20,13,16,3,13,33,39.4,20,17,2,15,19,51,12,0,Matches
Keidi Bare,al ALB,MF,Espanyol,24,1997,5.6,15,8,7,5,3,7,13,53.8,6,8,2,6,11,26,8,0,Matches
Kike Barja,es ESP,"FW,MF",Osasuna,25,1997,14.6,15,9,6,5,4,8,24,33.3,16,7,0,7,4,19,3,0,Matches
Ander Barrenetxea,es ESP,"FW,DF",Real Sociedad,20,2001,9.8,21,15,15,6,0,12,28,42.9,16,15,1,14,5,26,7,0,Matches
Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,8.0,19,10,3,10,6,8,15,53.3,7,12,2,10,9,28,6,1,Matches
Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,7.6,12,5,7,5,0,6,14,42.9,8,16,7,9,5,17,18,0,Matches
Bebé,cv CPV,FW,Rayo Vallecano,32,1990,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Matches
Héctor Bellerín,es ESP,DF,Barcelona,27,1995,1.6,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,2,0,Matches
Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,31.7,34,22,15,14,5,14,55,25.5,41,29,5,24,53,87,35,2,Matches
Iker Benito,es ESP,"FW,MF",Osasuna,19,2002,2.0,4,3,0,3,1,2,4,50.0,2,0,0,0,2,6,4,0,Matches
Karim Benzema,fr FRA,FW,Real Madrid,34,1987,22.6,9,5,2,4,3,2,11,18.2,9,11,0,11,2,11,5,0,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,32,1990,26.7,56,32,28,20,8,35,59,59.3,24,37,12,25,40,96,59,1,Matches
Álex Berenguer,es ESP,FW,Athletic Club,27,1995,25.5,58,37,17,25,16,23,60,38.3,37,37,4,33,10,68,6,0,Matches
Pedro Bigas,es ESP,DF,Elche,31,1990,22.4,37,20,30,7,0,18,29,62.1,11,25,14,11,33,70,95,0,Matches
El Bilal Touré,ml MLI,FW,Almería,20,2001,14.0,4,3,2,1,1,0,3,0.0,3,6,1,5,1,5,23,0,Matches
Antonio Blanco,es ESP,MF,Cádiz,22,2000,1.8,6,4,5,1,0,4,6,66.7,2,5,0,5,1,7,3,0,Matches
Lautaro Blanco,ar ARG,"DF,MF",Elche,23,1999,9.7,16,9,10,4,2,9,26,34.6,17,8,1,7,2,18,10,1,Matches
Theo Bongonda,cd COD,"MF,FW",Cádiz,26,1995,21.5,28,20,11,14,3,17,40,42.5,23,21,2,19,6,34,14,0,Matches
Yassine Bounou,ma MAR,GK,Sevilla,31,1991,23.9,2,1,2,0,0,1,4,25.0,3,0,0,0,2,4,11,1,Matches
Lucas Boyé,ar ARG,FW,Elche,26,1996,27.4,36,16,12,16,8,17,35,48.6,18,33,5,28,15,51,46,0,Matches

Martin Braithwaite,dk DEN,"FW,MF",Espanyol,31,1991,27.3,12,2,2,4,6,5,14,35.7,9,10,0,10,5,17,11,0,Matches
Darko Brašanac,rs SRB,MF,Osasuna,30,1992,11.6,29,20,12,10,7,12,23,52.2,11,14,2,12,12,41,9,0,Matches
Claudio Bravo,cl CHI,GK,Betis,39,1983,12.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,1,1,Matches
Ante Budimir,hr CRO,FW,Osasuna,31,1991,20.0,19,9,0,12,7,2,10,20.0,8,10,0,10,5,24,19,0,Matches
Manu Bueno,es ESP,MF,Sevilla,18,2004,1.7,7,4,3,3,1,5,8,62.5,3,0,0,0,0,7,2,0,Matches
Santiago Bueno,uy URU,DF,Girona,23,1998,33.4,63,38,43,19,1,24,36,66.7,12,34,22,12,31,94,105,2,Matches
Sergio Busquets,es ESP,MF,Barcelona,34,1988,26.0,58,26,24,26,8,29,51,56.9,22,32,6,26,27,85,36,2,Matches
Leandro Cabrera,uy URU,DF,Espanyol,31,1991,29.7,46,24,34,12,0,28,43,65.1,15,37,23,14,43,89,114,2,Matches
Cala,es ESP,DF,Cádiz,32,1989,1.5,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,12,0,Matches
Fernando Calero,es ESP,"DF,MF",Espanyol,26,1995,17.9,46,29,27,15,4,21,34,61.8,13,31,13,18,13,59,52,0,Matches
Alexander Callens,pe PER,DF,Girona,30,1992,1.3,3,3,2,1,0,3,4,75.0,1,3,1,2,1,4,9,0,Matches
Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,19,2002,22.3,68,48,32,21,15,24,64,37.5,40,24,5,19,17,85,25,0,Matches
Sergio Camello,es ESP,FW,Rayo Vallecano,21,2001,26.7,16,10,3,9,4,5,17,29.4,12,9,1,8,2,18,26,0,Matches
Sergio Canales,es ESP,"FW,MF",Betis,31,1991,26.7,25,14,10,8,7,14,33,42.4,19,18,0,18,14,39,8,0,Matches
Ander Capa,es ESP,DF,Athletic Club,30,1992,1.2,1,1,1,0,0,1,5,20.0,4,5,0,5,0,1,2,0,Matches
Étienne Capoue,fr FRA,MF,Villarreal,34,1988,21.7,21,12,6,13,2,10,18,55.6,8,12,5,7,19,40,20,1,Matches
Isaac Carcelen,es ESP,DF,Cádiz,29,1993,24.4,69,51,41,22,6,41,63,65.1,22,35,11,24,19,88,80,1,Matches
Juan Carlos,es ESP,GK,Girona,34,1988,10.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,1,Matches
