Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Fahem Benaissa Yahia,fr FRA,MF,Casa Pia,21,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Beni,ao ANG,MF,Casa Pia,21,2002,16.3,32,24,17,15,0,13,28,46.4,15,17,2,15,19,51,18,1,Matches
Benny,pt POR,"MF,FW",Chaves,23,2000,14.1,10,3,4,4,2,3,14,21.4,11,18,0,18,6,16,17,0,Matches
Berna,ao ANG,"FW,DF",Boavista,19,2003,3.6,15,11,8,5,2,5,10,50.0,5,5,2,3,5,20,4,0,Matches
Juan Bernat,es ESP,DF,Benfica,30,1993,0.9,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,3,0,Matches
Emmanuel Boateng,gh GHA,FW,Rio Ave,27,1996,20.7,12,9,4,6,2,3,7,42.9,4,11,3,8,5,17,16,0,Matches
Kiko Bondoso,pt POR,"FW,MF",Vizela,27,1995,2.1,5,3,1,2,2,4,6,66.7,2,2,0,2,1,6,2,0,Matches
Toni Borevkovic,hr CRO,DF,Vitória,26,1997,22.7,22,14,20,2,0,22,28,78.6,6,25,11,14,36,58,108,0,Matches

Gonçalo Borges,pt POR,"MF,FW",Porto,22,2001,3.2,7,4,6,1,0,4,8,50.0,4,3,0,3,0,7,4,0,Matches
Cristian Borja,co COL,DF,Braga,30,1993,27.2,61,33,36,23,2,23,42,54.8,19,25,5,20,22,83,55,0,Matches
Róbert Boženík,sk SVK,FW,Boavista,23,1999,28.6,16,10,0,12,4,5,16,31.3,11,12,1,11,4,20,34,0,Matches
Daniel Bragança,pt POR,MF,Sporting CP,24,1999,11.4,33,22,9,15,9,14,26,53.8,12,11,2,9,19,52,4,2,Matches
Bruno Brigido,br BRA,GK,Estrela,32,1991,26.0,2,2,2,0,0,2,4,50.0,2,1,0,1,0,2,18,0,Matches
Rafael Brito,pt POR,MF,Casa Pia,21,2002,3.8,12,8,4,5,3,4,12,33.3,8,3,1,2,5,17,8,0,Matches
Bruma,pt POR,"FW,MF",Braga,28,1994,19.1,22,12,6,12,4,8,27,29.6,19,13,1,12,6,28,4,0,Matches
Jonathan Buatu Mananga,ao ANG,DF,Gil Vicente FC,29,1993,5.0,8,4,8,0,0,5,5,100.0,0,7,3,4,1,9,23,0,Matches
Leonel Bucca,ar ARG,"MF,FW",Estrela,24,1999,9.1,36,23,15,14,7,21,39,53.8,18,11,2,9,4,40,5,0,Matches
André Bukia,cd COD,"MF,FW",Arouca,28,1995,1.7,5,4,3,1,1,3,6,50.0,3,3,0,3,1,6,1,0,Matches
Fabijan Buntić,hr CRO,GK,Vizela,26,1997,27.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,18,0,Matches
Aleksandar Busnić,rs SRB,"MF,FW",Vizela,25,1997,8.5,21,12,10,9,2,10,20,50.0,10,13,4,9,6,27,23,0,Matches
Oriol Busquets,es ESP,MF,Arouca,24,1999,4.8,9,5,5,3,1,3,4,75.0,1,5,3,2,2,11,10,0,Matches
Rafael Bustamante,co COL,MF,Vizela,23,1999,7.9,16,9,10,5,1,7,25,28.0,18,17,3,14,12,28,7,0,Matches
Leonardo Buta,pt POR,DF,Gil Vicente FC,21,2002,24.3,48,30,28,15,5,33,46,71.7,13,21,8,13,28,76,65,1,Matches
Adrián Butzke,es ESP,FW,Vitória,24,1999,4.1,3,3,0,3,0,1,2,50.0,1,4,1,3,0,3,8,0,Matches
Erick Cabaco,uy URU,DF,Estoril,28,1995,3.7,5,4,3,2,0,1,3,33.3,2,4,3,1,7,12,16,0,Matches
Arthur Cabral,br BRA,FW,Benfica,25,1998,14.8,11,7,2,5,4,3,9,33.3,6,8,0,8,1,12,7,0,Matches
Jhonder Cádiz,ve VEN,FW,Famalicão,28,1995,25.6,10,7,1,6,3,2,9,22.2,7,4,2,2,1,11,21,0,Matches
João Pedro Gomes Camacho,pt POR,"FW,MF",Moreirense,29,1994,23.1,37,25,13,14,10,15,28,53.6,13,23,2,21,14,51,16,0,Matches
Ibrahima Camará,gn GUI,"MF,DF",Boavista,24,1999,5.3,4,4,2,1,1,3,6,50.0,3,4,1,3,4,8,18,0,Matches
Cambila,ao ANG,GK,Estrela,21,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Luan Campos,br BRA,"FW,MF",Portimonense,21,2002,5.2,7,5,2,4,1,4,8,50.0,4,4,1,3,5,12,6,0,Matches
Fábio Cardoso,pt POR,DF,Porto,29,1994,13.4,5,3,1,4,0,0,2,0.0,2,12,8,4,12,17,37,0,Matches
Felippe Cardoso,br BRA,FW,Casa Pia,24,1998,17.4,14,8,1,7,6,3,13,23.1,10,7,1,6,1,15,7,0,Matches

Carlinhos,br BRA,MF,Portimonense,29,1994,31.6,44,27,14,24,6,23,44,52.3,21,12,2,10,8,52,24,2,Matches
João Carlos,br BRA,"FW,DF",Estoril,28,1995,3.5,2,1,1,1,0,0,2,0.0,2,4,0,4,1,3,2,0,Matches
Zé Carlos,pt POR,"MF,DF",Vitória,21,2001,4.7,10,5,5,5,0,6,18,33.3,12,6,1,5,6,16,7,0,Matches
Zé Carlos,pt POR,DF,Gil Vicente FC,25,1998,21.4,50,34,34,9,7,20,37,54.1,17,21,6,15,30,80,56,2,Matches
David Carmo,ao ANG,DF,Porto,24,1999,6.8,5,4,2,2,1,4,5,80.0,1,11,7,4,2,7,31,1,Matches
Marcelo Carné,br BRA,GK,Estoril,33,1990,22.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,8,4,Matches
Carraça,pt POR,"DF,MF",Chaves,30,1993,11.1,9,5,3,6,0,6,11,54.5,5,7,0,7,7,16,23,0,Matches
Álvaro Carreras,es ESP,DF,Benfica,20,2003,6.3,18,10,7,9,2,8,12,66.7,4,8,3,5,10,28,9,0,Matches
Ronie Carrillo,ec ECU,"FW,MF",Portimonense,26,1996,14.6,9,4,1,5,3,2,7,28.6,5,13,1,12,3,12,19,0,Matches
António Filipe de Carvalho,pt POR,GK,Estrela,38,1985,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Miguel Carvalho,pt POR,GK,Farense,27,1996,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Vitor Carvalho,br BRA,MF,Braga,26,1997,14.5,41,22,21,19,1,22,37,59.5,15,22,4,18,18,59,29,1,Matches
