Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Abdoulaye Bamba,ci CIV,"DF,FW",Angers,31,1990,5.1,1,0,0,5,6,0,10,9,5,0,0,1,19,6,5,54.5,Matches
Jonathan Bamba,ci CIV,"MF,FW",Lille,25,1996,27.0,3,0,0,11,56,14,115,21,12,0,0,0,169,16,19,45.7,Matches
Simon Banza,cd COD,FW,Lens,24,1996,1.4,0,0,0,3,7,0,1,1,1,0,0,0,5,6,5,54.5,Matches
Danilo Barbosa,br BRA,DF,Nice,25,1996,1.0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,5,44.4,Matches
Bradley Barcola,fr FRA,"FW,MF",Lyon,18,2002,2.9,0,0,0,5,0,1,4,2,4,0,0,0,16,5,5,50.0,Matches
Melvin Bard,fr FRA,DF,Nice,20,2000,28.8,3,0,0,21,30,1,87,51,37,0,0,0,226,41,31,56.9,Matches
Toma Bašić,hr CRO,MF,Bordeaux,24,1996,2.3,0,0,0,6,2,0,18,2,2,0,0,0,4,0,1,0.0,Matches
Amine Bassi,fr FRA,"MF,FW",Metz,23,1997,2.0,0,0,0,4,4,0,16,0,3,0,0,0,12,1,4,20.0,Matches

Paul Baysse,fr FRA,"MF,DF",Bordeaux,33,1988,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
Youcef Belaïli,dz ALG,"MF,FW",Brest,29,1992,9.2,2,0,0,12,19,2,50,7,1,0,1,0,49,5,7,41.7,Matches
Haris Belkebla,dz ALG,MF,Brest,27,1994,25.7,2,0,0,27,39,0,11,48,23,0,0,0,171,21,17,55.3,Matches
Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23,1998,25.9,5,0,0,36,68,0,54,27,32,0,0,0,177,18,19,48.6,Matches
Jeanuël Belocian,fr FRA,DF,Rennes,16,2005,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Hatem Ben Arfa,fr FRA,"FW,MF",Lille,34,1987,3.5,1,0,0,7,4,2,7,0,2,0,0,0,13,0,5,0.0,Matches
Salim Ben Seghir,fr FRA,MF,Marseille,18,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,28.1,3,0,0,19,22,24,14,0,8,1,0,0,74,21,46,31.3,Matches
Darío Benedetto,ar ARG,"FW,MF",Marseille,31,1990,0.6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches
Walter Benítez,ar ARG,GK,Nice,28,1993,37.0,2,0,0,0,6,0,0,0,0,0,0,0,43,12,0,100.0,Matches
Loris Benito,ch SUI,DF,Bordeaux,29,1992,0.7,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,,Matches
Nabil Bentaleb,dz ALG,MF,Angers,26,1994,16.8,4,0,0,29,13,0,3,28,24,0,0,0,131,18,12,60.0,Matches
Patrick Berg,no NOR,MF,Lens,23,1997,3.4,0,0,0,5,1,0,2,4,6,0,0,0,28,3,1,75.0,Matches
Mitchell van Bergen,nl NED,"FW,MF",Reims,21,1999,10.9,1,0,0,8,4,10,49,4,5,0,0,0,49,3,17,15.0,Matches
Valon Berisha,xk KVX,"MF,FW",Reims,28,1993,5.1,2,1,1,13,2,2,27,4,7,0,0,0,24,4,3,57.1,Matches
Paul Bernardoni,fr FRA,GK,Angers,24,1997,13.0,0,0,0,0,2,0,0,0,2,0,0,0,9,7,1,87.5,Matches
Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19.0,0,0,0,0,3,0,0,0,0,0,0,0,29,3,1,75.0,Matches
Juan Bernat,es ESP,"DF,MF",Paris S-G,28,1993,10.6,2,0,0,4,9,1,12,8,14,0,0,0,37,8,8,50.0,Matches
Dimitry Bertaud,cd COD,GK,Montpellier,23,1998,9.3,0,0,0,0,1,0,0,0,0,0,0,0,10,2,1,66.7,Matches
Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,19.2,0,0,0,14,15,2,133,8,14,0,0,0,98,11,16,40.7,Matches
Giulian Biancone,fr FRA,"DF,MF",Troyes,21,2000,25.5,10,0,0,34,32,4,87,53,42,0,2,0,147,48,34,58.5,Matches
El Bilal Touré,ml MLI,FW,Reims,19,2001,13.3,2,0,0,20,14,6,4,6,6,0,0,0,37,59,58,50.4,Matches
Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,10.9,2,0,0,7,9,0,1,10,8,0,0,0,57,29,9,76.3,Matches
Nathan Bitumazala,fr FRA,DF,Paris S-G,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Marco Bizot,nl NED,GK,Brest,30,1991,38.0,1,0,0,0,4,0,0,0,1,0,0,0,34,4,1,80.0,Matches

Ludovic Blas,fr FRA,"MF,FW",Nantes,23,1997,32.9,10,0,0,45,55,4,37,31,18,1,0,0,172,17,29,37.0,Matches
Myron Boadu,nl NED,FW,Monaco,20,2001,10.7,0,0,0,17,11,12,0,2,7,0,0,0,20,15,29,34.1,Matches
Jérôme Boateng,de GER,DF,Lyon,32,1988,18.0,6,0,0,13,3,0,5,20,15,0,0,0,107,18,7,72.0,Matches
Antonin Bobichon,fr FRA,"MF,FW",Angers,25,1995,0.4,0,0,0,0,0,0,2,1,0,0,0,0,5,0,2,0.0,Matches
Quentin Boisgard,fr FRA,"MF,FW",Lorient,24,1997,10.6,3,0,0,11,9,0,46,6,11,0,0,0,70,9,17,34.6,Matches
Charles Boli,fr FRA,"MF,DF",Lens,22,1998,0.4,0,0,0,0,2,0,2,0,1,0,0,0,2,1,0,100.0,Matches
Sven Botman,nl NED,DF,Lille,21,2000,25.0,4,0,0,16,13,1,0,26,11,0,2,0,113,57,28,67.1,Matches
Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26,1994,27.1,4,1,0,50,48,5,67,8,25,0,0,0,141,67,95,41.4,Matches
Hicham Boudaoui,dz ALG,MF,Nice,21,1999,18.0,7,0,0,30,21,4,49,18,18,0,0,0,103,13,16,44.8,Matches
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,31,1990,25.0,2,0,0,14,29,0,106,10,15,0,0,0,132,12,64,15.8,Matches
Sofiane Boufal,ma MAR,"FW,MF",Angers,27,1993,25.9,6,0,0,44,80,15,108,7,29,2,0,0,85,12,37,24.5,Matches
Farid Boulaya,dz ALG,"MF,FW",Metz,28,1993,17.0,1,1,0,7,17,1,71,12,10,0,0,0,100,9,19,32.1,Matches
Ismaël Boura,km COM,DF,Lens,20,2000,1.1,0,0,0,0,0,0,1,2,2,0,0,0,2,1,0,100.0,Matches
Benjamin Bourigeaud,fr FRA,"FW,MF",Rennes,27,1994,35.5,2,0,0,25,8,4,294,30,24,0,0,0,144,14,45,23.7,Matches
Redwan Bourles,fr FRA,"MF,FW",Lorient,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
Domagoj Bradarić,hr CRO,DF,Lille,21,1999,4.6,2,0,0,5,7,0,21,10,9,0,0,0,27,5,15,25.0,Matches
Bilal Brahimi,dz ALG,MF,Nice,21,2000,4.2,1,0,0,4,10,2,45,2,1,0,0,0,24,2,1,66.7,Matches
Bilal Brahimi,dz ALG,FW,Angers,21,2000,3.8,0,0,0,2,9,1,11,1,1,1,0,0,13,2,5,28.6,Matches
Lilian Brassier,fr FRA,DF,Brest,21,1999,25.1,4,0,0,24,17,0,17,32,24,0,1,1,153,42,19,68.9,Matches
Jimmy Briand,fr FRA,"FW,MF",Bordeaux,35,1985,2.5,1,0,0,5,0,1,2,1,0,0,0,0,13,6,12,33.3,Matches
Dylan Bronn,tn TUN,DF,Metz,26,1995,28.3,10,1,1,31,11,3,12,40,29,0,0,0,164,28,28,50.0,Matches
Osman Bukari,gh GHA,"FW,MF",Nantes,22,1998,11.2,1,0,0,14,6,5,15,8,8,0,0,0,70,9,13,40.9,Matches
Maxime Busi,be BEL,DF,Reims,21,1999,14.4,3,0,0,19,7,0,30,17,15,0,0,0,77,11,19,36.7,Matches
Oriol Busquets,es ESP,MF,Clermont Foot,22,1999,2.2,0,0,0,2,0,0,1,1,3,0,0,0,11,1,5,16.7,Matches
Marcin Bułka,pl POL,GK,Nice,21,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches

Rémy Cabella,fr FRA,"MF,FW",Montpellier,31,1990,3.5,0,0,0,3,3,0,8,5,7,0,0,0,20,0,3,0.0,Matches
Jimmy Cabot,fr FRA,DF,Angers,27,1994,22.3,4,0,0,32,32,1,69,32,44,1,0,0,180,11,12,47.8,Matches
Anthony Caci,fr FRA,DF,Strasbourg,24,1997,26.6,4,0,0,35,23,2,97,33,34,0,0,0,161,38,24,61.3,Matches
Mathieu Cafaro,fr FRA,"MF,FW",Reims,24,1997,2.1,2,0,0,6,3,0,19,3,2,0,0,0,9,3,4,42.9,Matches
Yannick Cahuzac,fr FRA,MF,Lens,36,1985,6.9,1,1,0,6,1,1,2,9,2,0,0,0,27,6,5,54.5,Matches
Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,17.1,1,0,0,0,4,0,0,2,0,0,0,0,7,2,0,100.0,Matches
Jens Cajuste,se SWE,"MF,FW",Reims,21,1999,4.0,0,0,0,5,8,0,1,5,6,0,0,0,16,3,5,37.5,Matches
Duje Ćaleta-Car,hr CRO,DF,Marseille,24,1996,22.9,6,0,0,11,6,1,1,24,8,1,0,0,99,35,11,76.1,Matches
Lucas Calodat,fr FRA,DF,Saint-Étienne,19,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,23,1998,34.1,8,0,0,45,44,1,33,57,57,2,0,0,177,30,42,41.7,Matches
