Competition Name,Gender,Governing Body,Champion,Top Scorer
UEFA Champions League,M,UEFA,Manchester City FC,Erling Haaland - 12
UEFA Europa League,M,UEFA,Sevilla FC,"Marcus Rashford, Victor Boniface - 6"
UEFA Conference League,M,UEFA,West Ham United FC,"Arthur Cabral, Zeki Amdouni - 7"
UEFA Super Cup,M,UEFA,Real Madrid CF,"David Alaba, Karim Benzema - 1"
