Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Tammy Abraham,eng ENG,FW,Roma,25,1997,2.7,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5,Matches
Francesco Acerbi,it ITA,DF,Inter,35,1988,26.5,1,0,0,19,24,3,9,32,13,0,0,0,102,70,37,65.4,Matches
Yacine Adli,fr FRA,MF,Milan,23,2000,15.6,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60.0,Matches
Michel Aebischer,ch SUI,MF,Bologna,26,1997,24.8,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7,Matches
Lucien Agoume,fr FRA,MF,Inter,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Marley Aké,fr FRA,FW,Udinese,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,0.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30,1992,7.8,5,0,0,15,5,0,1,12,11,0,1,0,29,5,7,41.7,Matches
David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,0.6,0,0,0,2,1,0,1,0,0,0,0,0,4,0,1,0.0,Matches
Luis Alberto,es ESP,MF,Lazio,30,1992,25.7,7,0,0,16,23,6,150,7,20,0,0,0,140,10,19,34.5,Matches
Carlos Alcaraz,ar ARG,MF,Juventus,20,2002,4.2,0,0,0,5,5,0,1,5,6,0,0,0,17,2,9,18.2,Matches
Pontus Almqvist,se SWE,"FW,MF",Lecce,24,1999,23.4,5,0,0,29,35,1,21,14,29,2,0,0,69,14,22,38.9,Matches
Lorenzo Amatucci,it ITA,MF,Fiorentina,19,2004,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0,Matches
Bruno Amione,ar ARG,DF,Hellas Verona,21,2002,6.4,2,0,0,10,6,0,1,9,3,0,0,0,39,19,10,65.5,Matches
Felipe Anderson,br BRA,"FW,MF",Lazio,30,1993,30.8,3,0,0,30,36,4,57,27,45,0,0,0,139,15,16,48.4,Matches
Angeliño,es ESP,DF,Roma,26,1997,12.7,2,0,0,13,10,1,53,12,11,0,0,1,55,15,9,62.5,Matches
Houssem Aouar,dz ALG,"MF,FW",Roma,25,1998,8.4,3,0,0,10,11,3,10,4,11,0,0,0,39,10,11,47.6,Matches
Simone Aresti,it ITA,GK,Cagliari,37,1986,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Marko Arnautović,at AUT,FW,Inter,34,1989,8.9,0,0,0,11,15,8,7,5,4,0,0,0,17,4,7,36.4,Matches
Kristjan Asllani,al ALB,MF,Inter,21,2002,8.7,1,0,0,4,19,0,35,11,2,0,0,0,57,4,7,36.4,Matches
