Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Dženan Bureković,ba BIH,MF,Spartak Subotic,27,1995,1.1,0,,,,,,,,,0,0,Matches
Borisav Burmaz,rs SRB,FW,Voždovac,21,2001,22.0,6,,,,,,,,,1,1,Matches
Aleksandar Busnić,rs SRB,MF,Vojvodina,24,1997,10.6,2,,,,,,,,,0,0,Matches
Josip Čalušić,hr CRO,DF,TSC Bačka Top,28,1993,28.3,2,,,,,,,,,0,0,Matches
Norman Campbell,jm JAM,FW,Javor Ivanjica,22,1999,27.0,7,,,,,,,,,0,0,Matches
Lazar Carević,me MNE,GK,Vojvodina,23,1999,34.6,0,,,,,,,,,0,0,Matches
Bojan Čečarić,rs SRB,FW,Napredak Kruš,28,1993,18.5,2,,,,,,,,,0,0,Matches
Sanele Chauke,rs SRB,FW,FK Kolubara,,,3.1,0,,,,,,,,,0,0,Matches
Geoffrey Chinedu,ng NGA,FW,Radnički Kragujevac,24,1997,6.1,2,,,,,,,,,0,0,Matches
Aleksandar Ćirković,rs SRB,MF,Voždovac,20,2001,4.2,0,,,,,,,,,0,0,Matches
Nikola Ćirković,rs SRB,FW,Mladost Lučani,30,1991,31.8,0,,,,,,,,,0,0,Matches
Leandro Climaco Pinto,br BRA,"DF,MF",Radnik Surdulica,28,1994,4.1,0,,,,,,,,,0,0,Matches
Nikola Colic,rs SRB,MF,TSC Bačka Top,19,2002,0.1,0,,,,,,,,,0,0,Matches
Andrés Colorado,co COL,MF,Partizan,23,1998,10.5,1,,,,,,,,,0,0,Matches
Stefan Čolović,rs SRB,DF,Čukarički,28,1994,0.9,0,,,,,,,,,0,0,Matches
Stefan Čolović,rs SRB,DF,Radnički Kragujevac,28,1994,21.8,2,,,,,,,,,0,0,Matches
Ivan Ćorković,rs SRB,DF,FK Kolubara,21,2001,5.1,0,,,,,,,,,0,0,Matches
Mehmed Ćosić,ba BIH,MF,FK Kolubara,25,1997,7.9,1,,,,,,,,,0,0,Matches
Đorđe Ćosić,ba BIH,DF,FK Mladost Novi Sad,26,1995,16.1,0,,,,,,,,,0,0,Matches

Kalifa Coulibaly,ml MLI,FW,Red Star,30,1991,0.9,1,,,,,,,,,0,0,Matches
Nikola Čumić,rs SRB,"FW,MF",Vojvodina,23,1998,24.2,13,,,,,,,,,1,1,Matches
Dusan Cvetinovic,rs SRB,DF,TSC Bačka Top,33,1988,6.7,0,,,,,,,,,0,0,Matches
Dusan Cvetinovic,rs SRB,DF,Radnički Kragujevac,33,1988,15.0,0,,,,,,,,,0,0,Matches
Miloš Cvetković,rs SRB,"DF,GK",TSC Bačka Top,32,1990,30.2,2,,,,,,,,,0,0,Matches
Stefan Cvetkovic,rs SRB,FW,Radnički Niš,24,1998,12.6,2,,,,,,,,,0,0,Matches
Igor Cvetojević,rs SRB,DF,FK Kolubara,21,2001,1.5,1,,,,,,,,,0,0,Matches
Cristian Dal Bello,br BRA,MF,FK Mladost Novi Sad,22,1999,9.4,1,,,,,,,,,0,0,Matches
Filip Damjanovic,rs SRB,DF,Voždovac,24,1998,34.7,0,,,,,,,,,0,0,Matches
Slavko Damjanović,me MNE,"DF,GK",Novi Pazar,29,1992,2.6,0,,,,,,,,,0,0,Matches
Damjan Daničić,rs SRB,DF,Voždovac,22,2000,4.5,0,,,,,,,,,0,0,Matches
Zoran Danoski,mk MKD,MF,Novi Pazar,31,1990,4.3,2,,,,,,,,,0,0,Matches
Zoran Danoski,mk MKD,MF,Radnik Surdulica,31,1990,15.8,2,,,,,,,,,0,0,Matches
Đorđe Denić,rs SRB,MF,FK Mladost Novi Sad,26,1996,22.4,1,,,,,,,,,0,0,Matches
Fousseni Diabaté,ml MLI,"FW,MF",Partizan,26,1995,26.1,2,,,,,,,,,0,0,Matches
Stefan Dimić,rs SRB,MF,Radnički Niš,29,1993,10.7,2,,,,,,,,,0,0,Matches
Srđan Dimitrov,rs SRB,MF,FK Mladost Novi Sad,30,1992,11.9,1,,,,,,,,,0,0,Matches
Nemanja Djekovic,rs SRB,DF,Napredak Kruš,19,2003,25.0,2,,,,,,,,,0,0,Matches
Vukasin Djurdjevic,rs SRB,DF,Voždovac,18,2004,0.2,1,,,,,,,,,0,0,Matches
Marko Docić,rs SRB,MF,Čukarički,29,1993,26.4,11,,,,,,,,,9,9,Matches
Dušan Dodić,se SWE,FW,Voždovac,18,2004,0.2,0,,,,,,,,,0,0,Matches
Dino Dolmagić,rs SRB,MF,Javor Ivanjica,28,1994,9.9,0,,,,,,,,,0,0,Matches
Boubacari Doucouré,fr FRA,DF,TSC Bačka Top,23,1999,0.1,0,,,,,,,,,0,0,Matches
Boubacari Doucouré,fr FRA,DF,Javor Ivanjica,23,1999,25.9,2,,,,,,,,,0,0,Matches
Aleksandar Dragović,at AUT,"DF,MF",Red Star,31,1991,28.7,0,,,,,,,,,0,0,Matches

Dejan Dražić,rs SRB,MF,Radnik Surdulica,26,1995,8.2,0,,,,,,,,,0,0,Matches
Uroš Drezgić,rs SRB,MF,Čukarički,19,2002,26.7,2,,,,,,,,,0,0,Matches
Marko Drobnjak,rs SRB,GK,Radnički Niš,27,1995,4.0,0,,,,,,,,,0,0,Matches
Mišo Dubljanić,me MNE,GK,Spartak Subotic,22,1999,10.0,0,,,,,,,,,0,0,Matches
Filip Dujmović,ba BIH,GK,Radnički Niš,23,1999,0.8,0,,,,,,,,,0,0,Matches
David Dunđerski,rs SRB,MF,Spartak Subotic,22,1999,4.9,0,,,,,,,,,0,0,Matches
David Dunđerski,rs SRB,MF,Mladost Lučani,22,1999,8.7,1,,,,,,,,,0,0,Matches
Borko Duronjić,rs SRB,FW,Radnik Surdulica,24,1997,16.8,2,,,,,,,,,0,0,Matches
Aleksa Dušanić,rs SRB,FW,Radnički Niš,19,2003,0.2,0,,,,,,,,,0,0,Matches
Miloš Džugurdić,rs SRB,FW,Napredak Kruš,29,1992,0.3,0,,,,,,,,,0,0,Matches
Eliomar,br BRA,MF,Javor Ivanjica,34,1988,8.7,1,,,,,,,,,0,0,Matches
Strahinja Eraković,rs SRB,DF,Red Star,21,2001,30.3,0,,,,,,,,,0,0,Matches
Mitar Ergelas,rs SRB,MF,Novi Pazar,19,2002,10.4,1,,,,,,,,,0,0,Matches
Amougou Etongou,cm CMR,DF,Radnički Niš,22,1999,14.0,0,,,,,,,,,0,0,Matches
Ljubomir Fejsa,rs SRB,MF,Partizan,33,1988,12.8,0,,,,,,,,,0,0,Matches
Ibrahim Fijuljanin,rs SRB,FW,Novi Pazar,18,2004,0.2,0,,,,,,,,,0,0,Matches
Aleksandar Filipović,rs SRB,DF,Partizan,27,1994,18.0,2,,,,,,,,,0,0,Matches
Miloš Filipović,rs SRB,MF,Novi Pazar,32,1990,5.6,0,,,,,,,,,0,0,Matches
Miloš Filipović,rs SRB,MF,FK Kolubara,32,1990,12.6,2,,,,,,,,,0,0,Matches
Nenad Filipović,rs SRB,GK,TSC Bačka Top,35,1987,2.0,0,,,,,,,,,0,0,Matches
Stefan Filipović,rs SRB,DF,Spartak Subotic,28,1994,12.5,0,,,,,,,,,0,0,Matches
Filip Frei,ch SUI,DF,Radnički Niš,21,2001,2.6,0,,,,,,,,,0,0,Matches
Marko Gajić,rs SRB,DF,Čukarički,30,1992,3.2,0,,,,,,,,,0,0,Matches
Maka Gakou,fr FRA,DF,Radnički Niš,22,2000,6.4,0,,,,,,,,,0,0,Matches
