Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Jurgen Çelhaka,al ALB,MF,Legia Warsaw,21,2000,2.8,0,,,,,,,,,0,0,Matches
Fiodor Černych,lt LTU,"FW,MF",Jagiellonia,31,1991,8.5,1,,,,,,,,,1,1,Matches
Mike Cestor,,DF,Radomiak Radom,30,1992,14.1,0,,,,,,,,,0,0,Matches
Kacper Chodyna,pl POL,MF,Zagłębie Lubin,23,1999,27.4,7,,,,,,,,,1,2,Matches
Mateusz Cholewiak,pl POL,"FW,MF",Górnik Zabrze,32,1990,8.8,0,,,,,,,,,0,0,Matches
Bozhidar Chorbadzhiyski,bg BUL,DF,Widzew Łódź,26,1995,5.3,0,,,,,,,,,0,0,Matches
Michał Chrapek,pl POL,"MF,FW",Piast Gliwice,30,1992,27.5,4,,,,,,,,,0,0,Matches
Paweł Chrupałła,pl POL,FW,Wisła Płock,19,2003,0.6,0,,,,,,,,,0,0,Matches
Adam Chrzanowski,pl POL,DF,Wisła Płock,23,1999,14.6,0,,,,,,,,,0,0,Matches
Chuca,es ESP,MF,Miedź Legnica,25,1997,24.1,6,,,,,,,,,0,0,Matches
Mateusz Cichocki,pl POL,DF,Radomiak Radom,30,1992,19.8,0,,,,,,,,,0,0,Matches
Radosław Cielemęcki,pl POL,FW,Wisła Płock,19,2003,1.4,0,,,,,,,,,0,0,Matches
Bartłomiej Ciepiela,pl POL,"FW,MF",Stal Mielec,21,2001,7.6,1,,,,,,,,,0,0,Matches
Andrejs Ciganiks,lv LVA,"MF,DF",Widzew Łódź,25,1997,9.4,1,,,,,,,,,0,0,Matches
Christian Clemens,de GER,MF,Lechia Gdańsk,30,1991,5.0,0,,,,,,,,,0,0,Matches
Conrado,it ITA,MF,Lechia Gdańsk,25,1997,15.3,0,,,,,,,,,0,0,Matches
Roberto Corral,es ESP,DF,Korona Kielce,24,1997,2.8,0,,,,,,,,,0,0,Matches
Rui Filipe Cunha Correia,pt POR,MF,Jagiellonia,27,1995,25.5,5,,,,,,,,,0,0,Matches
Milan Corryn,be BEL,FW,Warta Poznań,23,1999,2.6,1,,,,,,,,,0,0,Matches

Alan Czerwiński,pl POL,DF,Lech Poznań,29,1993,15.9,0,,,,,,,,,0,0,Matches
Jakub Czerwiński,pl POL,DF,Piast Gliwice,30,1991,32.5,1,,,,,,,,,0,0,Matches
Szymon Czyż,pl POL,MF,RKS Raków,21,2001,4.9,0,,,,,,,,,0,0,Matches
Damian Dąbrowski,pl POL,MF,Pogoń Szczecin,29,1992,31.4,4,,,,,,,,,0,0,Matches
Robert Dadok,pl POL,"MF,FW",Górnik Zabrze,25,1996,14.4,4,,,,,,,,,0,0,Matches
Filip Dagerstål,se SWE,DF,Lech Poznań,25,1997,18.5,0,,,,,,,,,0,0,Matches
Adrian Danek,pl POL,DF,Korona Kielce,27,1994,13.3,0,,,,,,,,,0,0,Matches
Karol Danielak,pl POL,"MF,DF",Widzew Łódź,30,1991,9.4,1,,,,,,,,,0,0,Matches
Davo,es ESP,"MF,FW",Wisła Płock,27,1994,15.3,9,,,,,,,,,1,1,Matches
Ignacy Dawid,pl POL,MF,Widzew Łódź,19,2003,0.1,0,,,,,,,,,0,0,Matches
Ronaldo Deaconu,ro ROU,MF,Korona Kielce,25,1997,21.8,2,,,,,,,,,0,0,Matches
Adam Dębiński,pl POL,MF,Widzew Łódź,18,2004,0.0,0,,,,,,,,,0,0,Matches
Adam Deja,pl POL,MF,Korona Kielce,29,1993,14.1,0,,,,,,,,,0,0,Matches
Anthony van den Hurk,cw CUW,FW,Górnik Zabrze,29,1993,2.3,1,,,,,,,,,0,0,Matches
Enis Destan,tr TUR,"FW,MF",Warta Poznań,20,2002,4.8,1,,,,,,,,,0,0,Matches
Bassekou Diabaté,ml MLI,MF,Lechia Gdańsk,22,2000,10.3,0,,,,,,,,,0,0,Matches
Cheikhou Dieng,sn SEN,MF,Zagłębie Lubin,28,1993,3.2,0,,,,,,,,,0,0,Matches
Sokratis Dioudis,gr GRE,GK,Zagłębie Lubin,29,1993,14.0,0,,,,,,,,,0,0,Matches
Martin Doležal,cz CZE,FW,Zagłębie Lubin,32,1990,9.6,2,,,,,,,,,0,0,Matches
Maciej Domański,pl POL,"MF,FW",Stal Mielec,31,1990,27.1,4,,,,,,,,,1,2,Matches
Maxime Dominguez,ch SUI,"MF,FW",Miedź Legnica,26,1996,25.0,1,,,,,,,,,0,0,Matches
Christos Donis,gr GRE,MF,Radomiak Radom,27,1994,10.7,0,,,,,,,,,0,0,Matches
Barry Douglas,sct SCO,DF,Lech Poznań,32,1989,12.4,0,,,,,,,,,0,0,Matches
Dawid Drachal,pl POL,MF,Miedź Legnica,17,2005,7.0,1,,,,,,,,,0,0,Matches
Igor Drapinski,pl POL,DF,Wisła Płock,18,2004,2.2,0,,,,,,,,,0,0,Matches

Kamil Drygas,pl POL,MF,Pogoń Szczecin,30,1991,2.2,1,,,,,,,,,1,1,Matches
Kamil Drygas,pl POL,MF,Miedź Legnica,30,1991,13.2,2,,,,,,,,,0,1,Matches
İlkay Durmuş,tr TUR,MF,Lechia Gdańsk,28,1994,19.1,1,,,,,,,,,0,0,Matches
Patryk Dziczek,pl POL,MF,Piast Gliwice,24,1998,20.5,3,,,,,,,,,3,4,Matches
Wiktor Długosz,pl POL,MF,RKS Raków,22,2000,5.2,0,,,,,,,,,0,0,Matches
Erik Expósito,es ESP,FW,Śląsk Wrocław,26,1996,25.7,7,,,,,,,,,1,2,Matches
Michał Feliks,pl POL,FW,Radomiak Radom,23,1999,2.9,1,,,,,,,,,0,0,Matches
Jorge Félix,es ESP,"MF,FW",Piast Gliwice,30,1991,19.5,3,,,,,,,,,0,0,Matches
Marcin Flis,pl POL,DF,Stal Mielec,28,1994,26.0,0,,,,,,,,,0,0,Matches
Konrad Forenc,pl POL,GK,Korona Kielce,30,1992,20.0,0,,,,,,,,,0,0,Matches
Mariusz Fornalczyk,pl POL,MF,Pogoń Szczecin,19,2003,2.2,0,,,,,,,,,0,0,Matches
Adam Frączczak,pl POL,MF,Korona Kielce,34,1987,3.5,0,,,,,,,,,0,0,Matches
Jean Franco Sarmiento,co COL,FW,Radomiak Radom,25,1997,5.2,0,,,,,,,,,0,0,Matches
Kevin Friesenbichler,at AUT,MF,Lechia Gdańsk,28,1994,4.9,0,,,,,,,,,0,0,Matches
Dominik Furman,pl POL,MF,Wisła Płock,30,1992,29.0,0,,,,,,,,,0,1,Matches
Maciej Gajos,pl POL,MF,Lechia Gdańsk,31,1991,21.0,4,,,,,,,,,0,0,Matches
Tornike Gaprindashvili,ge GEO,MF,Zagłębie Lubin,25,1997,11.8,2,,,,,,,,,0,0,Matches
Víctor García Marín,es ESP,"DF,MF",Śląsk Wrocław,28,1994,24.5,0,,,,,,,,,0,0,Matches
Marcin Garuch,pl POL,MF,Miedź Legnica,33,1988,0.1,0,,,,,,,,,0,0,Matches
Fryderyk Gerbowski,pl POL,MF,Stal Mielec,19,2003,11.6,2,,,,,,,,,0,0,Matches
