Player,Age,Date,Record MV
Artur Boruc,28,07.09.2008,€12.00m
Diego Benaglio,26,18.11.2009,€11.50m
Maarten Vandevoordt,21,19.12.2023,€11.00m
Maarten Stekelenburg,28,17.01.2011,€11.00m
Mickaël Landreau,25,01.11.2004,€11.00m
Andrey Lunev,27,14.06.2019,€10.50m
Volkan Demirel,29,01.07.2011,€10.50m
Etienne Green,21,16.12.2021,€10.00m
Julen Agirrezabala,23,11.10.2024,€10.00m
Joan García,23,11.10.2024,€10.00m
Noah Atubolu,22,29.05.2024,€10.00m
Ersin Destanoğlu,21,31.03.2022,€10.00m
Yehvann Diouf,23,16.10.2023,€10.00m
Matt Turner,29,09.10.2023,€10.00m
Paul Bernardoni,23,07.01.2021,€10.00m
Florian Müller,21,05.06.2019,€10.00m
Conan Ledesma,29,07.11.2022,€10.00m
Freddie Woodman,24,08.06.2021,€10.00m
Zack Steffen,24,17.12.2019,€10.00m
Georgiy Bushchan,28,06.09.2022,€10.00m
Danny Ward,25,13.08.2018,€10.00m
N/A,N/A,N/A,N/A
Angus Gunn,22,13.08.2018,€10.00m
Marco Sportiello,24,15.07.2016,€10.00m
Rubén Blanco,24,05.03.2020,€10.00m
Predrag Rajković,27,07.11.2022,€10.00m
Mathew Ryan,27,13.06.2019,€10.00m
Yuriy Lodygin,25,18.06.2015,€10.00m
Aitor Fernández,28,05.03.2020,€10.00m
Esteban Andrada,28,05.12.2019,€10.00m
Marco Silvestri,29,29.12.2020,€10.00m
Robin Olsen,28,20.12.2018,€10.00m
Vicente Guaita,25,07.08.2012,€10.00m
Oliver Baumann,28,05.06.2018,€10.00m
Andriy Pyatov,26,11.03.2011,€10.00m
Stéphane Ruffier,28,14.01.2015,€10.00m
Eduardo,27,15.07.2010,€10.00m
Heurelho Gomes,29,13.08.2010,€10.00m
Craig Gordon,24,01.09.2007,€10.00m
Carlos Kameni,23,04.02.2008,€10.00m
Cédric Carrasso,28,28.12.2010,€10.00m
Tim Howard,31,13.08.2010,€10.00m
Shay Given,33,24.01.2010,€10.00m
Tim Wiese,28,17.01.2010,€10.00m
Timo Hildebrand,28,04.04.2008,€10.00m
Ron-Robert Zieler,25,12.02.2014,€9.50m
Rüştü Reçber,31,04.10.2004,€9.50m
N/A,N/A,N/A,N/A
Gabriel Slonina,19,20.06.2023,€9.00m
Mads Hermansen,23,21.12.2023,€9.00m
Mile Svilar,24,05.06.2024,€9.00m
Jonas Omlin,29,22.06.2023,€9.00m
Alfred Gomis,27,15.10.2020,€9.00m
Francesco Bardi,22,01.07.2014,€9.00m
Alexander Schwolow,27,05.06.2019,€9.00m
Stefan Ortega,30,20.06.2023,€9.00m
Adrián,29,01.08.2016,€9.00m
