Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Valentin Atangana Edoa,fr FRA,MF,Reims,17,2005,6.2,19,13,6,9,4,5,13,38.5,8,5,1,4,6,25,9,0,Matches
Arthur Atta,fr FRA,"MF,FW",Metz,20,2003,10.3,18,14,8,7,3,8,19,42.1,11,13,3,10,10,28,23,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,34,1989,29.1,22,14,4,11,7,7,26,26.9,19,30,5,25,9,31,26,0,Matches
André Ayew,gh GHA,FW,Le Havre,33,1989,12.3,15,11,7,6,2,6,9,66.7,3,8,3,5,2,17,11,0,Matches
Neil El Aynaoui,fr FRA,MF,Lens,22,2001,17.4,37,20,13,20,4,20,46,43.5,26,20,6,14,32,69,21,1,Matches
Abdellah Baallal,ma MAR,MF,Clermont Foot,18,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Shavy Babicka,ga GAB,"FW,MF",Toulouse,23,2000,4.1,11,8,2,7,2,2,5,40.0,3,6,1,5,0,11,2,0,Matches
Tiemoué Bakayoko,fr FRA,MF,Lorient,28,1994,14.6,34,17,14,17,3,15,28,53.6,13,10,4,6,26,60,15,1,Matches
Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,20,2002,24.2,30,22,12,13,5,11,40,27.5,29,26,1,25,20,50,11,0,Matches
Aliou Baldé,gn GUI,"FW,DF",Nice,20,2002,0.8,4,1,0,3,1,1,1,100.0,0,2,1,1,3,7,0,0,Matches
Carlos Baleba,cm CMR,MF,Lille,19,2004,0.7,6,2,1,4,1,3,4,75.0,1,0,0,0,2,8,0,0,Matches
Leonardo Balerdi,ar ARG,DF,Marseille,24,1999,25.2,79,50,55,23,1,49,67,73.1,18,38,15,23,51,130,91,0,Matches
Folarin Balogun,us USA,FW,Monaco,22,2001,18.8,12,4,3,8,1,5,13,38.5,8,10,0,10,3,15,4,0,Matches
