Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Engin Yıldırım,tr TUR,FW,Trabzonspor,17,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Muammer Yıldırım,tr TUR,GK,Sivasspor,31,1990,5.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Berk Yıldız,tr TUR,"FW,MF",Adana Demirspor,26,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,Matches
İbrahim Yılmaz,tr TUR,FW,İstanbulspor,28,1994,14.0,0,30,9,30.0,2.15,0.64,0.00,0.00,,0,0,Matches
Kartal Yılmaz,tr TUR,MF,Beşiktaş,21,2000,1.4,0,2,0,0.0,1.48,0.00,0.00,,,0,0,Matches
Kartal Yılmaz,tr TUR,MF,Ümraniyespor,21,2000,15.9,0,10,3,30.0,0.63,0.19,0.00,0.00,,0,0,Matches
Mert Yilmaz,tr TUR,MF,Ümraniyespor,23,1999,1.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Oğuzhan Yilmaz,tr TUR,MF,Trabzonspor,16,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Oğuzhan Yılmaz,,MF,Kasımpaşa,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Recep Yılmaz,tr TUR,DF,Hatayspor,26,1995,9.5,0,2,0,0.0,0.21,0.00,0.00,,,0,0,Matches
İsmail Yüksek,tr TUR,MF,Fenerbahçe,23,1999,8.2,0,8,1,12.5,0.97,0.12,0.00,0.00,,0,0,Matches
Ghayas Zahid,no NOR,"MF,FW",Ankaragücü,27,1994,15.7,2,18,7,38.9,1.15,0.45,0.11,0.29,,0,0,Matches
Miha Zajc,si SVN,MF,Fenerbahçe,28,1994,14.0,3,26,8,30.8,1.86,0.57,0.12,0.38,,0,0,Matches
Emirhan Zaman,,MF,Trabzonspor,19,2003,0.8,0,3,1,33.3,3.70,1.23,0.00,0.00,,0,0,Matches
Nicolò Zaniolo,it ITA,"MF,FW",Galatasaray,23,1999,3.9,5,22,10,45.5,5.59,2.54,0.18,0.40,,1,1,Matches
Andrej Đokanović,ba BIH,MF,Ankaragücü,21,2001,8.5,0,3,0,0.0,0.35,0.00,0.00,,,0,0,Matches
