Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches


Amir Abdijanovic,at AUT,"FW,MF",SCR Altach,21,2001,8.9,2,0,0,23,12,0,24,7,10,,,0,Matches
Junior Adamu,at AUT,FW,RB Salzburg,21,2001,14.3,2,1,0,31,28,18,18,5,12,,,0,Matches
Adriel,br BRA,"DF,MF",SC Austria Lustenau,25,1997,10.3,2,0,0,13,7,0,2,11,22,,,0,Matches
David Affengruber,at AUT,DF,Sturm Graz,21,2001,21.4,8,1,1,18,16,3,3,44,16,,,1,Matches
Lawrence Agyekum,gh GHA,"MF,FW",RB Salzburg,18,2003,2.2,1,0,0,6,2,0,1,2,4,,,0,Matches
Sebastian Aigner,at AUT,"MF,DF",SCR Altach,21,2001,7.7,2,0,0,16,4,0,6,13,10,,,0,Matches
Albian Ajeti,ch SUI,FW,Sturm Graz,25,1997,7.4,3,0,0,12,7,5,2,0,2,,,0,Matches
Pape Alioune Ndiaye,fr FRA,DF,SCR Altach,24,1998,4.3,2,0,0,6,1,0,0,9,9,,,0,Matches
Eylon Almog,il ISR,"MF,FW",Hartberg,23,1999,4.0,1,0,0,2,2,1,3,4,3,,,0,Matches
Anderson,br BRA,"MF,DF",SC Austria Lustenau,24,1998,26.1,7,1,0,38,19,5,51,45,44,,,0,Matches
Matteo Anzolin,it ITA,"DF,MF",Wolfsberger AC,21,2000,16.9,2,0,0,7,22,0,61,11,18,,,0,Matches
Jonas Arweiler,de GER,FW,SK Austria Klagenfurt,25,1997,5.2,0,0,0,7,7,3,10,1,2,,,0,Matches
Jonas Auer,at AUT,DF,Rapid Wien,21,2000,26.0,7,0,0,21,27,1,175,56,38,,,0,Matches
Donis Avdijaj,xk KVX,"MF,FW",Hartberg,25,1996,13.7,3,0,0,17,23,9,20,9,14,,,0,Matches
Okan Aydın,tr TUR,"MF,FW",Hartberg,28,1994,10.6,1,0,0,9,21,1,37,11,10,,,0,Matches
Felix Bacher,at AUT,DF,WSG Tirol,21,2000,28.2,6,2,1,39,43,0,12,60,31,,,1,Matches
Mike-Steven Bähre,de GER,MF,SCR Altach,26,1995,5.3,1,0,0,12,8,1,1,11,9,,,0,Matches
Samson Baidoo,at AUT,DF,RB Salzburg,18,2004,2.0,0,0,0,2,1,0,1,4,5,,,0,Matches
Ante Bajic,at AUT,MF,Rapid Wien,26,1995,10.5,6,1,1,28,18,4,17,9,12,,,0,Matches
Husein Balic,at AUT,"FW,MF",SCR Altach,26,1996,10.0,1,0,0,8,13,1,13,3,6,,,0,Matches
Husein Balic,at AUT,"FW,MF",LASK,26,1996,1.2,0,0,0,2,3,1,0,0,1,,,0,Matches
Thierno Ballo,at AUT,"MF,FW",Wolfsberger AC,20,2002,12.6,3,0,0,32,18,3,29,10,14,,,0,Matches
Matan Baltaxa,il ISR,"MF,DF",Austria Wien,26,1995,3.5,1,0,0,5,4,0,3,6,6,,,0,Matches
