Competition Name,Gender,Governing Body,Champion,Top Scorer
UEFA Champions League,M,UEFA,Real Madrid CF,"Harry Kane, Kylian Mbappé - 8"
UEFA Europa League,M,UEFA,Atalanta BC,Pierre-Emerick Aubameyang - 10
UEFA Conference League,M,UEFA,Olympiacos FC,Ayoub El Kaabi - 11
UEFA Super Cup,M,UEFA,Manchester City FC,"Youssef En-Nesyri, Cole Palmer - 1"
