Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Fernando Pacheco Rivas,pe PER,"FW,MF",Emmen,23,1999,0.9,0,2,1,50.0,2.14,1.07,0.00,0.00,18.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Igor Paixão,br BRA,FW,Feyenoord,22,2000,14.0,7,33,18,54.5,2.36,1.28,0.21,0.39,14.4,1,0,0,4.0,4.0,0.12,+3.0,+3.0,Matches
Ivor Pandur,hr CRO,GK,Fortuna Sittard,22,2000,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Remko Pasveer,nl NED,GK,Ajax,38,1983,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mitchell Paulissen,nl NED,MF,Cambuur,29,1993,21.7,2,33,10,30.3,1.52,0.46,0.06,0.20,20.9,5,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches
Vangelis Pavlidis,gr GRE,FW,AZ Alkmaar,23,1998,20.8,12,63,30,47.6,3.03,1.44,0.17,0.37,12.4,0,1,1,10.9,10.1,0.16,+1.1,+0.9,Matches
Deron Payne,nl NED,DF,Volendam,19,2002,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marcus Pedersen,no NOR,DF,Feyenoord,22,2000,23.5,1,19,4,21.1,0.81,0.17,0.05,0.25,17.5,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
Joey Pelupessy,nl NED,MF,Groningen,29,1993,14.8,1,10,3,30.0,0.68,0.20,0.10,0.33,22.3,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
Ricardo Pepi,us USA,FW,Groningen,19,2003,27.3,12,57,18,31.6,2.09,0.66,0.19,0.61,13.8,0,1,1,7.2,6.4,0.11,+4.8,+4.6,Matches
Vincent Pichel,nl NED,"MF,FW",Cambuur,20,2001,0.8,0,1,0,0.0,1.22,0.00,0.00,,23.7,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Kik Pierie,nl NED,DF,Excelsior,22,2000,6.5,1,5,2,40.0,0.77,0.31,0.20,0.50,7.5,0,0,0,1.0,1.0,0.20,0.0,0.0,Matches
