Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches


Rodrigo Abascal,uy URU,DF,Boavista,29,1994,27.5,8,0,0,35,5,0,41,34,26,0,1,1,132,45,17,72.6,Matches
Antonio Adán,es ESP,GK,Sporting CP,36,1987,22.0,1,0,0,2,2,0,1,0,0,0,2,0,18,1,0,100.0,Matches
Dennis Adeniran,eng ENG,MF,Portimonense,24,1999,0.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,Matches
Martin Agirregabiria,es ESP,DF,Famalicão,27,1996,13.4,4,0,0,17,5,2,55,11,18,0,0,0,55,11,12,47.8,Matches
Salvador Agra,pt POR,"FW,DF",Boavista,31,1991,27.3,7,0,0,42,46,9,174,16,9,1,0,0,123,5,18,21.7,Matches
Matheus Aiás,br BRA,"FW,MF",Moreirense,26,1996,5.3,0,0,0,7,14,0,3,4,2,0,0,0,14,6,15,28.6,Matches
Alan,br BRA,MF,Moreirense,23,2000,27.3,5,0,0,66,52,5,125,7,32,0,0,0,131,4,29,12.1,Matches
Rafael Alcobia,pt POR,DF,Portimonense,20,2003,2.3,0,0,0,1,2,0,0,1,3,0,0,0,9,4,5,44.4,Matches
Alemão,br BRA,DF,Portimonense,20,2002,26.3,7,0,0,35,13,3,0,30,34,1,2,0,115,47,32,59.5,Matches
Ali Alipour,ir IRN,FW,Gil Vicente FC,27,1995,8.9,1,0,0,7,10,11,5,0,4,0,0,0,17,19,34,35.8,Matches
Almeida,br BRA,DF,Estrela,23,2000,5.4,1,0,0,9,4,0,0,3,5,0,0,0,24,11,9,55.0,Matches
Pedro Álvaro,pt POR,DF,Estoril,23,2000,19.9,6,1,0,28,6,1,2,23,7,0,0,1,70,40,40,50.0,Matches
Pedro Amador,pt POR,DF,Moreirense,24,1998,12.6,0,0,0,8,8,0,54,15,19,0,0,0,64,18,30,37.5,Matches
Artur Jorge Marques Amorim,pt POR,DF,Farense,28,1994,5.5,3,0,0,9,1,0,0,7,4,1,1,1,22,11,11,50.0,Matches
André André,pt POR,MF,Vitória,33,1989,7.3,9,0,0,30,32,0,4,4,4,0,0,0,52,4,5,44.4,Matches
Andrew,br BRA,GK,Gil Vicente FC,22,2001,32.0,0,0,0,0,6,0,0,0,0,0,0,1,49,9,0,100.0,Matches
Jeremy Antonisse,cw CUW,FW,Moreirense,21,2002,6.1,6,1,1,14,8,2,17,5,8,0,0,0,39,6,14,30.0,Matches
Pedro Aparício,pt POR,"MF,FW",Moreirense,27,1995,3.7,2,0,0,6,3,0,9,1,1,0,0,0,20,2,7,22.2,Matches
Óscar Aranda,es ESP,"FW,MF",Famalicão,21,2002,8.0,3,0,0,6,44,2,28,1,4,0,0,0,48,4,8,33.3,Matches
Henrique Araújo,pt POR,FW,Famalicão,21,2002,7.6,1,0,0,11,13,4,0,1,1,1,0,0,23,17,34,33.3,Matches
