nation_rank,nation_prev_rank,nation,confederation,points
100,101,Thailand,23,1223
101,100,Trinidad and Tobago,34,1213
102,108,Kenya,25,1209
103,103,Tajikistan,20,1208
104,106,Kosovo,23,1206
105,98,Namibia,27,1201
106,102,Kyrgyzstan,24,1201
107,107,Guatemala,26,1200
108,105,Madagascar,28,1197
109,109,Kazakhstan,28,1193
110,113,Tanzania,22,1188
111,110,North Korea,23,1183
112,112,Mauritania,25,1179
113,111,Azerbaijan,23,1173
114,116,Lebanon,23,1167
115,114,Guinea-Bissau,26,1166
116,115,Vietnam,26,1161
117,118,Republic of the Congo,29,1160
118,119,Comoros,24,1160
119,120,Togo,29,1159
120,121,Sudan,26,1154
121,117,Libya,31,1154
122,123,Estonia,26,1140
123,127,Cyprus,24,1137
124,129,Zimbabwe,23,1135
125,122,Sierra Leone,23,1134
126,124,India,25,1134
127,125,Niger,26,1132
128,128,Central African Republic,26,1131
129,133,Indonesia,26,1124
130,131,Rwanda,25,1123
131,130,Nicaragua,23,1118
132,134,Malaysia,25,1118
133,126,Malawi,26,1117
134,136,Kuwait,23,1112
135,132,The Gambia,34,1109
136,139,Burundi,26,1102
137,137,Latvia,26,1098
138,140,Suriname,23,1094
139,135,Lithuania,25,1091
140,138,Faroe Islands,23,1090
141,146,Saint Kitts and Nevis,22,1068
142,144,Turkmenistan,23,1065
143,142,Liberia,24,1065
144,141,Solomon Islands,23,1064
145,143,Ethiopia,29,1063
146,150,Dominican Republic,23,1058
147,145,Botswana,23,1050
148,147,Philippines,22,1050
149,152,Moldova,26,1043
150,153,Fiji,23,1038
151,148,Antigua and Barbuda,21,1035
152,151,Afghanistan,26,1034
153,149,Lesotho,25,1034
154,157,Puerto Rico,23,1022
155,156,Yemen,25,1021
156,154,Guyana,23,1020
157,159,Hong Kong,23,1018
158,158,Tahiti,20,1017
159,155,Eswatini,23,1012
160,160,New Caledonia,21,1009
161,161,Singapore,26,1008
162,162,Vanuatu,23,1005
163,163,Maldives,23,1003
164,170,Saint Lucia,23,998
165,167,Cuba,24,992
166,165,Chinese Taipei,23,991
167,166,Myanmar,23,989
168,168,Papua New Guinea,23,984
169,164,Andorra,29,982
170,171,Bermuda,23,973
171,172,Malta,25,972
172,169,South Sudan,25,968
173,173,Grenada,23,947
174,174,Saint Vincent and the Grenadines,24,946
175,177,Barbados,22,944
176,175,Nepal,20,936
177,178,Chad,27,932
178,179,Mauritius,22,928
179,176,Montserrat,21,924
180,180,Cambodia,22,920
181,181,Dominica,23,917
182,183,Belize,21,913
183,190,Brunei Darussalam,23,907
184,182,Bhutan,24,904
185,192,Samoa,22,901
186,184,Bangladesh,23,897
187,188,Laos,23,890
188,189,Mongolia,23,884
189,187,American Samoa,23,883
190,191,São Tomé and Príncipe,21,878
191,186,Cook Islands,19,878
192,193,Djibouti,23,875
193,185,Macau,24,872
194,194,Aruba,22,868
195,195,Cayman Islands,22,857
196,196,Timor-Leste,24,845
197,197,Pakistan,24,843
198,198,Gibraltar,23,842
199,200,Tonga,23,836
200,205,Sri Lanka,24,831
201,201,Seychelles,33,831
202,202,Somalia,23,830
203,199,Liechtenstein,23,827
204,204,Guam,25,822
205,203,Bahamas,20,817
206,206,Turks and Caicos Islands,21,803
207,208,United States Virgin Islands,23,792
208,207,British Virgin Islands,22,791
209,209,Anguilla,22,782
210,210,San Marino,24,746
