Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Marko Arnautović,at AUT,FW,Bologna,32,1989,29.9,6,0,0,45,21,14,12,7,9,0,0,0,77,25,41,37.9,Matches
Tolgay Arslan,de GER,MF,Udinese,30,1990,18.4,9,0,0,28,36,0,33,13,20,1,0,0,140,6,8,42.9,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,20,2001,8.4,5,0,0,17,14,0,2,15,6,0,0,1,43,21,10,67.7,Matches
Kristjan Asllani,al ALB,MF,Empoli,19,2002,15.0,2,0,0,13,23,0,29,19,9,0,0,0,122,4,6,40.0,Matches
Emil Audero,it ITA,GK,Sampdoria,24,1997,28.4,2,0,0,0,6,0,0,2,1,0,0,0,31,7,0,100.0,Matches

Tommaso Augello,it ITA,DF,Sampdoria,26,1994,26.6,0,0,0,12,21,1,74,29,20,0,0,0,172,33,19,63.5,Matches
Ramzi Aya,it ITA,DF,Salernitana,30,1990,1.5,1,0,0,1,0,0,1,0,1,0,0,0,8,0,1,0.0,Matches
Kaan Ayhan,tr TUR,DF,Sassuolo,26,1994,15.0,2,1,0,13,5,1,2,13,12,0,1,0,68,24,34,41.4,Matches
Milan Badelj,hr CRO,MF,Genoa,32,1989,31.6,4,0,0,39,19,0,10,85,37,1,0,0,258,34,28,54.8,Matches
Nicola Bagnolini,it ITA,GK,Bologna,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Issa Bah,lu LUX,FW,Venezia,19,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Nedim Bajrami,al ALB,"MF,FW",Empoli,22,1999,22.8,3,0,0,16,14,7,156,3,14,0,0,0,91,0,14,0.0,Matches
Tiemoué Bakayoko,fr FRA,MF,Milan,26,1994,5.6,3,0,0,12,10,0,1,9,13,0,1,0,33,16,8,66.7,Matches
Tommaso Baldanzi,it ITA,FW,Empoli,18,2003,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
Keita Baldé,sn SEN,FW,Cagliari,26,1995,13.7,2,0,0,27,30,9,8,4,4,1,1,0,33,20,46,30.3,Matches
Fodé Ballo-Touré,sn SEN,DF,Milan,24,1997,5.0,2,0,0,12,10,1,18,3,14,0,1,0,35,5,9,35.7,Matches
Filippo Bandinelli,it ITA,MF,Empoli,26,1995,21.7,10,0,0,53,18,5,68,10,20,0,1,0,117,12,31,27.9,Matches
Mattia Bani,it ITA,DF,Genoa,27,1993,13.5,1,0,0,14,19,0,1,20,13,0,0,0,70,42,27,60.9,Matches
Antonín Barák,cz CZE,"MF,FW",Hellas Verona,26,1994,26.0,4,0,0,27,17,3,13,6,8,1,0,0,156,41,68,37.6,Matches
Francesco Bardi,it ITA,GK,Bologna,29,1992,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Nicolò Barella,it ITA,MF,Inter,24,1997,32.4,9,0,0,30,52,4,66,21,42,1,0,0,190,22,24,47.8,Matches
Musa Barrow,gm GAM,"FW,MF",Bologna,22,1998,23.7,0,0,0,10,25,6,112,6,4,0,0,0,93,15,48,23.8,Matches
Daniele Baselli,it ITA,"MF,FW",Torino,29,1992,1.7,0,0,0,3,4,1,5,1,3,0,0,0,11,2,6,25.0,Matches
Daniele Baselli,it ITA,MF,Cagliari,29,1992,3.2,1,0,0,2,3,0,17,2,5,0,0,0,24,2,3,40.0,Matches
Toma Bašić,hr CRO,MF,Lazio,24,1996,10.9,3,0,0,13,6,0,15,4,8,0,0,0,41,8,10,44.4,Matches
Alessandro Bastoni,it ITA,DF,Inter,22,1999,25.7,4,0,0,30,28,0,29,35,25,0,1,0,152,43,26,62.3,Matches
Simone Bastoni,it ITA,"MF,DF",Spezia,24,1996,25.4,5,1,0,30,35,1,113,30,34,0,0,0,185,25,13,65.8,Matches
Rodrigo Becão,br BRA,DF,Udinese,25,1996,34.8,10,0,0,57,45,4,17,42,46,0,1,0,193,63,32,66.3,Matches
Valon Behrami,ch SUI,"MF,FW",Genoa,36,1985,3.5,3,0,0,8,5,0,2,1,1,0,0,0,13,0,7,0.0,Matches
Vid Belec,si SVN,GK,Salernitana,31,1990,21.5,1,0,0,1,1,0,0,0,0,0,1,0,14,1,0,100.0,Matches

Raoul Bellanova,it ITA,"DF,FW",Cagliari,21,2000,27.7,3,0,0,10,35,2,96,21,15,0,1,0,123,15,26,36.6,Matches
Andrea Belotti,it ITA,FW,Torino,27,1993,15.2,1,0,0,26,51,16,13,2,3,1,0,0,41,55,77,41.7,Matches
Marco Benassi,it ITA,"DF,MF",Fiorentina,26,1994,1.8,1,0,0,4,0,0,4,3,0,0,0,0,9,3,5,37.5,Matches
Marco Benassi,it ITA,MF,Empoli,26,1994,4.2,1,0,0,5,5,0,13,3,3,0,0,0,14,7,14,33.3,Matches
Filip Benković,hr CRO,"DF,FW",Udinese,24,1997,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,66.7,Matches
Ismaël Bennacer,dz ALG,MF,Milan,23,1997,16.9,7,0,0,25,44,0,24,25,30,0,0,0,153,15,18,45.5,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,24,1997,12.8,1,0,0,25,8,0,4,26,18,0,0,0,86,20,20,50.0,Matches
Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Domenico Berardi,it ITA,FW,Sassuolo,26,1994,31.3,9,0,0,53,76,11,102,31,19,2,0,0,151,18,18,50.0,Matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,29,1992,32.7,12,0,0,34,37,0,60,42,38,0,0,0,191,45,20,69.2,Matches
Etrit Berisha,al ALB,GK,Torino,32,1989,10.0,1,0,0,1,3,0,0,0,0,0,1,0,18,0,0,,Matches
Federico Bernardeschi,it ITA,"MF,FW",Juventus,27,1994,16.4,5,0,0,16,27,4,51,5,10,0,0,0,82,7,17,29.2,Matches
Nicolò Bertola,it ITA,"MF,DF",Spezia,18,2003,0.4,0,0,0,0,0,0,0,3,2,0,0,0,4,1,1,50.0,Matches
Daniel Bessa,it ITA,MF,Hellas Verona,28,1993,8.5,5,1,1,21,12,2,17,5,2,0,0,0,84,8,7,53.3,Matches
Beto,gw GNB,FW,Udinese,23,1998,24.1,1,0,0,52,24,13,2,5,6,0,0,0,54,73,123,37.2,Matches
Luis Binks,eng ENG,DF,Bologna,19,2001,7.2,3,0,0,7,6,0,1,17,4,0,0,0,35,19,13,59.4,Matches
Cristiano Biraghi,it ITA,DF,Fiorentina,28,1992,35.0,5,1,1,28,38,7,278,19,24,0,0,1,173,4,16,20.0,Matches
Davide Biraschi,it ITA,DF,Genoa,27,1994,10.3,4,0,0,12,11,1,14,16,16,0,0,0,53,21,16,56.8,Matches
Bjarki Bjarkason,is ISL,MF,Venezia,21,2000,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Jeremie Boga,ci CIV,"FW,MF",Atalanta,24,1997,8.5,0,0,0,1,17,3,24,1,3,0,0,0,37,3,6,33.3,Matches
Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24,1997,7.4,0,0,0,1,9,2,7,2,4,1,0,0,25,2,5,28.6,Matches
Luka Bogdan,hr CRO,DF,Salernitana,25,1996,4.4,0,0,0,2,1,0,1,6,3,0,0,0,18,6,8,42.9,Matches
Emil Bohinen,no NOR,MF,Salernitana,22,1999,7.8,5,0,0,16,13,1,20,12,9,0,0,0,61,6,13,31.6,Matches
Giacomo Bonaventura,it ITA,MF,Fiorentina,31,1989,25.2,8,1,1,31,49,2,36,14,17,2,0,0,141,16,16,50.0,Matches
Federico Bonazzoli,it ITA,"FW,MF",Salernitana,24,1997,20.7,6,0,0,31,66,6,23,6,12,0,0,0,76,11,24,31.4,Matches

Kevin Bonifazi,it ITA,DF,Bologna,25,1996,13.4,4,1,1,15,10,0,3,16,16,0,1,1,97,34,18,65.4,Matches
Leonardo Bonucci,it ITA,DF,Juventus,34,1987,22.3,1,0,0,17,8,1,3,26,5,0,1,0,95,44,35,55.7,Matches
Mehdi Bourabia,ma MAR,MF,Spezia,29,1991,3.1,0,0,0,6,6,0,3,3,1,0,0,0,20,1,2,33.3,Matches
Edoardo Bove,it ITA,"MF,DF",Roma,19,2002,0.8,0,0,0,1,3,0,2,1,1,0,0,0,4,0,3,0.0,Matches
Josip Brekalo,hr CRO,MF,Torino,23,1998,25.4,1,0,0,20,21,5,135,4,5,0,0,0,128,17,31,35.4,Matches
Gleison Bremer,br BRA,DF,Torino,24,1997,32.1,7,0,0,66,20,5,1,105,24,0,0,0,284,131,147,47.1,Matches
Marcelo Brozović,hr CRO,MF,Inter,28,1992,32.6,7,0,0,43,32,0,23,37,45,0,0,0,252,13,24,35.1,Matches
Aleksander Buksa,pl POL,FW,Genoa,18,2003,0.7,0,0,0,2,0,0,0,0,0,0,0,0,4,3,3,50.0,Matches
