Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Matches
Tomás Händel,pt POR,MF,Vitória,20,2000,11.5,422,514,82.1,7692,1845,182,215,84.7,178,203,87.7,50,68,73.5,0,0.2,0.2,-0.2,2,32,0,0,49,Matches
Boubacar Hanne,pt POR,"FW,MF",Gil Vicente FC,22,1999,2.8,91,119,76.5,1300,338,56,62,90.3,29,34,85.3,3,11,27.3,3,1.1,1.4,+1.9,10,3,8,0,15,Matches
Norbert Haymamba,cm CMR,GK,Arouca,22,1999,3.0,73,97,75.3,1723,1240,19,19,100.0,35,37,94.6,19,40,47.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Henrique,br BRA,"FW,MF",Marítimo,27,1993,8.9,161,220,73.2,2671,581,78,95,82.1,65,82,79.3,14,24,58.3,0,0.3,0.2,-0.3,3,12,5,2,19,Matches
Danny Henriques,nl NED,DF,B-SAD,24,1997,21.9,719,920,78.2,15037,6225,194,226,85.8,431,464,92.9,90,213,42.3,0,0.1,0.2,-0.1,4,39,5,2,28,Matches
Manu Hernando,es ESP,DF,Tondela,23,1998,17.8,668,801,83.4,13545,4672,190,209,90.9,393,436,90.1,77,132,58.3,0,0.0,0.1,0.0,0,27,0,0,32,Matches

Lukáš Horníček,cz CZE,GK,Braga,19,2002,1.0,29,35,82.9,880,645,5,5,100.0,13,14,92.9,11,16,68.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches
André Horta,pt POR,MF,Braga,24,1996,17.4,998,1150,86.8,18195,4119,432,459,94.1,436,476,91.6,104,167,62.3,2,2.4,2.2,-0.4,24,126,20,3,138,Matches
Ricardo Horta,pt POR,"FW,MF",Braga,26,1994,31.0,883,1157,76.3,14092,4235,471,537,87.7,288,372,77.4,84,162,51.9,5,8.7,5.9,-3.7,92,102,50,4,161,Matches
