Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Matches
Gaspar,ao ANG,DF,Estrela,25,1997,26.1,1245,1507,82.6,24333,9814,421,480,87.7,656,742,88.4,153,245,62.4,0,0.6,1.3,-0.6,5,69,4,3,86,Matches
Bruno Gaspar,ao ANG,"MF,DF",Vitória,30,1993,25.4,983,1365,72.0,16274,7432,504,591,85.3,364,497,73.2,84,179,46.9,3,2.2,3.9,+0.8,31,63,44,28,91,Matches
Mory Gbane,ci CIV,MF,Gil Vicente FC,22,2000,21.2,692,873,79.3,12660,3442,260,319,81.5,366,424,86.3,55,87,63.2,0,0.2,0.6,-0.2,6,52,3,0,74,Matches
André Geraldes,pt POR,"MF,DF",Casa Pia,32,1991,6.7,213,294,72.4,3593,1483,102,125,81.6,91,117,77.8,14,37,37.8,0,0.0,0.1,0.0,2,11,0,0,15,Matches
Saviour Godwin,ng NGA,"FW,MF",Casa Pia,26,1996,3.8,44,80,55.0,656,239,27,36,75.0,15,29,51.7,2,9,22.2,0,0.1,0.1,-0.1,1,4,3,1,8,Matches
Eulânio Ângelo Chipela Gomes,gw GNB,MF,Estrela,29,1994,6.5,180,241,74.7,2604,878,104,120,86.7,63,80,78.8,5,20,25.0,1,0.8,0.5,+0.2,7,5,7,2,20,Matches
Rodrigo Gomes,pt POR,"MF,DF",Estoril,20,2003,27.2,613,858,71.4,9805,2947,306,375,81.6,258,335,77.0,31,77,40.3,7,3.1,3.2,+3.9,35,41,20,5,67,Matches
Vítor Gomes,pt POR,MF,Rio Ave,35,1987,3.6,146,187,78.1,2643,909,55,66,83.3,72,82,87.8,15,30,50.0,0,0.5,0.4,-0.5,1,20,1,0,17,Matches
Victor Gomez,es ESP,DF,Braga,23,2000,22.6,1071,1360,78.8,19251,7049,434,502,86.5,505,588,85.9,113,205,55.1,2,4.8,3.7,-2.8,37,108,54,27,145,Matches
Nuno Gonçalo Moreira,pt POR,"FW,MF",Casa Pia,24,1999,11.3,303,399,75.9,4725,1456,150,176,85.2,110,132,83.3,24,48,50.0,1,1.2,1.1,-0.2,19,31,15,4,61,Matches
Nuno Gonçalo Moreira,pt POR,"FW,MF",Vizela,24,1999,10.7,226,331,68.3,3656,1323,119,147,81.0,68,101,67.3,28,60,46.7,2,2.4,2.1,-0.4,23,30,16,4,52,Matches
João Gonçalves,pt POR,GK,Boavista,22,2000,34.0,622,934,66.6,17824,13063,134,134,100.0,276,282,97.9,208,510,40.8,0,0.0,0.0,0.0,0,12,0,0,1,Matches
Jota Gonçalves,pt POR,DF,Vizela,23,2000,16.1,804,949,84.7,13861,5808,346,373,92.8,388,434,89.4,56,105,53.3,0,0.1,0.4,-0.1,3,67,1,0,62,Matches
Pedro Gonçalves,pt POR,"FW,MF",Sporting CP,25,1998,28.6,917,1241,73.9,14650,4861,514,577,89.1,264,354,74.6,91,190,47.9,12,9.4,8.5,+2.6,63,89,47,8,153,Matches
Vítor Gonçalves,pt POR,MF,Farense,31,1992,7.7,193,262,73.7,3447,860,83,95,87.4,85,116,73.3,21,36,58.3,0,0.7,1.1,-0.7,7,19,7,4,29,Matches
Cristo González,es ESP,"FW,MF",Arouca,25,1997,30.9,680,921,73.8,10008,2723,385,449,85.7,234,307,76.2,31,64,48.4,9,6.9,5.2,+2.1,52,76,42,6,134,Matches
Nicolás González,es ESP,MF,Porto,21,2002,18.9,1002,1131,88.6,16054,4206,519,567,91.5,410,445,92.1,56,75,74.7,1,1.3,2.3,-0.3,21,116,16,1,137,Matches
Tiago Gouveia,pt POR,FW,Benfica,22,2001,6.0,193,239,80.8,2829,808,121,138,87.7,56,73,76.7,11,16,68.8,3,2.2,1.5,+0.8,11,12,11,0,25,Matches
