Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22,22,"1,980",22.0,22,1.00,67,46,73.1,14,3,5,9,40.9,4,4,0,0,0.0,Matches
Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22,22,"1,980",22.0,29,1.32,96,67,71.9,7,4,11,5,22.7,5,2,2,1,50.0,Matches
Pieter Bos,nl NED,GK,Cambuur,24,1997,6,5,459,5.1,11,2.16,42,31,73.8,0,0,5,0,0.0,0,0,0,0,,Matches
Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,27,1993,34,34,"3,060",34.0,52,1.53,164,112,70.1,10,8,16,10,29.4,4,3,1,0,25.0,Matches
Jorn Brondeel,be BEL,GK,Willem II,27,1993,2,2,104,1.2,1,0.87,7,6,85.7,1,1,0,0,0.0,0,0,0,0,,Matches
Koen Bucker,nl NED,GK,Heracles Almelo,25,1996,12,12,"1,080",12.0,20,1.67,75,55,73.3,2,3,7,3,25.0,0,0,0,0,,Matches
Joel Castro Pereira,pt POR,GK,RKC Waalwijk,25,1996,2,2,180,2.0,3,1.50,9,6,77.8,1,0,1,1,50.0,1,1,0,0,0.0,Matches
Tim Coremans,nl NED,GK,Sparta R'dam,30,1991,3,3,270,3.0,4,1.33,13,11,69.2,0,2,1,1,33.3,0,0,0,0,,Matches
Jeffrey De Lange,nl NED,GK,Twente,23,1998,2,2,180,2.0,5,2.50,11,6,54.5,1,0,1,1,50.0,0,0,0,0,,Matches
Connor van den Berg,nl NED,GK,Willem II,20,2001,1,0,74,0.8,0,0.00,6,6,100.0,0,0,0,1,,0,0,0,0,,Matches
Joel Drommel,nl NED,GK,PSV Eindhoven,24,1996,26,26,"2,340",26.0,32,1.23,77,47,58.4,20,2,4,7,26.9,0,0,0,0,,Matches
Jay Gorter,nl NED,GK,Ajax,21,2000,1,1,90,1.0,2,2.00,6,4,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
Warner Hahn,sr SUR,GK,Go Ahead Eag,29,1992,19,19,"1,710",19.0,31,1.63,106,75,74.5,6,3,10,5,26.3,4,4,0,0,0.0,Matches
Jeroen Houwen,nl NED,GK,Vitesse,25,1996,15,15,"1,305",14.5,24,1.66,64,41,65.6,7,2,6,2,13.3,2,2,0,0,0.0,Matches
Fabian de Keijzer,nl NED,GK,Utrecht,21,2000,14,14,"1,214",13.5,17,1.26,58,42,74.1,4,5,5,2,14.3,2,2,0,0,0.0,Matches
Kostas Lamprou,gr GRE,GK,Zwolle,29,1991,34,34,"3,060",34.0,52,1.53,175,126,72.0,7,6,21,6,17.6,4,3,0,1,0.0,Matches
Benjamin van Leer,nl NED,GK,Sparta R'dam,29,1992,2,1,157,1.7,4,2.29,12,8,75.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
