Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
Onurcan Piri,tr TUR,GK,Giresunspor,27,1994,23,23,"1,958",21.8,43,1.98,98,60,60.2,5,6,12,2,8.7,7,4,2,1,33.3,Matches
Ali Şaşal Vural,tr TUR,GK,Sivasspor,32,1990,30,30,"2,655",29.5,42,1.42,116,77,67.2,10,6,14,7,23.3,4,4,0,0,0.0,Matches
Ibrahim Šehić,ba BIH,GK,Konyaspor,33,1988,29,29,"2,608",29.0,30,1.04,106,80,76.4,9,13,7,8,27.6,5,5,0,0,0.0,Matches
Ahmet Şen,tr TUR,GK,Fatih Karagümrük,23,1999,18,18,"1,554",17.3,33,1.91,85,57,65.9,6,7,5,2,11.1,6,4,1,1,20.0,Matches
Muhammed Şengezer,tr TUR,GK,Başakşehir,25,1997,12,12,"1,080",12.0,18,1.50,60,46,76.7,4,3,5,3,25.0,5,4,0,1,0.0,Matches
Muhammet Taha Tepe,tr TUR,GK,Trabzonspor,21,2001,5,4,390,4.3,6,1.38,20,14,70.0,2,1,1,2,50.0,0,0,0,0,,Matches
Ertuğrul Taşkıran,tr TUR,GK,Kasımpaşa,32,1989,18,18,"1,620",18.0,32,1.78,81,50,61.7,5,3,10,4,22.2,1,1,0,0,0.0,Matches
Alperen Uysal,tr TUR,GK,Antalyaspor,28,1994,10,10,900,10.0,15,1.50,43,29,67.4,3,3,4,2,20.0,1,1,0,0,0.0,Matches
Emiliano Viviano,it ITA,GK,Fatih Karagümrük,36,1985,17,16,"1,501",16.7,30,1.80,72,44,62.5,5,5,6,5,31.3,4,3,1,0,25.0,Matches
Muammer Yıldırım,tr TUR,GK,Sivasspor,31,1990,6,5,495,5.5,11,2.00,30,20,66.7,0,2,3,0,0.0,1,1,0,0,0.0,Matches
