Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
Arijanet Muric,xk KVX,GK,Burnley,24,1998,10,10,900,10.0,16,1.60,78,62,80.8,2,4,4,0,0.0,2,1,1,0,50.0,Matches
Neto,br BRA,GK,Bournemouth,34,1989,32,32,"2,880",32.0,55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7,Matches
Robin Olsen,se SWE,GK,Aston Villa,33,1990,5,4,405,4.5,13,2.89,34,20,61.8,1,0,3,0,0.0,1,0,1,0,100.0,Matches
André Onana,cm CMR,GK,Manchester Utd,27,1996,38,38,"3,420",38.0,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0.0,Matches
Stefan Ortega,de GER,GK,Manchester City,30,1992,9,5,635,7.1,7,0.99,27,20,74.1,4,1,0,3,60.0,0,0,0,0,,Matches
Đorđe Petrović,rs SRB,GK,Chelsea,23,1999,23,22,"1,987",22.1,38,1.72,108,73,65.7,13,5,4,5,22.7,2,1,0,1,0.0,Matches
Jordan Pickford,eng ENG,GK,Everton,29,1994,38,38,"3,420",38.0,51,1.34,165,117,73.9,13,9,16,13,34.2,8,8,0,0,0.0,Matches
Nick Pope,eng ENG,GK,Newcastle Utd,31,1992,15,15,"1,345",14.9,16,1.07,58,42,72.4,9,2,4,5,33.3,0,0,0,0,,Matches

Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2,2,180,2.0,7,3.50,11,4,36.4,1,0,1,0,0.0,0,0,0,0,,Matches
Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,6,6,540,6.0,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,,Matches
David Raya,es ESP,GK,Arsenal,27,1995,32,32,"2,880",32.0,24,0.75,69,45,68.1,23,4,5,16,50.0,3,2,1,0,33.3,Matches
José Sá,pt POR,GK,Wolves,30,1993,35,35,"3,037",33.7,58,1.72,188,131,73.4,12,7,16,4,11.4,8,8,0,0,0.0,Matches
Robert Sánchez,es ESP,GK,Chelsea,25,1997,16,16,"1,433",15.9,25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3,Matches
Matz Sels,be BEL,GK,Nott'ham Forest,31,1992,16,16,"1,440",16.0,27,1.69,61,36,57.4,4,4,8,1,6.3,1,1,0,0,0.0,Matches
James Shea,eng ENG,GK,Luton Town,32,1991,1,0,15,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches
Jason Steele,eng ENG,GK,Brighton,32,1990,17,17,"1,530",17.0,34,2.00,74,42,58.1,5,4,8,2,11.8,3,3,0,0,0.0,Matches
Thomas Strakosha,al ALB,GK,Brentford,28,1995,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,,Matches
James Trafford,eng ENG,GK,Burnley,20,2002,28,28,"2,520",28.0,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0.0,Matches
Mark Travers,ie IRL,GK,Bournemouth,24,1999,4,4,360,4.0,5,1.25,18,13,77.8,2,0,2,2,50.0,1,1,0,0,0.0,Matches
Matt Turner,us USA,GK,Nott'ham Forest,29,1994,17,17,"1,530",17.0,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0.0,Matches
Bart Verbruggen,nl NED,GK,Brighton,20,2002,21,21,"1,890",21.0,28,1.33,91,63,72.5,7,8,6,4,19.0,3,3,0,0,0.0,Matches
Guglielmo Vicario,it ITA,GK,Tottenham,26,1996,38,38,"3,420",38.0,61,1.61,167,109,67.7,20,6,12,7,18.4,7,7,0,0,0.0,Matches
Odisseas Vlachodimos,gr GRE,GK,Nott'ham Forest,29,1994,5,5,450,5.0,12,2.40,22,10,50.0,1,0,4,1,20.0,1,1,0,0,0.0,Matches
