Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
Stefanos Kapino,gr GRE,GK,Arminia,27,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Gregor Kobel,ch SUI,GK,Dortmund,23,1997,29,29,"2,565",28.5,39,1.37,110,73,67.3,20,3,6,7,24.1,3,3,0,0,0.0,Matches
Andreas Linde,se SWE,GK,Greuther Fürth,28,1993,12,12,"1,080",12.0,24,2.00,62,39,62.9,1,5,6,3,25.0,1,1,0,0,0.0,Matches
Marcel Lotka,pl POL,GK,Hertha BSC,20,2001,10,9,885,9.8,20,2.03,49,29,65.3,2,1,6,2,22.2,3,3,0,0,0.0,Matches
Andrey Lunyov,ru RUS,GK,Leverkusen,29,1991,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
Andreas Luthe,de GER,GK,Union Berlin,34,1987,27,27,"2,430",27.0,39,1.44,104,68,64.4,11,7,9,6,22.2,2,2,0,0,0.0,Matches
Josep Martinez,es ESP,GK,RB Leipzig,23,1998,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
Florian Müller,de GER,GK,Stuttgart,23,1997,30,30,"2,700",30.0,52,1.73,139,88,65.5,7,10,13,4,13.3,4,4,0,0,0.0,Matches

Manuel Neuer,de GER,GK,Bayern Munich,35,1986,28,28,"2,510",27.9,26,0.93,89,63,71.9,22,4,2,10,35.7,1,1,0,0,0.0,Matches
Stefan Ortega,de GER,GK,Arminia,28,1992,33,33,"2,970",33.0,53,1.61,176,125,73.9,4,13,16,6,18.2,7,7,0,0,0.0,Matches
Philipp Pentke,de GER,GK,Hoffenheim,36,1985,1,1,90,1.0,3,3.00,7,4,57.1,1,0,0,0,0.0,0,0,0,0,,Matches
Pavao Pervan,at AUT,GK,Wolfsburg,33,1987,6,6,540,6.0,14,2.33,38,25,65.8,1,0,5,1,16.7,1,1,0,0,0.0,Matches
Diant Ramaj,de GER,GK,Eint Frankfurt,19,2001,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches
Manuel Riemann,de GER,GK,Bochum,32,1988,31,31,"2,790",31.0,45,1.45,155,112,72.9,10,6,15,7,22.6,6,3,2,1,40.0,Matches
Frederik Rønnow,dk DEN,GK,Union Berlin,28,1992,7,7,630,7.0,5,0.71,18,14,72.2,5,2,0,2,28.6,0,0,0,0,,Matches
Marvin Schwäbe,de GER,GK,Köln,26,1995,21,21,"1,890",21.0,28,1.33,98,70,71.4,10,4,7,3,14.3,1,0,1,0,100.0,Matches
Alexander Schwolow,de GER,GK,Hertha BSC,29,1992,25,25,"2,175",24.2,51,2.11,123,72,62.6,7,5,13,4,16.0,5,5,0,0,0.0,Matches
Tobias Sippel,de GER,GK,Gladbach,33,1988,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
Yann Sommer,ch SUI,GK,Gladbach,32,1988,33,33,"2,970",33.0,60,1.82,182,120,68.7,12,8,13,5,15.2,5,3,2,0,40.0,Matches
Kevin Trapp,de GER,GK,Eint Frankfurt,31,1990,32,32,"2,880",32.0,46,1.44,157,112,73.2,10,11,11,5,15.6,4,4,0,0,0.0,Matches
Philipp Tschauner,de GER,GK,RB Leipzig,35,1985,1,0,3,0.0,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
Sven Ulreich,de GER,GK,Bayern Munich,32,1988,6,6,540,6.0,11,1.83,23,13,56.5,2,1,3,1,16.7,1,1,0,0,0.0,Matches
Benjamin Uphoff,de GER,GK,Freiburg,27,1993,2,2,180,2.0,7,3.50,12,5,41.7,0,1,1,0,0.0,0,0,0,0,,Matches
Robin Zentner,de GER,GK,Mainz 05,26,1994,32,32,"2,880",32.0,42,1.31,120,78,68.3,12,6,14,10,31.3,5,4,1,0,20.0,Matches
