Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
João Miguel Macedo Silva,pt POR,GK,Marítimo,27,1995,8,8,720,8.0,23,2.87,53,30,58.5,0,1,7,0,0.0,2,1,0,1,0.0,Matches
Pedro José Moreira Silva,pt POR,GK,Estoril,25,1997,3,2,203,2.3,8,3.55,18,9,72.2,0,1,1,0,0.0,4,3,1,0,25.0,Matches
Samuel Soares,pt POR,GK,Benfica,20,2002,1,0,3,0.0,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches
Matouš Trmal,cz CZE,GK,Marítimo,23,1998,6,6,540,6.0,5,0.83,26,21,84.6,1,3,2,2,33.3,1,1,0,0,0.0,Matches
João Valido,pt POR,GK,Arouca,22,2000,1,0,1,0.0,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
Bruno Varela,cv CPV,GK,Vitória,27,1994,27,27,"2,430",27.0,25,0.93,97,72,75.3,15,4,8,13,48.1,2,1,0,1,0.0,Matches
Igor Vekič,si SVN,GK,Paços,24,1998,10,9,821,9.1,17,1.86,34,17,52.9,0,2,7,1,11.1,1,1,0,0,0.0,Matches
Odisseas Vlachodimos,gr GRE,GK,Benfica,28,1994,34,34,"3,057",34.0,20,0.59,72,53,75.0,28,3,3,20,58.8,2,2,0,0,0.0,Matches
Ivan Zlobin,ru RUS,GK,Famalicão,25,1997,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,,Matches
Emilijus Zubas,lt LTU,GK,Arouca,32,1990,3,3,270,3.0,4,1.33,10,6,70.0,0,2,1,1,33.3,1,1,0,0,0.0,Matches
